Run Name,Run 1
Run Date,04:31:12 PM   03-15-19
Method Name,Group 20 Spring 19 Multigradient1
Export Format Version, 1.00
Method ID, 3818
Points/Second, 5.00
Number of Records,  13969
Offset from Run Start Time,00:00:00
Run End Time,00:46:35
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000939,0.000000,  3,0.009645,0.000000,  42.168,  206,     0.0
     0.2,0.001066,0.000000,  3,0.009645,0.000000,  42.163,  205,     0.0
     0.4,0.000661,0.000000,  3,0.009645,0.000000,  42.149,  204,     0.0
     0.6,-0.000421,0.000000,  3,0.009645,0.000000,  42.151,  203,     0.0
     0.8,0.000000,0.000000,  3,0.000000,0.000000,  42.148,  203,     0.0
     1.0,0.000000,0.000000,  3,0.000000,0.000000,  42.152,  202,     0.0
     1.2,0.000000,0.000000,  3,0.000000,0.000000,  42.145,  202,     0.0
     1.4,0.000000,0.000000,  3,0.000000,0.000000,  42.146,  200,     0.0
     1.6,0.000000,0.000000,  3,0.000000,0.000000,  42.143,  198,     0.0
     1.8,0.000000,0.000000,  3,0.000000,0.000000,  42.142,  202,     0.0
     2.0,0.000000,0.000000,  3,0.000000,0.000000,  42.143,  207,     0.0
     2.2,0.000000,0.000000,  3,0.000000,0.000000,  42.138,  203,     0.0
     2.4,0.000000,0.000000,  3,0.000000,0.000000,  42.137,  200,     0.0
     2.6,0.000000,0.000000,  3,0.000000,0.000000,  42.136,  201,     0.0
     2.8,0.000000,0.000000,  3,0.000000,0.000000,  42.134,  202,     0.0
     3.0,0.000000,0.000000,  3,0.000000,0.000000,  42.138,  202,     0.1
     3.2,0.000000,0.000000,  3,0.000000,0.000000,  42.134,  201,     0.1
     3.4,0.000000,0.000000,  3,0.000000,0.000000,  42.131,  200,     0.1
     3.6,0.000000,0.000000,  3,0.000000,0.000000,  42.132,  199,     0.1
     3.8,0.000000,0.000000,  3,0.000000,0.000000,  42.130,  199,     0.1
     4.0,0.000000,0.000126,  3,0.000000,0.000000,  42.132,  198,     0.1
     4.2,0.000075,0.000148,  3,-0.000019,0.000000,  42.130,  201,     0.1
     4.4,0.000085,0.000182,  3,-0.000048,-0.000030,  42.132,  204,     0.1
     4.6,0.000101,0.000210,  3,-0.000096,-0.000052,  42.129,  203,     0.1
     4.8,0.000117,0.000233,  3,-0.000144,-0.000005,  42.125,  202,     0.1
     5.0,0.000140,0.000250,  3,-0.000192,0.000007,  42.130,  203,     0.1
     5.2,0.000166,0.000267,  3,-0.000231,0.000032,  42.133,  204,     0.1
     5.4,0.000195,0.000285,  3,-0.000250,0.000009,  42.128,  204,     0.1
     5.6,0.000218,0.000298,  3,-0.000279,0.000056,  42.126,  204,     0.1
     5.8,0.000240,0.000315,  3,-0.000279,0.000068,  42.129,  202,     0.1
     6.0,0.000253,0.000328,  3,-0.000298,0.000021,  42.133,  200,     0.1
     6.2,0.000273,0.000335,  3,-0.000346,0.000056,  42.132,  204,     0.1
     6.4,0.000292,0.000357,  3,-0.000385,0.000081,  42.135,  207,     0.1
     6.6,0.000309,0.000362,  3,-0.000394,0.000058,  42.132,  204,     0.1
     6.8,0.000325,0.000374,  3,-0.000385,0.000070,  42.128,  201,     0.1
     7.0,0.000341,0.000387,  3,-0.000356,0.000083,  42.123,  203,     0.1
     7.2,0.000357,0.000399,  3,-0.000385,0.000095,  42.122,  204,     0.1
     7.4,0.000367,0.000406,  3,-0.000433,0.000105,  42.114,  203,     0.1
     7.6,0.000373,0.000408,  3,-0.000500,0.000118,  42.116,  202,     0.1
     7.8,0.000380,0.000414,  3,-0.000519,0.000095,  42.113,  202,     0.1
     8.0,0.000390,0.000422,  3,-0.000510,0.000107,  42.110,  201,     0.1
     8.2,0.000396,0.000424,  3,-0.000481,0.000119,  42.110,  200,     0.1
     8.4,0.000399,0.000435,  3,-0.000500,0.000107,  42.109,  199,     0.1
     8.6,0.000406,0.000441,  3,-0.000519,0.000107,  42.110,  202,     0.1
     8.8,0.000409,0.000446,  3,-0.000519,0.000119,  42.108,  205,     0.1
     9.0,0.000409,0.000460,  3,-0.000538,0.000119,  42.109,  204,     0.2
     9.2,0.000412,0.000466,  3,-0.000567,0.000132,  42.107,  203,     0.2
     9.4,0.000422,0.000468,  3,-0.000596,0.000144,  42.107,  203,     0.2
     9.6,0.000425,0.000479,  3,-0.000596,0.000144,  42.105,  202,     0.2
     9.8,0.000432,0.000487,  3,-0.000586,0.000156,  42.110,  203,     0.2
    10.0,0.000442,0.000491,  3,-0.000567,0.000156,  42.110,  203,     0.2
    10.2,0.000445,0.000503,  3,-0.000577,0.000156,  42.106,  202,     0.2
