Run Name,Run 1
Run Date,03:55:56 PM   04-11-19
Method Name,Group 6 Spring 19 Multigradient1
Export Format Version, 1.00
Method ID, 3850
Points/Second, 5.00
Number of Records,  13488
Offset from Run Start Time,00:00:00
Run End Time,00:45:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.002599,0.002480,  5,0.022149,0.001012,  44.856,  195,     0.0
     0.2,0.002603,0.002479,  5,0.022209,0.000976,  44.850,  193,     0.0
     0.4,0.002603,0.002479,  5,0.022260,0.000976,  44.846,  191,     0.0
     0.6,0.002599,0.002484,  5,0.022310,0.001012,  44.840,  194,     0.0
     0.8,0.002599,0.002481,  5,0.022360,0.000964,  44.838,  196,     0.0
     1.0,0.002599,0.002483,  5,0.022290,0.001000,  44.832,  145,     0.0
     1.2,0.002593,0.002481,  5,0.022179,0.001035,  44.817,   94,     0.0
     1.4,0.002593,0.002475,  5,0.022028,0.000987,  44.813,   63,     0.0
     1.6,0.002596,0.002478,  5,0.022038,0.001023,  44.812,   32,     0.0
     1.8,0.002593,0.002481,  5,0.022089,0.001035,  44.835,   25,     0.0
     2.0,0.002593,0.002473,  5,0.022219,0.001000,  44.850,   19,     0.0
     2.2,0.002593,0.002476,  5,0.022270,0.001035,  44.876,   17,     0.0
     2.4,0.002586,0.002477,  5,0.022270,0.001035,  44.892,   15,     0.0
     2.6,0.002586,0.002477,  5,0.022270,0.001000,  44.906,   15,     0.0
     2.8,0.002589,0.002473,  5,0.022290,0.001035,  44.915,   15,     0.0
     3.0,0.002586,0.002479,  5,0.022310,0.001035,  44.921,   36,     0.1
     3.2,0.002586,0.002482,  5,0.022310,0.001000,  44.929,   56,     0.1
     3.4,0.002589,0.002476,  5,0.022320,0.001035,  44.930,  107,     0.1
     3.6,0.002594,0.002471,  5,0.022320,0.001035,  44.935,  157,     0.1
     3.8,0.002594,0.002471,  5,0.022310,0.001012,  44.945,  171,     0.1
     4.0,0.002586,0.002468,  5,0.022330,0.001012,  44.937,  184,     0.1
     4.2,0.002591,0.002474,  5,0.022370,0.001012,  44.891,  187,     0.1
     4.4,0.002587,0.002474,  5,0.022421,0.000989,  44.855,  189,     0.1
     4.6,0.002580,0.002474,  5,0.022199,0.000989,  44.835,  189,     0.1
     4.8,0.002704,0.002474,  5,0.021837,0.001012,  44.825,  189,     0.1
     5.0,0.002254,0.002477,  5,0.021354,0.000976,  44.808,  189,     0.1
     5.2,0.000859,0.002471,  5,0.021374,0.000976,  44.808,  190,     0.1
     5.4,0.000859,0.002474,  5,0.021566,0.001012,  44.805,  159,     0.1
     5.6,0.000000,0.002471,  5,0.021957,0.001000,  44.803,  129,     0.1
     5.8,0.000000,0.002468,  5,0.022068,0.001000,  44.801,   85,     0.1
     6.0,0.000000,0.002473,  5,0.022139,0.000000,  44.800,   42,     0.1
     6.2,0.000000,0.000000,  5,0.022504,0.000000,  44.809,   32,     0.1
     6.4,0.000000,0.000000,  5,0.022504,0.000000,  44.827,   23,     0.1
     6.6,0.000000,0.000000,  5,0.022504,0.000000,  44.847,   20,     0.1
     6.8,0.000000,0.000000,  5,0.022504,0.000000,  44.879,   18,     0.1
     7.0,0.000000,0.000000,  5,0.000000,0.000000,  44.892,   20,     0.1
     7.2,0.000000,0.000000,  5,0.000000,0.000000,  44.901,   21,     0.1
     7.4,0.000000,0.000000,  5,0.000000,0.000000,  44.906,   28,     0.1
     7.6,0.000000,0.000000,  5,0.000000,0.000000,  44.918,   34,     0.1
     7.8,0.000000,0.000000,  5,0.000000,0.000000,  44.929,   81,     0.1
     8.0,0.000000,0.000000,  5,0.000000,0.000000,  44.927,  128,     0.1
     8.2,0.000000,0.000000,  5,0.000000,0.000000,  44.934,  152,     0.1
     8.4,0.000000,0.000000,  5,0.000000,0.000000,  44.940,  176,     0.1
     8.6,0.000000,0.000000,  5,0.000000,0.000000,  44.922,  181,     0.1
     8.8,0.000000,0.000000,  5,0.000000,0.000000,  44.861,  186,     0.1
     9.0,0.000000,0.000000,  5,0.000000,0.000000,  44.840,  187,     0.2
     9.2,0.000221,0.000000,  5,0.000000,0.000000,  44.824,  189,     0.2
     9.4,0.000315,0.000000,  5,0.000000,0.000000,  44.807,  188,     0.2
     9.6,0.000289,0.000000,  5,0.000000,0.000000,  44.793,  187,     0.2
     9.8,0.000133,0.000000,  5,0.000000,0.000000,  44.790,  177,     0.2
    10.0,-0.000148,0.000000,  5,0.000000,0.000000,  44.791,  167,     0.2
    10.2,-0.000550,0.000000,  5,0.000000,0.000000,  44.783,  114,     0.2
    10.4,-0.000708,0.000000,  5,0.000000,0.000334,  44.781,   61,     0.2
    10.6,-0.000799,0.000193,  5,0.000000,0.000412,  44.783,   44,     0.2
    10.8,-0.000821,0.000291,  5,-0.000105,0.000426,  44.802,   28,     0.2
    11.0,-0.000845,0.000297,  5,0.000417,0.000401,  44.820,   23,     0.2
    11.2,-0.000829,0.000200,  5,0.000693,0.000278,  44.844,   19,     0.2
    11.4,-0.000769,0.000017,  5,0.000714,0.000117,  44.875,   18,     0.2
    11.6,-0.000733,-0.000271,  5,0.000479,-0.000096,  44.888,   16,     0.2
    11.8,-0.000695,-0.000437,  5,-0.000012,-0.000194,  44.903,   15,     0.2
    12.0,-0.000632,-0.000584,  5,-0.000758,-0.000206,  44.915,   15,     0.2
    12.2,-0.000566,-0.000723,  5,-0.001199,-0.000121,  44.914,   50,     0.2
    12.4,-0.000534,-0.000785,  5,-0.001640,-0.000132,  44.926,   85,     0.2
    12.6,-0.000507,-0.000790,  5,-0.002051,-0.000107,  44.930,  124,     0.2
    12.8,-0.000480,-0.000758,  5,-0.002286,-0.000046,  44.936,  163,     0.2
    13.0,-0.000395,-0.000716,  5,-0.002433,-0.000069,  44.944,  173,     0.2
    13.2,-0.000279,-0.000632,  5,-0.002492,-0.000069,  44.904,  182,     0.2
    13.4,-0.000141,-0.000522,  5,-0.002521,-0.000059,  44.852,  185,     0.2
    13.6,-0.000029,-0.000491,  5,-0.002463,-0.000082,  44.824,  187,     0.2
    13.8,0.000079,-0.000478,  5,-0.002345,-0.000069,  44.786,  186,     0.2
    14.0,0.000194,-0.000496,  5,-0.002130,-0.000021,  44.778,  185,     0.2
    14.2,0.000175,-0.000418,  5,-0.001797,0.000016,  44.770,  188,     0.2
    14.4,0.000075,-0.000300,  5,-0.001386,0.000017,  44.765,  190,     0.2
    14.6,-0.000074,-0.000153,  5,-0.001042,0.000115,  44.759,  141,     0.2
    14.8,-0.000172,-0.000047,  5,-0.000679,0.000177,  44.751,   91,     0.2
