Run Name,Run 1
Run Date,04:46:14 PM   01-31-19
Method Name,Group7_Spring19-MULTIGRADIENT
Export Format Version, 1.00
Method ID, 3761
Points/Second, 5.00
Number of Records,  11538
Offset from Run Start Time,00:00:00
Run End Time,00:38:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000596,0.001494,  6,0.017716,0.000000,  46.789,  177,     0.0
     0.2,-0.000152,0.001494,  6,0.017716,0.000000,  46.783,  178,     0.0
     0.4,-0.002221,0.000322,  6,0.017716,0.000000,  46.777,  179,     0.0
     0.6,-0.002245,-0.002035,  6,0.017716,0.000000,  46.765,  176,     0.0
     0.8,0.000000,-0.002035,  6,0.017716,0.000000,  46.759,  174,     0.0
     1.0,0.000000,0.000000,  6,0.000000,0.000000,  46.754,  177,     0.0
     1.2,0.000000,0.000000,  6,0.000000,0.000000,  46.758,  181,     0.0
     1.4,0.000000,0.000000,  6,0.000000,0.000000,  46.762,  178,     0.0
     1.6,0.000000,0.000000,  6,0.000000,0.000000,  46.749,  176,     0.0
     1.8,0.000000,0.000000,  6,0.000000,0.000000,  46.725,  176,     0.0
     2.0,0.000000,0.000000,  6,0.000000,0.000000,  46.729,  177,     0.0
     2.2,0.000000,0.000000,  6,0.000000,0.000000,  46.729,  176,     0.0
     2.4,0.000000,0.000000,  6,0.000000,0.000000,  46.738,  176,     0.0
     2.6,0.000000,0.000000,  6,0.000000,0.000000,  46.735,  175,     0.0
     2.8,0.000000,0.000000,  6,0.000000,0.000000,  46.736,  174,     0.0
     3.0,0.000000,0.000000,  6,0.000000,0.000000,  46.740,  174,     0.1
     3.2,0.000000,0.000000,  6,0.000000,0.000000,  46.741,  174,     0.1
     3.4,0.000000,0.000000,  6,0.000000,0.000000,  46.745,  176,     0.1
     3.6,0.000000,0.000000,  6,0.000000,0.000000,  46.750,  178,     0.1
     3.8,0.000000,0.000000,  6,0.000000,0.000000,  46.755,  176,     0.1
     4.0,0.000000,0.000000,  6,0.000000,0.000000,  46.742,  174,     0.1
     4.2,0.000000,0.000000,  6,0.000000,0.000000,  46.753,  172,     0.1
     4.4,0.000000,0.000000,  6,0.000000,0.000000,  46.760,  170,     0.1
     4.6,0.000000,0.000188,  6,0.000102,-0.000020,  46.772,  170,     0.1
     4.8,0.000226,0.000203,  6,-0.000093,-0.000006,  46.784,  171,     0.1
     5.0,0.000225,0.000213,  6,-0.000233,0.000064,  46.789,  170,     0.1
     5.2,0.000228,0.000226,  6,-0.000326,0.000054,  46.788,  170,     0.1
     5.4,0.000239,0.000230,  6,-0.000372,0.000054,  46.794,  170,     0.1
     5.6,0.000237,0.000232,  6,-0.000353,0.000076,  46.796,  170,     0.1
     5.8,0.000244,0.000237,  6,-0.000288,0.000054,  46.802,  172,     0.1
     6.0,0.000255,0.000246,  6,-0.000316,0.000054,  46.802,  174,     0.1
     6.2,0.000250,0.000253,  6,-0.000372,0.000076,  46.799,  173,     0.1
     6.4,0.000247,0.000255,  6,-0.000474,0.000030,  46.796,  173,     0.1
     6.6,0.000248,0.000263,  6,-0.000502,0.000030,  46.807,  173,     0.1
     6.8,0.000237,0.000260,  6,-0.000512,0.000064,  46.803,  173,     0.1
     7.0,0.000231,0.000260,  6,-0.000512,0.000018,  46.801,  173,     0.1
     7.2,0.000229,0.000258,  6,-0.000502,0.000040,  46.801,  172,     0.1
     7.4,0.000218,0.000260,  6,-0.000512,0.000062,  46.813,  171,     0.1
     7.6,0.000215,0.000263,  6,-0.000502,0.000040,  46.812,  170,     0.1
     7.8,0.000223,0.000263,  6,-0.000539,0.000087,  46.811,  172,     0.1
     8.0,0.000218,0.000266,  6,-0.000604,0.000087,  46.819,  175,     0.1
     8.2,0.000218,0.000266,  6,-0.000697,0.000064,  46.818,  174,     0.1
     8.4,0.000229,0.000266,  6,-0.000744,0.000064,  46.826,  173,     0.1
     8.6,0.000221,0.000268,  6,-0.000753,0.000064,  46.816,  172,     0.1
     8.8,0.000221,0.000268,  6,-0.000762,0.000042,  46.819,  170,     0.1
     9.0,0.000229,0.000268,  6,-0.000753,0.000054,  46.821,  169,     0.2
     9.2,0.000229,0.000277,  6,-0.000735,0.000088,  46.823,  168,     0.2
     9.4,0.000225,0.000277,  6,-0.000716,0.000066,  46.828,  170,     0.2
     9.6,0.000229,0.000274,  6,-0.000744,0.000066,  46.830,  172,     0.2
     9.8,0.000237,0.000283,  6,-0.000790,0.000076,  46.831,  171,     0.2
    10.0,0.000240,0.000283,  6,-0.000855,0.000042,  46.826,  170,     0.2
    10.2,0.000248,0.000274,  6,-0.000865,0.000054,  46.829,  171,     0.2
    10.4,0.000251,0.000277,  6,-0.000846,0.000088,  46.843,  172,     0.2
    10.6,0.000246,0.000286,  6,-0.000818,0.000054,  46.842,  171,     0.2
    10.8,0.000257,0.000295,  6,-0.000790,0.000066,  46.835,  169,     0.2
    11.0,0.000259,0.000297,  6,-0.000753,0.000101,  46.842,  170,     0.2
    11.2,0.000262,0.000308,  6,-0.000707,0.000101,  46.841,  170,     0.2
    11.4,0.000265,0.000316,  6,-0.000679,0.000101,  46.843,  170,     0.2
    11.6,0.000276,0.000318,  6,-0.000642,0.000113,  46.848,  170,     0.2
    11.8,0.000282,0.000323,  6,-0.000614,0.000113,  46.847,  170,     0.2
    12.0,0.000278,0.000325,  6,-0.000614,0.000090,  46.850,  169,     0.2
    12.2,0.000292,0.000325,  6,-0.000623,0.000137,  46.854,  169,     0.2
    12.4,0.000295,0.000330,  6,-0.000651,0.000137,  46.862,  168,     0.2
    12.6,0.000294,0.000341,  6,-0.000651,0.000115,  46.868,  170,     0.2
    12.8,0.000302,0.000341,  6,-0.000651,0.000115,  46.868,  171,     0.2
    13.0,0.000305,0.000347,  6,-0.000642,0.000137,  46.863,  171,     0.2
    13.2,0.000300,0.000358,  6,-0.000632,0.000115,  46.858,  170,     0.2
    13.4,0.000311,0.000360,  6,-0.000614,0.000115,  46.872,  170,     0.2
    13.6,0.000318,0.000362,  6,-0.000595,0.000137,  46.878,  169,     0.2
    13.8,0.000313,0.000361,  6,-0.000577,0.000115,  46.881,  169,     0.2
    14.0,0.000327,0.000363,  6,-0.000567,0.000115,  46.886,  169,     0.2
    14.2,0.000337,0.000374,  6,-0.000558,0.000137,  46.887,  168,     0.2
    14.4,0.000336,0.000374,  6,-0.000549,0.000115,  46.893,  168,     0.2
    14.6,0.000350,0.000380,  6,-0.000549,0.000115,  46.890,  168,     0.2
    14.8,0.000353,0.000382,  6,-0.000558,0.000137,  46.895,  168,     0.2
    15.0,0.000345,0.000394,  6,-0.000558,0.000115,  46.898,  169,     0.3
    15.2,0.000350,0.000400,  6,-0.000604,0.000115,  46.899,  170,     0.3
    15.4,0.000350,0.000402,  6,-0.000679,0.000137,  46.900,  170,     0.3
    15.6,0.000345,0.000402,  6,-0.000762,0.000115,  46.907,  170,     0.3
    15.8,0.000356,0.000397,  6,-0.000762,0.000115,  46.917,  170,     0.3
    16.0,0.000356,0.000401,  6,-0.000744,0.000149,  46.914,  170,     0.3
    16.2,0.000349,0.000406,  6,-0.000679,0.000115,  46.919,  171,     0.3
    16.4,0.000356,0.000410,  6,-0.000651,0.000137,  46.926,  171,     0.3
    16.6,0.000360,0.000413,  6,-0.000614,0.000147,  46.927,  170,     0.3
    16.8,0.000352,0.000419,  6,-0.000595,0.000125,  46.926,  168,     0.3
    17.0,0.000363,0.000422,  6,-0.000558,0.000171,  46.934,  173,     0.3
    17.2,0.000369,0.000422,  6,-0.000521,0.000171,  46.941,  177,     0.3
    17.4,0.000365,0.000419,  6,-0.000502,0.000149,  46.948,  173,     0.3
    17.6,0.000379,0.000430,  6,-0.000493,0.000195,  46.943,  170,     0.3
    17.8,0.000385,0.000430,  6,-0.000484,0.000195,  46.949,  170,     0.3
    18.0,0.000384,0.000435,  6,-0.000484,0.000173,  46.967,  169,     0.3
    18.2,0.000395,0.000437,  6,-0.000493,0.000208,  46.973,  169,     0.3
    18.4,0.000401,0.000439,  6,-0.000512,0.000195,  46.987,  169,     0.3
    18.6,0.000404,0.000447,  6,-0.000530,0.000173,  46.988,  169,     0.3
    18.8,0.000415,0.000455,  6,-0.000530,0.000173,  46.991,  169,     0.3
    19.0,0.000430,0.000463,  6,-0.000539,0.000173,  46.994,  169,     0.3
    19.2,0.000436,0.000468,  6,-0.000521,0.000151,  46.996,  169,     0.3
    19.4,0.000442,0.000483,  6,-0.000512,0.000163,  47.006,  170,     0.3
    19.6,0.000441,0.000491,  6,-0.000493,0.000197,  47.010,  171,     0.3
    19.8,0.000443,0.000496,  6,-0.000465,0.000175,  47.008,  170,     0.3
    20.0,0.000453,0.000503,  6,-0.000446,0.000187,  47.012,  169,     0.3
    20.2,0.000459,0.000505,  6,-0.000437,0.000197,  47.021,  169,     0.3
    20.4,0.000461,0.000512,  6,-0.000437,0.000163,  47.033,  169,     0.3
    20.6,0.000464,0.000514,  6,-0.000428,0.000175,  47.036,  169,     0.3
    20.8,0.000461,0.000516,  6,-0.000419,0.000209,  47.043,  169,     0.3
    21.0,0.000463,0.000524,  6,-0.000409,0.000222,  47.046,  169,     0.3
    21.2,0.000473,0.000527,  6,-0.000437,0.000222,  47.055,  168,     0.4
    21.4,0.000471,0.000526,  6,-0.000484,0.000234,  47.058,  168,     0.4
    21.6,0.000470,0.000537,  6,-0.000530,0.000222,  47.070,  168,     0.4
    21.8,0.000484,0.000543,  6,-0.000549,0.000199,  47.073,  169,     0.4
    22.0,0.000491,0.000545,  6,-0.000567,0.000222,  47.078,  170,     0.4
    22.2,0.000486,0.000547,  6,-0.000567,0.000222,  47.079,  169,     0.4
    22.4,0.000491,0.000551,  6,-0.000567,0.000199,  47.090,  167,     0.4
    22.6,0.000491,0.000556,  6,-0.000530,0.000199,  47.103,  168,     0.4
    22.8,0.000489,0.000562,  6,-0.000512,0.000234,  47.120,  168,     0.4
    23.0,0.000497,0.000565,  6,-0.000465,0.000211,  47.130,  169,     0.4
    23.2,0.000500,0.000567,  6,-0.000428,0.000211,  47.134,  170,     0.4
    23.4,0.000496,0.000573,  6,-0.000400,0.000246,  47.146,  168,     0.4
    23.6,0.000507,0.000578,  6,-0.000363,0.000223,  47.144,  166,     0.4
    23.8,0.000514,0.000577,  6,-0.000354,0.000223,  47.150,  168,     0.4
    24.0,0.000507,0.000577,  6,-0.000391,0.000258,  47.157,  170,     0.4
    24.2,0.000507,0.000578,  6,-0.000428,0.000236,  47.162,  170,     0.4
    24.4,0.000514,0.000575,  6,-0.000437,0.000223,  47.173,  169,     0.4
    24.6,0.000503,0.000573,  6,-0.000437,0.000258,  47.172,  170,     0.4
    24.8,0.000508,0.000567,  6,-0.000419,0.000236,  47.178,  170,     0.4
    25.0,0.000512,0.000568,  6,-0.000372,0.000246,  47.187,  169,     0.4
    25.2,0.000505,0.000562,  6,-0.000288,0.000268,  47.191,  169,     0.4
    25.4,0.000512,0.000565,  6,-0.000177,0.000246,  47.200,  169,     0.4
    25.6,0.000516,0.000561,  6,-0.000186,0.000234,  47.203,  169,     0.4
    25.8,0.000514,0.000564,  6,-0.000223,0.000234,  47.211,  168,     0.4
    26.0,0.000518,0.000564,  6,-0.000335,0.000211,  47.217,  168,     0.4
    26.2,0.000513,0.000565,  6,-0.000372,0.000211,  47.220,  171,     0.4
    26.4,0.000505,0.000561,  6,-0.000428,0.000246,  47.236,  173,     0.4
    26.6,0.000510,0.000567,  6,-0.000465,0.000223,  47.255,  171,     0.4
    26.8,0.000507,0.000578,  6,-0.000502,0.000223,  47.259,  168,     0.4
    27.0,0.000507,0.000572,  6,-0.000558,0.000246,  47.268,  167,     0.4
    27.2,0.000502,0.000572,  6,-0.000614,0.000211,  47.273,  167,     0.5
    27.4,0.000507,0.000573,  6,-0.000632,0.000234,  47.293,  167,     0.5
    27.6,0.000507,0.000569,  6,-0.000623,0.000244,  47.302,  168,     0.5
    27.8,0.000503,0.000572,  6,-0.000586,0.000222,  47.307,  168,     0.5
    28.0,0.000500,0.000572,  6,-0.000586,0.000246,  47.312,  168,     0.5
    28.2,0.000497,0.000572,  6,-0.000577,0.000248,  47.318,  168,     0.5
    28.4,0.000489,0.000572,  6,-0.000558,0.000248,  47.332,  168,     0.5
    28.6,0.000497,0.000573,  6,-0.000521,0.000248,  47.343,  168,     0.5
    28.8,0.000500,0.000563,  6,-0.000502,0.000236,  47.351,  168,     0.5
    29.0,0.000496,0.000569,  6,-0.000474,0.000236,  47.354,  168,     0.5
    29.2,0.000507,0.000574,  6,-0.000502,0.000189,  47.361,  168,     0.5
    29.4,0.000503,0.000574,  6,-0.000567,0.000236,  47.374,  168,     0.5
    29.6,0.000496,0.000574,  6,-0.000651,0.000223,  47.402,  167,     0.5
    29.8,0.000507,0.000577,  6,-0.000707,0.000223,  47.403,  168,     0.5
    30.0,0.000511,0.000580,  6,-0.000753,0.000223,  47.412,  168,     0.5
    30.2,0.000503,0.000584,  6,-0.000809,0.000211,  47.421,  167,     0.5
    30.4,0.000507,0.000577,  6,-0.000855,0.000211,  47.433,  166,     0.5
    30.6,0.000511,0.000571,  6,-0.000902,0.000199,  47.440,  166,     0.5
    30.8,0.000500,0.000572,  6,-0.000939,0.000209,  47.449,  167,     0.5
    31.0,0.000500,0.000569,  6,-0.000985,0.000187,  47.457,  168,     0.5
    31.2,0.000505,0.000566,  6,-0.000976,0.000187,  47.462,  169,     0.5
    31.4,0.000494,0.000569,  6,-0.000957,0.000234,  47.466,  168,     0.5
    31.6,0.000501,0.000571,  6,-0.000920,0.000211,  47.480,  166,     0.5
    31.8,0.000512,0.000568,  6,-0.000957,0.000199,  47.487,  166,     0.5
    32.0,0.000505,0.000568,  6,-0.001004,0.000234,  47.505,  165,     0.5
    32.2,0.000512,0.000571,  6,-0.001087,0.000211,  47.512,  167,     0.5
    32.4,0.000512,0.000571,  6,-0.001078,0.000199,  47.518,  169,     0.5
    32.6,0.000505,0.000568,  6,-0.001060,0.000234,  47.531,  168,     0.5
    32.8,0.000512,0.000571,  6,-0.000995,0.000211,  47.531,  167,     0.5
    33.0,0.000509,0.000576,  6,-0.000957,0.000211,  47.542,  169,     0.6
    33.2,0.000505,0.000573,  6,-0.000930,0.000246,  47.545,  172,     0.6
    33.4,0.000512,0.000576,  6,-0.000902,0.000223,  47.557,  168,     0.6
    33.6,0.000509,0.000578,  6,-0.000911,0.000223,  47.558,  165,     0.6
    33.8,0.000512,0.000575,  6,-0.000939,0.000246,  47.563,  166,     0.6
    34.0,0.000512,0.000584,  6,-0.000985,0.000223,  47.569,  167,     0.6
    34.2,0.000520,0.000586,  6,-0.001004,0.000236,  47.575,  167,     0.6
    34.4,0.000523,0.000583,  6,-0.001013,0.000270,  47.582,  166,     0.6
    34.6,0.000519,0.000586,  6,-0.001022,0.000248,  47.591,  167,     0.6
    34.8,0.000527,0.000586,  6,-0.001041,0.000248,  47.587,  167,     0.6
    35.0,0.000525,0.000585,  6,-0.001060,0.000270,  47.603,  167,     0.6
    35.2,0.000535,0.000588,  6,-0.001087,0.000248,  47.600,  166,     0.6
    35.4,0.000538,0.000593,  6,-0.001078,0.000248,  47.607,  168,     0.6
    35.6,0.000537,0.000590,  6,-0.001050,0.000270,  47.615,  170,     0.6
    35.8,0.000540,0.000593,  6,-0.001004,0.000248,  47.611,  169,     0.6
    36.0,0.000540,0.000596,  6,-0.001004,0.000248,  47.615,  168,     0.6
    36.2,0.000540,0.000593,  6,-0.001041,0.000270,  47.620,  167,     0.6
    36.4,0.000539,0.000604,  6,-0.001087,0.000248,  47.648,  167,     0.6
    36.6,0.000539,0.000615,  6,-0.001087,0.000248,  47.653,  167,     0.6
    36.8,0.000539,0.000614,  6,-0.001069,0.000282,  47.653,  167,     0.6
    37.0,0.000545,0.000622,  6,-0.001032,0.000260,  47.653,  167,     0.6
    37.2,0.000552,0.000628,  6,-0.001050,0.000260,  47.658,  167,     0.6
    37.4,0.000555,0.000630,  6,-0.001078,0.000294,  47.655,  167,     0.6
    37.6,0.000550,0.000641,  6,-0.001125,0.000272,  47.660,  166,     0.6
    37.8,0.000561,0.000643,  6,-0.001106,0.000272,  47.660,  166,     0.6
    38.0,0.000564,0.000642,  6,-0.001069,0.000294,  47.667,  167,     0.6
    38.2,0.000560,0.000650,  6,-0.001004,0.000306,  47.664,  166,     0.6
    38.4,0.000568,0.000650,  6,-0.001004,0.000306,  47.670,  166,     0.6
    38.6,0.000564,0.000647,  6,-0.001004,0.000306,  47.678,  167,     0.6
    38.8,0.000560,0.000654,  6,-0.001050,0.000306,  47.674,  168,     0.6
    39.0,0.000568,0.000657,  6,-0.001097,0.000284,  47.675,  167,     0.6
    39.2,0.000579,0.000654,  6,-0.001060,0.000318,  47.677,  167,     0.7
    39.4,0.000574,0.000659,  6,-0.001013,0.000306,  47.681,  166,     0.7
    39.6,0.000577,0.000661,  6,-0.000958,0.000272,  47.682,  166,     0.7
    39.8,0.000588,0.000655,  6,-0.001032,0.000284,  47.683,  169,     0.7
    40.0,0.000587,0.000663,  6,-0.001180,0.000306,  47.681,  172,     0.7
    40.2,0.000590,0.000667,  6,-0.001403,0.000272,  47.683,  171,     0.7
    40.4,0.000598,0.000666,  6,-0.001430,0.000272,  47.686,  169,     0.7
    40.6,0.000593,0.000663,  6,-0.001375,0.000294,  47.682,  167,     0.7
