Run Name,Run 1
Run Date,06:04:06 PM   01-31-19
Method Name,Group7_Spring19-MULTIgradient2
Export Format Version, 1.00
Method ID, 3765
Points/Second, 5.00
Number of Records,  12508
Offset from Run Start Time,00:00:00
Run End Time,00:41:42
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.003272,0.000000,  6,0.040046,0.000000,  23.242,  176,     0.0
     0.2,0.002670,0.000000,  6,0.040046,0.000000,  23.238,  178,     0.0
     0.4,0.000715,0.000000,  6,0.040046,0.000000,  23.236,  181,     0.0
     0.6,-0.000018,0.000000,  6,0.040046,0.000000,  23.233,  179,     0.0
     0.8,0.000000,0.000000,  6,0.000000,0.000000,  23.228,  176,     0.0
     1.0,0.000000,0.000000,  6,0.000000,0.000000,  23.225,  175,     0.0
     1.2,0.000000,0.000000,  6,0.000000,0.000000,  23.221,  174,     0.0
     1.4,0.000000,0.000000,  6,0.000000,0.000000,  23.216,  173,     0.0
     1.6,0.000000,0.000000,  6,0.000000,0.000000,  23.213,  173,     0.0
     1.8,0.000000,0.000000,  6,0.000000,0.000000,  23.211,  173,     0.0
     2.0,0.000000,0.000000,  6,0.000000,0.000000,  23.213,  174,     0.0
     2.2,0.000000,0.000000,  6,0.000000,0.000000,  23.210,  174,     0.0
     2.4,0.000000,0.000000,  6,0.000000,0.000000,  23.201,  173,     0.0
     2.6,0.000000,0.000000,  6,0.000000,0.000000,  23.206,  174,     0.0
     2.8,0.000000,0.000000,  6,0.000000,0.000000,  23.204,  175,     0.0
     3.0,0.000000,0.000000,  6,0.000000,0.000000,  23.205,  174,     0.1
     3.2,0.000000,0.000000,  6,0.000000,0.000000,  23.207,  173,     0.1
     3.4,0.000000,0.000000,  6,0.000000,0.000000,  23.200,  173,     0.1
     3.6,0.000000,0.000000,  6,0.000000,0.000000,  23.206,  173,     0.1
     3.8,0.000000,0.000000,  6,0.000000,0.000000,  23.201,  173,     0.1
     4.0,0.000000,0.000000,  6,0.000000,0.000000,  23.197,  174,     0.1
     4.2,0.000000,0.000000,  6,0.000000,0.000000,  23.196,  173,     0.1
     4.4,0.000047,0.000000,  6,0.000000,0.000085,  23.196,  172,     0.1
     4.6,0.000092,0.000111,  6,-0.001076,0.000062,  23.194,  173,     0.1
     4.8,0.000110,0.000123,  6,-0.000883,0.000006,  23.189,  173,     0.1
     5.0,0.000125,0.000130,  6,-0.000732,0.000052,  23.193,  174,     0.1
     5.2,0.000124,0.000137,  6,-0.000630,0.000042,  23.191,  175,     0.1
     5.4,0.000136,0.000142,  6,-0.000548,0.000076,  23.192,  174,     0.1
     5.6,0.000146,0.000146,  6,-0.000516,0.000089,  23.189,  172,     0.1
     5.8,0.000141,0.000154,  6,-0.000524,0.000066,  23.186,  172,     0.1
