Run Name,group 10 run 32
Run Date,06:02:07 PM   02-10-20
Method Name,LinearGradientTemplate. group 10 run 32
Export Format Version, 1.00
Method ID, 3904
Points/Second, 5.00
Number of Records,  21006
Offset from Run Start Time,00:00:00
Run End Time,01:10:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001618,0.001517,  5,0.016888,0.000586,  10.418,   38,     0.0
     0.2,0.001614,0.001514,  5,0.016838,0.000586,  10.416,   37,     0.0
     0.4,0.001622,0.001517,  5,0.016707,0.000586,  10.419,   37,     0.0
     0.6,0.001622,0.001511,  5,0.016532,0.000586,  10.421,   38,     0.0
     0.8,0.001617,0.001515,  5,0.016546,0.000586,  10.421,   40,     0.0
     1.0,0.001625,0.001508,  5,0.016620,0.000586,  10.407,   38,     0.0
     1.2,0.001630,0.001508,  5,0.016744,0.000586,  10.386,   35,     0.0
     1.4,0.001625,0.001520,  5,0.016777,0.000586,  10.381,   36,     0.0
     1.6,0.001625,0.001523,  5,0.016804,0.000586,  10.375,   37,     0.0
     1.8,0.001622,0.001511,  5,0.016801,0.000609,  10.369,   37,     0.0
     2.0,0.001617,0.001513,  5,0.016835,0.000622,  10.369,   36,     0.0
     2.2,0.001625,0.001513,  5,0.016865,0.000586,  10.364,   37,     0.0
     2.4,0.001625,0.001507,  5,0.016905,0.000609,  10.365,   37,     0.0
     2.6,0.001617,0.001511,  5,0.016935,0.000622,  10.365,   37,     0.0
     2.8,0.001625,0.001513,  5,0.016942,0.000586,  10.363,   37,     0.0
     3.0,0.001622,0.001507,  5,0.016979,0.000609,  10.362,   37,     0.1
     3.2,0.001618,0.001511,  5,0.016976,0.000622,  10.359,   37,     0.1
     3.4,0.001622,0.001511,  5,0.016946,0.000609,  10.359,   37,     0.1
