Run Name,Group10_Run 1
Run Date,02:45:03 PM   02-10-20
Method Name,Group10_run1
Export Format Version, 1.00
Method ID, 3896
Points/Second, 5.00
Number of Records,  13796
Offset from Run Start Time,00:00:00
Run End Time,00:46:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000141,-0.346190,  0,0.125978,0.000000,   5.049,   37,     0.0
     0.2,-0.001094,-0.346190,  0,0.125978,0.000000,   5.047,   38,     0.0
     0.4,-0.001399,-0.347004,  0,0.125978,0.000000,   5.051,   38,     0.0
     0.6,-0.001034,-0.348631,  0,0.125978,0.000000,   5.053,   38,     0.0
     0.8,0.000000,-0.348631,  0,0.000000,0.000000,   5.049,   38,     0.0
     1.0,0.000000,0.000000,  0,0.000000,0.000000,   5.047,   38,     0.0
     1.2,0.000000,0.000000,  0,0.000000,0.000000,   5.047,   38,     0.0
     1.4,0.000000,0.000000,  0,0.000000,0.000000,   5.048,   38,     0.0
     1.6,0.000000,0.000000,  0,0.000000,0.000000,   5.051,   38,     0.0
     1.8,0.000000,0.000000,  0,0.000000,0.000000,   5.046,   37,     0.0
     2.0,0.000000,0.000000,  0,0.000000,0.000000,   5.046,   36,     0.0
     2.2,0.000000,0.000000,  0,0.000000,0.000000,   5.049,   39,     0.0
     2.4,0.000000,0.000000,  0,0.000000,0.000000,   5.048,   42,     0.0
     2.6,0.000000,0.000000,  0,0.000000,0.000000,   5.047,   39,     0.0
     2.8,0.000000,0.000000,  0,0.000000,0.000000,   5.045,   37,     0.0
     3.0,0.000000,0.000000,  0,0.000000,0.000000,   5.045,   37,     0.1
     3.2,0.000000,0.000000,  0,0.000000,0.000000,   5.046,   37,     0.1
     3.4,0.000000,0.000000,  0,0.000000,0.000000,   5.039,   37,     0.1
     3.6,0.000000,0.000000,  0,0.000000,0.000000,   5.040,   37,     0.1
     3.8,0.000000,0.000000,  0,0.000000,0.000000,   5.043,   37,     0.1
     4.0,0.000000,0.000000,  0,0.000000,0.000000,   5.042,   37,     0.1
     4.2,0.000000,0.000000,  0,0.000000,0.000000,   5.046,   37,     0.1
     4.4,0.000000,0.000000,  0,0.000000,0.000000,   5.047,   37,     0.1
     4.6,0.000000,0.000041,  0,0.000128,-0.000023,   5.042,   37,     0.1
     4.8,0.000079,0.000046,  0,0.000131,0.000002,   5.044,   37,     0.1
     5.0,0.000077,0.000057,  0,0.000115,-0.000011,   5.044,   37,     0.1
     5.2,0.000086,0.000062,  0,0.000069,-0.000034,   5.043,   36,     0.1
     5.4,0.000097,0.000073,  0,0.000007,0.000002,   5.041,   37,     0.1
     5.6,0.000108,0.000070,  0,-0.000108,0.000002,   5.041,   38,     0.1
     5.8,0.000112,0.000079,  0,-0.000239,-0.000009,   5.040,   38,     0.1
     6.0,0.000108,0.000087,  0,-0.000490,0.000027,   5.036,   38,     0.1
     6.2,0.000120,0.000086,  0,-0.000866,0.000027,   5.044,   38,     0.1
     6.4,0.000123,0.000103,  0,-0.001326,0.000004,   5.041,   37,     0.1
     6.6,0.000122,0.000108,  0,-0.001381,0.000040,   5.044,   38,     0.1
     6.8,0.000129,0.000117,  0,-0.001293,0.000027,   5.044,   39,     0.1
     7.0,0.000132,0.000119,  0,-0.001025,-0.000009,   5.039,   38,     0.1
     7.2,0.000135,0.000127,  0,-0.000898,0.000040,   5.042,   36,     0.1
     7.4,0.000142,0.000132,  0,-0.000791,0.000040,   5.039,   36,     0.1
     7.6,0.000149,0.000150,  0,-0.000650,0.000004,   5.043,   37,     0.1
     7.8,0.000160,0.000161,  0,-0.000549,0.000052,   5.039,   37,     0.1
     8.0,0.000159,0.000166,  0,-0.000477,0.000052,   5.039,   37,     0.1
     8.2,0.000159,0.000173,  0,-0.000421,0.000029,   5.039,   37,     0.1
     8.4,0.000171,0.000179,  0,-0.000323,0.000065,   5.039,   37,     0.1
     8.6,0.000169,0.000184,  0,-0.000248,0.000077,   5.042,   37,     0.1
     8.8,0.000176,0.000187,  0,-0.000173,0.000054,   5.038,   37,     0.1
     9.0,0.000191,0.000193,  0,-0.000130,0.000090,   5.041,   37,     0.2
     9.2,0.000190,0.000195,  0,-0.000101,0.000090,   5.043,   38,     0.2
     9.4,0.000193,0.000203,  0,-0.000111,0.000067,   5.040,   38,     0.2
     9.6,0.000200,0.000205,  0,-0.000137,0.000102,   5.038,   38,     0.2
     9.8,0.000203,0.000205,  0,-0.000193,0.000090,   5.033,   37,     0.2
    10.0,0.000195,0.000208,  0,-0.000268,0.000067,   5.036,   37,     0.2
    10.2,0.000199,0.000208,  0,-0.000265,0.000067,   5.036,   37,     0.2
    10.4,0.000192,0.000204,  0,-0.000219,0.000054,   5.040,   36,     0.2
    10.6,0.000184,0.000207,  0,-0.000174,0.000031,   5.039,   37,     0.2
    10.8,0.000192,0.000216,  0,-0.000328,0.000031,   5.033,   37,     0.2
    11.0,0.000192,0.000213,  0,-0.000570,0.000054,   5.035,   38,     0.2
    11.2,0.000192,0.000215,  0,-0.000880,0.000031,   5.039,   38,     0.2
    11.4,0.000192,0.000221,  0,-0.000906,0.000031,   5.037,   38,     0.2
    11.6,0.000192,0.000221,  0,-0.000831,0.000054,   5.037,   37,     0.2
    11.8,0.000195,0.000226,  0,-0.000645,0.000031,   5.037,   37,     0.2
    12.0,0.000199,0.000233,  0,-0.000543,0.000031,   5.036,   37,     0.2
    12.2,0.000205,0.000232,  0,-0.000439,0.000067,   5.034,   38,     0.2
    12.4,0.000220,0.000238,  0,-0.000338,0.000031,   5.039,   38,     0.2
    12.6,0.000232,0.000247,  0,-0.000253,0.000056,   5.034,   37,     0.2
    12.8,0.000243,0.000249,  0,-0.000220,0.000044,   5.037,   35,     0.2
    13.0,0.000246,0.000252,  0,-0.000191,0.000056,   5.037,   36,     0.2
    13.2,0.000253,0.000259,  0,-0.000188,0.000021,   5.037,   37,     0.2
    13.4,0.000242,0.000256,  0,-0.000201,0.000021,   5.035,   37,     0.2
    13.6,0.000237,0.000258,  0,-0.000230,0.000056,   5.036,   37,     0.2
    13.8,0.000244,0.000266,  0,-0.000276,0.000021,   5.037,   37,     0.2
    14.0,0.000247,0.000266,  0,-0.000302,0.000056,   5.035,   37,     0.2
    14.2,0.000254,0.000268,  0,-0.000315,0.000056,   5.036,   37,     0.2
    14.4,0.000254,0.000274,  0,-0.000305,0.000033,   5.034,   36,     0.2
    14.6,0.000254,0.000276,  0,-0.000318,0.000081,   5.033,   37,     0.2
    14.8,0.000253,0.000285,  0,-0.000348,0.000081,   5.038,   37,     0.2
    15.0,0.000256,0.000288,  0,-0.000367,0.000058,   5.032,   37,     0.3
    15.2,0.000260,0.000287,  0,-0.000338,0.000106,   5.032,   36,     0.3
    15.4,0.000255,0.000296,  0,-0.000279,0.000081,   5.034,   37,     0.3
    15.6,0.000255,0.000305,  0,-0.000194,0.000046,   5.032,   37,     0.3
