Run Name,group 10 run 2
Run Date,04:00:51 PM   02-10-20
Method Name,LinearGradientTemplate.group 10 run2
Export Format Version, 1.00
Method ID, 3899
Points/Second, 5.00
Number of Records,  20387
Offset from Run Start Time,00:00:00
Run End Time,01:08:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000788,0.001388,  0,0.012516,0.000493,   5.142,   37,     0.0
     0.2,-0.000749,0.001388,  0,0.012595,0.000493,   5.141,   36,     0.0
     0.4,-0.001623,0.001388,  0,0.012653,0.000506,   5.138,   36,     0.0
     0.6,-0.001125,0.001392,  0,0.012670,0.000493,   5.141,   36,     0.0
     0.8,0.000000,0.001389,  0,0.012727,0.000493,   5.139,   37,     0.0
     1.0,0.000000,0.001383,  0,0.012772,0.000506,   5.145,   37,     0.0
     1.2,0.000000,0.001389,  0,0.000000,0.000000,   5.140,   37,     0.0
     1.4,0.000000,0.000000,  0,0.000000,0.000000,   5.139,   37,     0.0
     1.6,0.000000,0.000000,  0,0.000000,0.000000,   5.143,   36,     0.0
     1.8,0.000000,0.000000,  0,0.000000,0.000000,   5.140,   38,     0.0
     2.0,0.000000,0.000000,  0,0.000000,0.000000,   5.144,   40,     0.0
     2.2,0.000000,0.000000,  0,0.000000,0.000000,   5.139,   37,     0.0
     2.4,0.000000,0.000000,  0,0.000000,0.000000,   5.138,   35,     0.0
     2.6,0.000000,0.000000,  0,0.000000,0.000000,   5.139,   36,     0.0
     2.8,0.000000,0.000000,  0,0.000000,0.000000,   5.131,   36,     0.0
     3.0,0.000000,0.000000,  0,0.000000,0.000000,   5.135,   36,     0.1
     3.2,0.000000,0.000000,  0,0.000000,0.000000,   5.135,   36,     0.1
     3.4,0.000000,0.000000,  0,0.000000,0.000000,   5.135,   36,     0.1
     3.6,0.000000,0.000000,  0,0.000000,0.000000,   5.131,   36,     0.1
     3.8,0.000000,0.000000,  0,0.000000,0.000000,   5.136,   36,     0.1
     4.0,0.000000,0.000000,  0,0.000000,0.000000,   5.138,   36,     0.1
     4.2,0.000088,0.000000,  0,0.000000,0.000000,   5.134,   37,     0.1
     4.4,0.000119,0.000000,  0,0.000000,0.000000,   5.136,   37,     0.1
     4.6,0.000150,0.000000,  0,0.000000,0.000000,   5.134,   36,     0.1
     4.8,0.000171,0.000000,  0,0.000000,0.000000,   5.136,   36,     0.1
     5.0,0.000188,0.000000,  0,0.000000,0.000000,   5.137,   35,     0.1
     5.2,0.000193,0.000000,  0,0.000000,0.000000,   5.140,   34,     0.1
     5.4,0.000197,0.000000,  0,0.000000,0.000000,   5.140,   35,     0.1
     5.6,0.000199,0.000000,  0,0.000000,0.000073,   5.143,   36,     0.1
     5.8,0.000206,0.000000,  0,-0.000026,0.000025,   5.140,   36,     0.1
     6.0,0.000212,0.000069,  0,-0.000056,0.000048,   5.141,   36,     0.1
     6.2,0.000214,0.000082,  0,-0.000072,0.000036,   5.138,   37,     0.1
     6.4,0.000228,0.000087,  0,-0.000072,0.000048,   5.137,   37,     0.1
     6.6,0.000238,0.000107,  0,-0.000046,0.000013,   5.138,   37,     0.1
     6.8,0.000237,0.000124,  0,-0.000006,0.000025,   5.141,   37,     0.1
     7.0,0.000255,0.000129,  0,0.000020,0.000038,   5.139,   38,     0.1
     7.2,0.000270,0.000145,  0,0.000017,0.000050,   5.136,   38,     0.1
     7.4,0.000269,0.000148,  0,0.000001,0.000063,   5.137,   37,     0.1
     7.6,0.000284,0.000162,  0,-0.000069,0.000088,   5.134,   36,     0.1
     7.8,0.000290,0.000170,  0,-0.000082,0.000088,   5.137,   36,     0.1
     8.0,0.000292,0.000184,  0,-0.000059,0.000088,   5.134,   35,     0.1
     8.2,0.000304,0.000198,  0,-0.000055,0.000100,   5.139,   37,     0.1
     8.4,0.000304,0.000209,  0,-0.000039,0.000113,   5.135,   39,     0.1
     8.6,0.000307,0.000217,  0,0.000001,0.000100,   5.139,   38,     0.1
     8.8,0.000309,0.000229,  0,0.000044,0.000100,   5.136,   37,     0.1
     9.0,0.000306,0.000240,  0,0.000017,0.000113,   5.136,   36,     0.2
     9.2,0.000321,0.000242,  0,-0.000029,0.000100,   5.131,   36,     0.2
     9.4,0.000320,0.000248,  0,-0.000101,0.000100,   5.135,   36,     0.2
     9.6,0.000323,0.000256,  0,-0.000125,0.000090,   5.134,   36,     0.2
     9.8,0.000334,0.000262,  0,-0.000141,0.000090,   5.135,   36,     0.2
    10.0,0.000330,0.000268,  0,-0.000128,0.000090,   5.135,   36,     0.2
    10.2,0.000338,0.000267,  0,-0.000256,0.000067,   5.132,   36,     0.2
