Run Name,group 2 2020
Run Date,03:03:09 PM   02-03-20
Method Name,LinearGradientTemplate.1
Export Format Version, 1.00
Method ID, 3880
Points/Second, 5.00
Number of Records,  24000
Offset from Run Start Time,00:00:00
Run End Time,01:20:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000855,-0.001760,  0,0.016402,-0.003205,   5.046,   38,     0.0
     0.2,-0.000851,-0.001763,  0,0.016295,-0.003205,   5.048,   38,     0.0
     0.4,-0.000855,-0.001760,  0,0.016155,-0.003240,   5.044,   37,     0.0
     0.6,-0.000850,-0.001760,  0,0.015973,-0.003205,   5.046,   36,     0.0
     0.8,-0.000855,-0.001760,  0,0.015990,-0.003217,   5.047,   36,     0.0
     1.0,-0.000850,-0.001760,  0,0.016069,-0.003253,   5.047,   36,     0.0
     1.2,-0.000845,-0.001766,  0,0.016251,-0.003217,   5.047,   36,     0.0
     1.4,-0.000853,-0.001766,  0,0.016357,-0.003230,   5.048,   35,     0.0
     1.6,-0.000849,-0.001766,  0,0.016423,-0.003265,   5.048,   34,     0.0
     1.8,-0.000848,-0.001766,  0,0.016502,-0.003217,   5.046,   35,     0.0
     2.0,-0.000856,-0.001769,  0,0.016484,-0.003217,   5.048,   35,     0.0
     2.2,-0.000848,-0.001769,  0,0.016378,-0.003253,   5.046,   36,     0.0
     2.4,-0.000843,-0.001772,  0,0.016234,-0.003217,   5.048,   36,     0.0
     2.6,-0.000851,-0.001772,  0,0.016234,-0.003217,   5.048,   37,     0.0
     2.8,-0.000848,-0.001772,  0,0.016265,-0.003253,   5.050,   38,     0.0
     3.0,-0.000848,-0.001772,  0,0.016354,-0.003217,   5.046,   36,     0.1
     3.2,-0.000856,-0.001769,  0,0.016415,-0.003205,   5.046,   34,     0.1
     3.4,-0.000852,-0.001766,  0,0.016464,-0.003240,   5.047,   35,     0.1
     3.6,-0.001732,-0.001766,  0,0.016539,-0.003205,   5.051,   35,     0.1
     3.8,-0.002690,-0.001510,  0,0.016597,-0.003192,   5.050,   35,     0.1
     4.0,-0.005055,-0.001510,  0,0.016591,-0.003228,   5.048,   35,     0.1
     4.2,-0.004321,-0.002739,  0,0.016615,-0.003205,   5.050,   36,     0.1
     4.4,0.000000,-0.005200,  0,0.016628,-0.003205,   5.050,   36,     0.1
     4.6,0.000000,-0.005200,  0,0.016601,-0.003228,   5.048,   36,     0.1
     4.8,0.000000,0.000000,  0,0.016294,0.000000,   5.048,   35,     0.1
     5.0,0.000000,0.000000,  0,0.016294,0.000000,   5.050,   36,     0.1
     5.2,0.000000,0.000000,  0,0.016294,0.000000,   5.055,   36,     0.1
     5.4,0.000000,0.000000,  0,0.016294,0.000000,   5.054,   36,     0.1
     5.6,0.000000,0.000000,  0,0.016294,0.000000,   5.056,   36,     0.1
     5.8,0.000000,0.000000,  0,0.000000,0.000000,   5.055,   35,     0.1
     6.0,0.000000,0.000000,  0,0.000000,0.000000,   5.052,   34,     0.1
     6.2,0.000000,0.000000,  0,0.000000,0.000000,   5.051,   36,     0.1
     6.4,0.000000,0.000000,  0,0.000000,0.000000,   5.048,   38,     0.1
     6.6,0.000000,0.000000,  0,0.000000,0.000000,   5.049,   36,     0.1
     6.8,0.000000,0.000000,  0,0.000000,0.000000,   5.051,   34,     0.1
     7.0,0.000000,0.000000,  0,0.000000,0.000000,   5.050,   35,     0.1
     7.2,0.000000,0.000000,  0,0.000000,0.000000,   5.052,   36,     0.1
     7.4,0.000000,0.000000,  0,0.000000,0.000000,   5.051,   36,     0.1
     7.6,0.000000,0.000000,  0,0.000000,0.000000,   5.048,   36,     0.1
     7.8,0.000000,0.000000,  0,0.000000,0.000000,   5.053,   36,     0.1
     8.0,0.000000,0.000000,  0,0.000000,0.000000,   5.049,   37,     0.1
     8.2,0.000000,0.000000,  0,0.000000,0.000000,   5.051,   36,     0.1
     8.4,0.000105,0.000118,  0,0.000000,0.000000,   5.056,   36,     0.1
     8.6,0.000118,0.000138,  0,0.000000,0.000000,   5.053,   36,     0.1
     8.8,0.000128,0.000166,  0,0.000000,0.000000,   5.050,   36,     0.1
     9.0,0.000139,0.000186,  0,0.000000,0.000000,   5.054,   35,     0.2
     9.2,0.000149,0.000202,  0,0.000000,0.000000,   5.050,   34,     0.2
     9.4,0.000155,0.000211,  0,0.000000,0.000000,   5.054,   34,     0.2
     9.6,0.000159,0.000226,  0,0.000157,0.000000,   5.047,   34,     0.2
     9.8,0.000176,0.000237,  0,0.000250,0.000014,   5.051,   35,     0.2
    10.0,0.000193,0.000248,  0,0.000327,0.000014,   5.048,   36,     0.2
    10.2,0.000206,0.000259,  0,0.000354,-0.000021,   5.048,   35,     0.2
    10.4,0.000223,0.000267,  0,0.000364,0.000014,   5.053,   35,     0.2
    10.6,0.000229,0.000275,  0,0.000347,-0.000009,   5.052,   36,     0.2
    10.8,0.000231,0.000280,  0,0.000371,0.000027,   5.054,   38,     0.2
    11.0,0.000241,0.000294,  0,0.000397,0.000040,   5.052,   37,     0.2
    11.2,0.000244,0.000308,  0,0.000411,0.000016,   5.053,   36,     0.2
    11.4,0.000248,0.000310,  0,0.000434,0.000052,   5.051,   36,     0.2
    11.6,0.000254,0.000318,  0,0.000444,0.000052,   5.049,   36,     0.2
    11.8,0.000253,0.000323,  0,0.000414,0.000029,   5.050,   36,     0.2
    12.0,0.000256,0.000331,  0,0.000431,0.000029,   5.050,   35,     0.2
    12.2,0.000255,0.000337,  0,0.000484,0.000029,   5.052,   35,     0.2
    12.4,0.000262,0.000342,  0,0.000548,0.000006,   5.053,   35,     0.2
    12.6,0.000269,0.000353,  0,0.000564,0.000006,   5.056,   36,     0.2
    12.8,0.000268,0.000355,  0,0.000581,0.000041,   5.055,   37,     0.2
    13.0,0.000274,0.000357,  0,0.000594,0.000031,   5.051,   38,     0.2
    13.2,0.000281,0.000366,  0,0.000624,0.000031,   5.052,   38,     0.2
    13.4,0.000284,0.000370,  0,0.000638,0.000067,   5.053,   37,     0.2
    13.6,0.000280,0.000375,  0,0.000674,0.000043,   5.052,   35,     0.2
    13.8,0.000280,0.000386,  0,0.000721,0.000043,   5.051,   35,     0.2
    14.0,0.000288,0.000403,  0,0.000764,0.000067,   5.056,   35,     0.2
    14.2,0.000283,0.000405,  0,0.000821,0.000031,   5.054,   35,     0.2
    14.4,0.000290,0.000414,  0,0.000764,0.000043,   5.052,   35,     0.2
    14.6,0.000297,0.000419,  0,0.000661,0.000079,   5.050,   35,     0.2
    14.8,0.000295,0.000421,  0,0.000508,0.000043,   5.053,   34,     0.2
    15.0,0.000303,0.000427,  0,0.000508,0.000043,   5.054,   35,     0.3
    15.2,0.000307,0.000424,  0,0.000551,0.000067,   5.052,   36,     0.3
    15.4,0.000302,0.000423,  0,0.000651,0.000031,   5.053,   36,     0.3
    15.6,0.000309,0.000428,  0,0.000668,0.000031,   5.052,   37,     0.3
    15.8,0.000309,0.000431,  0,0.000705,0.000067,   5.050,   37,     0.3
    16.0,0.000304,0.000428,  0,0.000691,0.000067,   5.056,   38,     0.3
    16.2,0.000311,0.000431,  0,0.000339,0.000079,   5.054,   37,     0.3
    16.4,0.000322,0.000437,  0,-0.000166,0.000067,   5.054,   36,     0.3
    16.6,0.000325,0.000442,  0,-0.000861,0.000079,   5.050,   36,     0.3
    16.8,0.000331,0.000442,  0,-0.000994,0.000092,   5.052,   35,     0.3
    17.0,0.000346,0.000438,  0,-0.000958,0.000079,   5.054,   37,     0.3
    17.2,0.000345,0.000447,  0,-0.000709,0.000079,   5.051,   39,     0.3
    17.4,0.000348,0.000449,  0,-0.000282,0.000043,   5.055,   37,     0.3
    17.6,0.000353,0.000454,  0,-0.000159,0.000069,   5.053,   35,     0.3
    17.8,0.000348,0.000460,  0,-0.000027,0.000069,   5.054,   35,     0.3
    18.0,0.000348,0.000472,  0,0.000103,0.000033,   5.051,   36,     0.3
    18.2,0.000356,0.000466,  0,0.000196,0.000081,   5.054,   35,     0.3
    18.4,0.000352,0.000478,  0,0.000282,0.000069,   5.054,   35,     0.3
    18.6,0.000352,0.000477,  0,0.000342,0.000033,   5.054,   36,     0.3
    18.8,0.000360,0.000483,  0,0.000405,0.000081,   5.057,   37,     0.3
    19.0,0.000355,0.000492,  0,0.000462,0.000069,   5.056,   36,     0.3
    19.2,0.000366,0.000498,  0,0.000532,0.000033,   5.054,   34,     0.3
    19.4,0.000371,0.000495,  0,0.000575,0.000081,   5.056,   35,     0.3
    19.6,0.000360,0.000493,  0,0.000578,0.000069,   5.056,   35,     0.3
    19.8,0.000368,0.000499,  0,0.000578,0.000045,   5.052,   35,     0.3
    20.0,0.000364,0.000497,  0,0.000595,0.000081,   5.054,   35,     0.3
    20.2,0.000356,0.000490,  0,0.000611,0.000081,   5.057,   35,     0.3
