Run Name,group 8 run 2
Run Date,05:34:53 PM   02-27-20
Method Name,group 8 run 2
Export Format Version, 1.00
Method ID, 3920
Points/Second, 5.00
Number of Records,  19525
Offset from Run Start Time,00:00:00
Run End Time,01:05:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000698,0.000592,  0,0.009631,0.000243,   4.809,   39,     0.0
     0.2,0.000693,0.000588,  0,0.009646,0.000255,   4.809,   39,     0.0
     0.4,0.000690,0.000585,  0,0.009677,0.000255,   4.806,   39,     0.0
     0.6,0.000690,0.000584,  0,0.009759,0.000243,   4.807,   39,     0.0
     0.8,0.000685,0.000581,  0,0.009788,0.000255,   4.812,   40,     0.0
     1.0,0.000690,0.000572,  0,0.009815,0.000243,   4.809,   39,     0.0
     1.2,0.000698,0.000584,  0,0.009855,0.000230,   4.809,   39,     0.0
     1.4,0.000690,0.000587,  0,0.009867,0.000243,   4.811,   39,     0.0
     1.6,0.000698,0.000578,  0,0.009882,0.000230,   4.808,   38,     0.0
     1.8,0.000694,0.000584,  0,0.009879,0.000230,   4.809,   39,     0.0
     2.0,0.000686,0.000584,  0,0.009865,0.000243,   4.807,   39,     0.0
     2.2,0.000694,0.000578,  0,0.009877,0.000243,   4.807,   38,     0.0
     2.4,0.000989,0.000581,  0,0.009889,0.000255,   4.806,   38,     0.0
     2.6,0.000098,0.000000,  0,0.009914,0.000268,   4.809,   38,     0.0
     2.8,-0.002005,0.000000,  0,0.009929,0.000255,   4.809,   39,     0.0
     3.0,-0.002349,0.000000,  0,0.009956,0.000255,   4.806,   39,     0.1
     3.2,0.000000,0.000000,  0,0.009973,0.000268,   4.806,   40,     0.1
     3.4,0.000000,0.000000,  0,0.009961,0.000255,   4.808,   39,     0.1
     3.6,0.000000,0.000000,  0,0.009917,0.000000,   4.805,   39,     0.1
     3.8,0.000000,0.000000,  0,0.009835,0.000000,   4.804,   40,     0.1
     4.0,0.000000,0.000000,  0,0.009821,0.000000,   4.805,   41,     0.1
     4.2,0.000000,0.000000,  0,0.009796,0.000000,   4.803,   40,     0.1
     4.4,0.000000,0.000000,  0,0.009794,0.000000,   4.806,   40,     0.1
     4.6,0.000000,0.000000,  0,0.009848,0.000000,   4.806,   39,     0.1
     4.8,0.000000,0.000000,  0,0.009917,0.000000,   4.808,   39,     0.1
     5.0,0.000000,0.000000,  0,0.009843,0.000000,   4.807,   39,     0.1
