Run Name,Group 9 run 2 2020
Run Date,03:51:01 PM   03-02-20
Method Name,group 9 run 2 2020
Export Format Version, 1.00
Method ID, 3925
Points/Second, 5.00
Number of Records,  18000
Offset from Run Start Time,00:00:00
Run End Time,01:00:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000758,0.000000,  0,0.002704,0.000000,   4.712,   37,     0.0
     0.2,0.000781,0.000000,  0,0.002704,0.000000,   4.707,   37,     0.0
     0.4,0.000762,0.000000,  0,0.002704,0.000000,   4.709,   37,     0.0
     0.6,0.000784,0.000000,  0,0.002704,0.000000,   4.715,   37,     0.0
     0.8,0.000000,0.000000,  0,0.000000,0.000000,   4.713,   36,     0.0
     1.0,0.000000,0.000000,  0,0.000000,0.000000,   4.713,   38,     0.0
     1.2,0.000000,0.000000,  0,0.000000,0.000000,   4.715,   40,     0.0
     1.4,0.000000,0.000000,  0,0.000000,0.000000,   4.713,   38,     0.0
     1.6,0.000000,0.000000,  0,0.000000,0.000000,   4.714,   35,     0.0
     1.8,0.000000,0.000000,  0,0.000000,0.000000,   4.719,   35,     0.0
     2.0,0.000000,0.000000,  0,0.000000,0.000000,   4.714,   35,     0.0
     2.2,0.000000,0.000000,  0,0.000000,0.000000,   4.715,   36,     0.0
     2.4,0.000000,0.000000,  0,0.000000,0.000000,   4.717,   36,     0.0
     2.6,0.000000,0.000000,  0,0.000000,0.000000,   4.713,   36,     0.0
     2.8,0.000000,0.000000,  0,0.000000,0.000000,   4.717,   36,     0.0
     3.0,0.000000,0.000000,  0,0.000000,0.000000,   4.715,   36,     0.1
     3.2,0.000000,0.000000,  0,0.000000,0.000000,   4.718,   36,     0.1
     3.4,0.000000,0.000000,  0,0.000000,0.000000,   4.711,   36,     0.1
     3.6,0.000000,0.000000,  0,0.000000,0.000000,   4.712,   37,     0.1
     3.8,0.000000,0.000000,  0,0.000000,0.000000,   4.712,   37,     0.1
     4.0,0.000000,0.000000,  0,0.000000,0.000000,   4.713,   38,     0.1
     4.2,0.000000,0.000000,  0,0.000000,0.000000,   4.718,   36,     0.1
     4.4,0.000000,0.000000,  0,0.000000,0.000000,   4.713,   35,     0.1
     4.6,0.000000,0.000004,  0,-0.000012,-0.000013,   4.714,   35,     0.1
     4.8,0.000007,0.000006,  0,-0.000022,-0.000062,   4.717,   35,     0.1
     5.0,-0.000001,0.000003,  0,-0.000024,-0.000038,   4.712,   36,     0.1
     5.2,0.000003,0.000006,  0,-0.000024,-0.000062,   4.716,   36,     0.1
     5.4,0.000000,0.000011,  0,-0.000012,-0.000026,   4.714,   37,     0.1
     5.6,-0.000003,0.000011,  0,-0.000022,-0.000013,   4.719,   37,     0.1
     5.8,-0.000011,0.000008,  0,0.000000,-0.000036,   4.719,   37,     0.1
