Run Name,Run 1
Run Date,04:19:39 PM   03-30-21
Method Name,S21 Group 1 LG 4%-46%
Export Format Version, 1.00
Method ID, 3960
Points/Second, 5.00
Number of Records,  13150
Offset from Run Start Time,00:00:00
Run End Time,00:43:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000026,0.001322,  4,0.010564,0.000631,  48.629,   38,     0.0
     0.2,0.000201,0.001322,  4,0.010576,0.000631,  48.628,   37,     0.0
     0.4,-0.001949,0.001325,  4,0.010577,0.000644,  48.625,   37,     0.0
     0.6,-0.001982,0.001326,  4,0.010588,0.000631,  48.632,   37,     0.0
     0.8,0.000000,0.001332,  4,0.010566,0.000631,  48.632,   38,     0.0
     1.0,0.000000,0.001332,  4,0.010544,0.000644,  48.628,   38,     0.0
     1.2,0.000000,0.000000,  4,0.010634,0.000631,  48.629,   38,     0.0
     1.4,0.000000,0.000000,  4,0.010634,0.000000,  48.633,   38,     0.0
     1.6,0.000000,0.000000,  4,0.010634,0.000000,  48.634,   39,     0.0
     1.8,0.000000,0.000000,  4,0.010634,0.000000,  48.636,   38,     0.0
     2.0,0.000000,0.000000,  4,0.000000,0.000000,  48.640,   37,     0.0
     2.2,0.000000,0.000000,  4,0.000000,0.000000,  48.639,   37,     0.0
     2.4,0.000000,0.000000,  4,0.000000,0.000000,  48.637,   37,     0.0
     2.6,0.000000,0.000000,  4,0.000000,0.000000,  48.638,   37,     0.0
     2.8,0.000000,0.000000,  4,0.000000,0.000000,  48.646,   37,     0.0
     3.0,0.000000,0.000000,  4,0.000000,0.000000,  48.644,   37,     0.1
     3.2,0.000000,0.000000,  4,0.000000,0.000000,  48.649,   38,     0.1
     3.4,0.000000,0.000000,  4,0.000000,0.000000,  48.644,   38,     0.1
     3.6,0.000000,0.000000,  4,0.000000,0.000000,  48.646,   38,     0.1
     3.8,0.000000,0.000000,  4,0.000000,0.000000,  48.649,   37,     0.1
     4.0,0.000000,0.000000,  4,0.000000,0.000000,  48.645,   37,     0.1
     4.2,0.000000,0.000000,  4,0.000000,0.000000,  48.645,   38,     0.1
     4.4,0.000000,0.000000,  4,0.000000,0.000000,  48.647,   39,     0.1
     4.6,0.000000,0.000000,  4,0.000000,0.000000,  48.647,   38,     0.1
     4.8,0.000193,0.000000,  4,0.000000,0.000000,  48.647,   37,     0.1
     5.0,0.000202,0.000000,  4,0.000000,0.000000,  48.646,   39,     0.1
     5.2,0.000230,0.000000,  4,0.000000,0.000000,  48.651,   40,     0.1
     5.4,0.000247,0.000000,  4,0.000000,0.000000,  48.653,   38,     0.1
     5.6,0.000271,0.000000,  4,0.000000,0.000000,  48.646,   37,     0.1
     5.8,0.000280,0.000209,  4,-0.000732,0.000000,  48.645,   37,     0.1
     6.0,0.000305,0.000228,  4,-0.000556,-0.000011,  48.651,   37,     0.1
     6.2,0.000322,0.000244,  4,-0.000390,0.000051,  48.649,   38,     0.1
     6.4,0.000320,0.000260,  4,-0.000215,0.000063,  48.654,   39,     0.1
     6.6,0.000332,0.000282,  4,-0.000062,0.000089,  48.651,   38,     0.1
     6.8,0.000339,0.000313,  4,0.000091,0.000053,  48.656,   37,     0.1
     7.0,0.000334,0.000344,  4,0.000222,0.000101,  48.650,   38,     0.1
     7.2,0.000342,0.000360,  4,0.000299,0.000127,  48.652,   39,     0.1
     7.4,0.000345,0.000362,  4,0.000343,0.000103,  48.658,   39,     0.1
     7.6,0.000337,0.000374,  4,0.000322,0.000116,  48.657,   38,     0.1
     7.8,0.000345,0.000370,  4,0.000345,0.000129,  48.656,   39,     0.1
     8.0,0.000349,0.000376,  4,0.000356,0.000129,  48.650,   39,     0.1
     8.2,0.000356,0.000382,  4,0.000357,0.000129,  48.655,   39,     0.1
     8.4,0.000367,0.000382,  4,0.000357,0.000141,  48.654,   38,     0.1
     8.6,0.000370,0.000384,  4,0.000336,0.000141,  48.657,   39,     0.1
     8.8,0.000374,0.000387,  4,0.000303,0.000129,  48.652,   40,     0.1
     9.0,0.000366,0.000388,  4,0.000281,0.000141,  48.656,   38,     0.2
     9.2,0.000366,0.000391,  4,0.000249,0.000141,  48.657,   37,     0.2
     9.4,0.000369,0.000390,  4,0.000195,0.000129,  48.660,   38,     0.2
     9.6,0.000369,0.000399,  4,0.000141,0.000141,  48.661,   40,     0.2
     9.8,0.000373,0.000405,  4,0.000087,0.000141,  48.659,   40,     0.2
    10.0,0.000376,0.000407,  4,0.000021,0.000141,  48.659,   39,     0.2
    10.2,0.000368,0.000416,  4,-0.000012,0.000154,  48.651,   39,     0.2
    10.4,0.000376,0.000423,  4,-0.000033,0.000141,  48.655,   38,     0.2
    10.6,0.000376,0.000420,  4,-0.000033,0.000141,  48.657,   37,     0.2
    10.8,0.000368,0.000411,  4,-0.000065,0.000154,  48.664,   36,     0.2
    11.0,0.000373,0.000414,  4,-0.000120,0.000154,  48.657,   38,     0.2
    11.2,0.000376,0.000414,  4,-0.000174,0.000154,  48.664,   39,     0.2
    11.4,0.000368,0.000411,  4,-0.000195,0.000167,  48.665,   39,     0.2
    11.6,0.000376,0.000405,  4,-0.000195,0.000154,  48.662,   38,     0.2
    11.8,0.000379,0.000405,  4,-0.000205,0.000164,  48.666,   39,     0.2
    12.0,0.000383,0.000408,  4,-0.000226,0.000177,  48.671,   40,     0.2
    12.2,0.000391,0.000411,  4,-0.000226,0.000154,  48.671,   39,     0.2
    12.4,0.000402,0.000411,  4,-0.000248,0.000190,  48.665,   39,     0.2
    12.6,0.000406,0.000414,  4,-0.000258,0.000190,  48.666,   38,     0.2
    12.8,0.000399,0.000423,  4,-0.000269,0.000179,  48.674,   38,     0.2
    13.0,0.000407,0.000423,  4,-0.000269,0.000202,  48.673,   38,     0.2
    13.2,0.000414,0.000417,  4,-0.000290,0.000179,  48.676,   38,     0.2
    13.4,0.000414,0.000423,  4,-0.000323,0.000156,  48.677,   38,     0.2
    13.6,0.000409,0.000428,  4,-0.000356,0.000143,  48.677,   38,     0.2
    13.8,0.000416,0.000434,  4,-0.000378,0.000179,  48.679,   38,     0.2
    14.0,0.000431,0.000439,  4,-0.000389,0.000179,  48.681,   39,     0.2
    14.2,0.000426,0.000442,  4,-0.000399,0.000192,  48.687,   38,     0.2
    14.4,0.000429,0.000448,  4,-0.000399,0.000205,  48.689,   38,     0.2
    14.6,0.000441,0.000450,  4,-0.000708,0.000205,  48.682,   38,     0.2
    14.8,0.000443,0.000458,  4,-0.001127,0.000205,  48.687,   38,     0.2
    15.0,0.000453,0.000464,  4,-0.001698,0.000205,  48.689,   37,     0.3
    15.2,0.000468,0.000463,  4,-0.001719,0.000205,  48.690,   37,     0.3
    15.4,0.000463,0.000466,  4,-0.001543,0.000205,  48.698,   39,     0.3
    15.6,0.000467,0.000472,  4,-0.001137,0.000192,  48.695,   40,     0.3
    15.8,0.000471,0.000481,  4,-0.001004,0.000192,  48.702,   39,     0.3
    16.0,0.000463,0.000479,  4,-0.000883,0.000205,  48.704,   37,     0.3
    16.2,0.000463,0.000479,  4,-0.000795,0.000192,  48.704,   38,     0.3
    16.4,0.000471,0.000481,  4,-0.000718,0.000192,  48.709,   40,     0.3
    16.6,0.000467,0.000484,  4,-0.000684,0.000205,  48.711,   39,     0.3
    16.8,0.000470,0.000492,  4,-0.000652,0.000192,  48.711,   38,     0.3
    17.0,0.000481,0.000498,  4,-0.000608,0.000192,  48.710,   39,     0.3
    17.2,0.000477,0.000501,  4,-0.000575,0.000205,  48.717,   39,     0.3
    17.4,0.000477,0.000510,  4,-0.000542,0.000192,  48.720,   38,     0.3
    17.6,0.000485,0.000510,  4,-0.000519,0.000192,  48.722,   37,     0.3
    17.8,0.000493,0.000506,  4,-0.000487,0.000205,  48.725,   38,     0.3
    18.0,0.000488,0.000509,  4,-0.000476,0.000205,  48.730,   38,     0.3
    18.2,0.000493,0.000518,  4,-0.000475,0.000205,  48.754,   38,     0.3
    18.4,0.000493,0.000515,  4,-0.000476,0.000205,  48.755,   38,     0.3
    18.6,0.000496,0.000512,  4,-0.000508,0.000205,  48.755,   38,     0.3
    18.8,0.000504,0.000513,  4,-0.000519,0.000205,  48.759,   38,     0.3
    19.0,0.000496,0.000512,  4,-0.000508,0.000205,  48.762,   38,     0.3
    19.2,0.000495,0.000520,  4,-0.000508,0.000205,  48.759,   39,     0.3
    19.4,0.000498,0.000526,  4,-0.000530,0.000217,  48.766,   39,     0.3
    19.6,0.000498,0.000532,  4,-0.000541,0.000217,  48.771,   39,     0.3
    19.8,0.000494,0.000534,  4,-0.000574,0.000230,  48.779,   39,     0.3
    20.0,0.000501,0.000532,  4,-0.000585,0.000243,  48.775,   38,     0.3
    20.2,0.000505,0.000534,  4,-0.000585,0.000230,  48.787,   38,     0.3
    20.4,0.000501,0.000534,  4,-0.000585,0.000230,  48.791,   38,     0.3
    20.6,0.000507,0.000534,  4,-0.000584,0.000243,  48.792,   38,     0.3
    20.8,0.000519,0.000537,  4,-0.000584,0.000243,  48.799,   38,     0.3
    21.0,0.000514,0.000537,  4,-0.000573,0.000243,  48.802,   38,     0.3
    21.2,0.000514,0.000537,  4,-0.000561,0.000255,  48.810,   39,     0.4
    21.4,0.000522,0.000543,  4,-0.000540,0.000255,  48.808,   38,     0.4
    21.6,0.000517,0.000546,  4,-0.000518,0.000243,  48.813,   38,     0.4
    21.8,0.000521,0.000546,  4,-0.000507,0.000243,  48.822,   38,     0.4
    22.0,0.000529,0.000548,  4,-0.000496,0.000207,  48.823,   38,     0.4
    22.2,0.000524,0.000548,  4,-0.000496,0.000230,  48.838,   39,     0.4
    22.4,0.000532,0.000543,  4,-0.000507,0.000217,  48.836,   39,     0.4
    22.6,0.000534,0.000539,  4,-0.000540,0.000181,  48.845,   38,     0.4
    22.8,0.000525,0.000539,  4,-0.000573,0.000194,  48.846,   37,     0.4
    23.0,0.000534,0.000544,  4,-0.000639,0.000230,  48.853,   39,     0.4
    23.2,0.000534,0.000541,  4,-0.000640,0.000243,  48.860,   42,     0.4
    23.4,0.000525,0.000544,  4,-0.000650,0.000230,  48.862,   40,     0.4
    23.6,0.000534,0.000559,  4,-0.000661,0.000230,  48.864,   38,     0.4
    23.8,0.000534,0.000559,  4,-0.000672,0.000243,  48.867,   38,     0.4
    24.0,0.000522,0.000559,  4,-0.000682,0.000230,  48.881,   38,     0.4
    24.2,0.000530,0.000556,  4,-0.000694,0.000230,  48.904,   38,     0.4
    24.4,0.000530,0.000562,  4,-0.000682,0.000243,  48.909,   38,     0.4
    24.6,0.000522,0.000560,  4,-0.000671,0.000243,  48.912,   38,     0.4
    24.8,0.000530,0.000557,  4,-0.000638,0.000255,  48.919,   38,     0.4
    25.0,0.000534,0.000564,  4,-0.000616,0.000268,  48.922,   38,     0.4
    25.2,0.000532,0.000564,  4,-0.000616,0.000243,  48.927,   38,     0.4
    25.4,0.000547,0.000561,  4,-0.000616,0.000266,  48.935,   39,     0.4
    25.6,0.000554,0.000555,  4,-0.000616,0.000278,  48.939,   39,     0.4
    25.8,0.000549,0.000551,  4,-0.000605,0.000230,  48.941,   39,     0.4
    26.0,0.000557,0.000557,  4,-0.000605,0.000266,  48.942,   39,     0.4
    26.2,0.000557,0.000562,  4,-0.000615,0.000278,  48.951,   39,     0.4
    26.4,0.000557,0.000568,  4,-0.000605,0.000243,  48.959,   39,     0.4
    26.6,0.000561,0.000568,  4,-0.000605,0.000255,  48.962,   39,     0.4
    26.8,0.000564,0.000568,  4,-0.000604,0.000268,  48.967,   39,     0.4
    27.0,0.000564,0.000574,  4,-0.000604,0.000255,  48.973,   38,     0.4
    27.2,0.000556,0.000579,  4,-0.000593,0.000243,  48.977,   38,     0.5
    27.4,0.000564,0.000582,  4,-0.000879,0.000255,  48.982,   38,     0.5
    27.6,0.000564,0.000588,  4,-0.001286,0.000268,  48.986,   38,     0.5
    27.8,0.000556,0.000593,  4,-0.001814,0.000268,  48.987,   39,     0.5
    28.0,0.000559,0.000596,  4,-0.001836,0.000281,  48.992,   39,     0.5
    28.2,0.000563,0.000595,  4,-0.001660,0.000268,  48.997,   39,     0.5
    28.4,0.000550,0.000601,  4,-0.001276,0.000243,  49.007,   39,     0.5
    28.6,0.000557,0.000601,  4,-0.001133,0.000255,  49.007,   37,     0.5
    28.8,0.000567,0.000598,  4,-0.001044,0.000255,  49.011,   36,     0.5
    29.0,0.000559,0.000588,  4,-0.000967,0.000255,  49.017,   37,     0.5
    29.2,0.000551,0.000592,  4,-0.000901,0.000268,  49.016,   39,     0.5
    29.4,0.000559,0.000592,  4,-0.000845,0.000255,  49.020,   38,     0.5
    29.6,0.000562,0.000592,  4,-0.000780,0.000255,  49.041,   37,     0.5
    29.8,0.000554,0.000595,  4,-0.000758,0.000268,  49.046,   39,     0.5
    30.0,0.000562,0.000604,  4,-0.000758,0.000255,  49.051,   40,     0.5
    30.2,0.000566,0.000607,  4,-0.000769,0.000255,  49.053,   39,     0.5
    30.4,0.000561,0.000607,  4,-0.000747,0.000255,  49.053,   38,     0.5
    30.6,0.000569,0.000610,  4,-0.000704,0.000232,  49.059,   38,     0.5
    30.8,0.000569,0.000613,  4,-0.000692,0.000268,  49.060,   37,     0.5
    31.0,0.000561,0.000609,  4,-0.000681,0.000268,  49.065,   38,     0.5
    31.2,0.000569,0.000612,  4,-0.000671,0.000245,  49.067,   39,     0.5
    31.4,0.000569,0.000612,  4,-0.000681,0.000245,  49.067,   38,     0.5
    31.6,0.000564,0.000618,  4,-0.000692,0.000281,  49.076,   38,     0.5
    31.8,0.000573,0.000625,  4,-0.000681,0.000281,  49.074,   38,     0.5
    32.0,0.000576,0.000625,  4,-0.000680,0.000281,  49.075,   39,     0.5
    32.2,0.000568,0.000613,  4,-0.000659,0.000281,  49.077,   38,     0.5
    32.4,0.000576,0.000612,  4,-0.000658,0.000281,  49.077,   38,     0.5
    32.6,0.000576,0.000618,  4,-0.000659,0.000281,  49.073,   38,     0.5
    32.8,0.000576,0.000626,  4,-0.000659,0.000281,  49.076,   38,     0.5
    33.0,0.000581,0.000629,  4,-0.000637,0.000281,  49.078,   38,     0.6
    33.2,0.000581,0.000622,  4,-0.000626,0.000281,  49.083,   38,     0.6
    33.4,0.000581,0.000634,  4,-0.000604,0.000268,  49.083,   39,     0.6
    33.6,0.000574,0.000628,  4,-0.000615,0.000281,  49.082,   40,     0.6
    33.8,0.000582,0.000623,  4,-0.000648,0.000281,  49.085,   38,     0.6
    34.0,0.000585,0.000623,  4,-0.000703,0.000268,  49.080,   37,     0.6
    34.2,0.000582,0.000621,  4,-0.000713,0.000281,  49.077,   37,     0.6
    34.4,0.000590,0.000627,  4,-0.000702,0.000281,  49.079,   37,     0.6
    34.6,0.000593,0.000627,  4,-0.000680,0.000281,  49.078,   38,     0.6
    34.8,0.000582,0.000618,  4,-0.000690,0.000281,  49.082,   38,     0.6
    35.0,0.000582,0.000618,  4,-0.000690,0.000281,  49.077,   38,     0.6
    35.2,0.000589,0.000625,  4,-0.000702,0.000281,  49.075,   38,     0.6
    35.4,0.000589,0.000631,  4,-0.000701,0.000281,  49.073,   38,     0.6
    35.6,0.000592,0.000622,  4,-0.000690,0.000281,  49.072,   39,     0.6
    35.8,0.000592,0.000628,  4,-0.000679,0.000281,  49.066,   38,     0.6
    36.0,0.000592,0.000631,  4,-0.000679,0.000281,  49.067,   38,     0.6
    36.2,0.000592,0.000628,  4,-0.000679,0.000281,  49.066,   38,     0.6
    36.4,0.000595,0.000627,  4,-0.000668,0.000281,  49.063,   38,     0.6
    36.6,0.000595,0.000627,  4,-0.000679,0.000281,  49.064,   38,     0.6
    36.8,0.000599,0.000632,  4,-0.000701,0.000281,  49.057,   39,     0.6
    37.0,0.000606,0.000635,  4,-0.000712,0.000268,  49.062,   38,     0.6
    37.2,0.000606,0.000632,  4,-0.000702,0.000281,  49.056,   38,     0.6
    37.4,0.000617,0.000632,  4,-0.000680,0.000281,  49.053,   39,     0.6
    37.6,0.000612,0.000632,  4,-0.000669,0.000268,  49.052,   39,     0.6
    37.8,0.000619,0.000627,  4,-0.000669,0.000281,  49.056,   38,     0.6
    38.0,0.000627,0.000630,  4,-0.000691,0.000281,  49.054,   38,     0.6
    38.2,0.000623,0.000635,  4,-0.000724,0.000281,  49.052,   38,     0.6
    38.4,0.000629,0.000638,  4,-0.000723,0.000293,  49.049,   37,     0.6
    38.6,0.000633,0.000640,  4,-0.000679,0.000293,  49.052,   37,     0.6
    38.8,0.000639,0.000643,  4,-0.000636,0.000293,  49.053,   37,     0.6
    39.0,0.000643,0.000648,  4,-0.000624,0.000293,  49.054,   38,     0.6
