Run Name,Run 1
Run Date,05:23:20 PM   03-30-21
Method Name,S21 Group 1 MG
Export Format Version, 1.00
Method ID, 3962
Points/Second, 5.00
Number of Records,  13590
Offset from Run Start Time,00:00:00
Run End Time,00:45:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000864,0.001203,  4,0.018702,0.000352,  47.866,  -11,     0.0
     0.2,-0.001978,0.001200,  4,0.018691,0.000352,  47.868,   14,     0.0
     0.4,-0.002342,0.001203,  4,0.018702,0.000352,  47.868,   39,     0.0
     0.6,-0.001791,0.001199,  4,0.018702,0.000352,  47.866,   38,     0.0
     0.8,0.000000,0.001196,  4,0.018714,0.000339,  47.814,   38,     0.0
     1.0,0.000000,0.001199,  4,0.018715,0.000362,  47.653,   38,     0.0
     1.2,0.000000,0.000000,  4,0.018715,0.000000,  47.537,   38,     0.0
     1.4,0.000000,0.000000,  4,0.018715,0.000000,  47.450,   38,     0.0
     1.6,0.000000,0.000000,  4,0.018727,0.000000,  47.412,   37,     0.0
     1.8,0.000000,0.000000,  4,0.018739,0.000000,  47.399,   38,     0.0
     2.0,0.000000,0.000000,  4,0.018751,0.000000,  47.378,   39,     0.0
     2.2,0.000000,0.000000,  4,0.018740,0.000000,  47.352,   38,     0.0
     2.4,0.000000,0.000000,  4,0.018751,0.000000,  47.339,   36,     0.0
     2.6,0.000000,0.000000,  4,0.018719,0.000000,  47.334,   37,     0.0
     2.8,0.000000,0.000000,  4,0.018719,0.000000,  47.331,   37,     0.0
     3.0,0.000000,0.000000,  4,0.018719,0.000000,  47.326,   38,     0.1
     3.2,0.000000,0.000000,  4,0.018719,0.000000,  47.321,   38,     0.1
     3.4,0.000000,0.000000,  4,0.000000,0.000000,  47.311,   38,     0.1
     3.6,0.000000,0.000000,  4,0.000000,0.000000,  47.310,   38,     0.1
     3.8,0.000063,0.000000,  4,0.000000,0.000000,  47.308,   39,     0.1
     4.0,0.000109,0.000000,  4,0.000000,0.000000,  47.307,   41,     0.1
     4.2,0.000155,0.000000,  4,0.000000,0.000000,  47.300,   39,     0.1
     4.4,0.000174,0.000000,  4,0.000000,0.000000,  47.285,   38,     0.1
     4.6,0.000177,0.000000,  4,0.000000,0.000000,  47.281,   38,     0.1
     4.8,0.000178,0.000000,  4,0.000000,0.000000,  47.270,   37,     0.1
     5.0,0.000184,0.000000,  4,0.000000,0.000015,  47.270,   37,     0.1
     5.2,0.000197,0.000143,  4,0.000000,-0.000021,  47.275,   36,     0.1
     5.4,0.000222,0.000150,  4,0.000000,0.000015,  47.266,   37,     0.1
     5.6,0.000225,0.000155,  4,0.000000,0.000027,  47.271,   38,     0.1
     5.8,0.000236,0.000173,  4,0.000000,0.000053,  47.268,   38,     0.1
     6.0,0.000247,0.000184,  4,0.000000,0.000030,  47.264,   37,     0.1
     6.2,0.000258,0.000194,  4,0.000000,0.000055,  47.268,   38,     0.1
     6.4,0.000264,0.000208,  4,0.000000,0.000068,  47.271,   38,     0.1
     6.6,0.000276,0.000222,  4,0.000937,0.000093,  47.268,   38,     0.1
     6.8,0.000279,0.000230,  4,0.001047,0.000093,  47.264,   38,     0.1
     7.0,0.000278,0.000253,  4,0.001136,0.000106,  47.272,   38,     0.1
     7.2,0.000283,0.000273,  4,0.001192,0.000118,  47.274,   38,     0.1
     7.4,0.000279,0.000288,  4,0.001237,0.000131,  47.273,   37,     0.1
     7.6,0.000268,0.000294,  4,0.001281,0.000143,  47.273,   37,     0.1
     7.8,0.000269,0.000294,  4,0.001281,0.000143,  47.280,   36,     0.1
     8.0,0.000266,0.000293,  4,0.001271,0.000156,  47.287,   36,     0.1
