Run Name,Run 1
Run Date,05:08:44 PM   04-16-21
Method Name,Group 10 S21 MG
Export Format Version, 1.00
Method ID, 3986
Points/Second, 5.00
Number of Records,  13528
Offset from Run Start Time,00:00:00
Run End Time,00:45:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001268,0.001214,  5,0.018734,0.000441,  47.592,   41,     0.0
     0.2,0.001268,0.001207,  5,0.018745,0.000454,  47.596,   40,     0.0
     0.4,0.001264,0.001207,  5,0.018746,0.000405,  47.597,   39,     0.0
     0.6,0.001272,0.001211,  5,0.018734,0.000416,  47.600,   39,     0.0
     0.8,0.001272,0.001204,  5,0.018757,0.000429,  47.605,   39,     0.0
     1.0,0.001272,0.001204,  5,0.018779,0.000393,  47.603,   40,     0.0
     1.2,0.001272,0.000000,  5,0.018813,0.000416,  47.608,   40,     0.0
     1.4,0.000356,0.000000,  5,0.018814,0.000429,  47.606,   40,     0.0
     1.6,-0.000967,0.000000,  5,0.018802,0.000393,  47.607,   41,     0.0
     1.8,-0.003104,0.000000,  5,0.018779,0.000416,  47.608,   41,     0.0
     2.0,-0.002268,0.000000,  5,0.018746,0.000429,  47.607,   40,     0.0
     2.2,0.000000,0.000000,  5,0.018700,0.000393,  47.606,   40,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,  47.602,   40,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,  47.597,   40,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,  47.601,   40,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,  47.596,   41,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,  47.601,   41,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,  47.592,   40,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,  47.594,   38,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,  47.595,   39,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,  47.591,   41,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,  47.593,   41,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,  47.592,   41,     0.1
     4.6,0.000000,0.000000,  5,0.000000,0.000000,  47.587,   40,     0.1
     4.8,0.000000,0.000000,  5,0.000000,0.000000,  47.588,   40,     0.1
     5.0,0.000000,0.000000,  5,0.000000,0.000000,  47.588,   39,     0.1
     5.2,0.000000,0.000293,  5,0.000000,0.000000,  47.588,   37,     0.1
     5.4,0.000000,0.000307,  5,0.000000,0.000000,  47.588,   39,     0.1
     5.6,0.000156,0.000324,  5,0.000000,0.000000,  47.587,   40,     0.1
     5.8,0.000180,0.000344,  5,0.000000,0.000000,  47.586,   40,     0.1
     6.0,0.000192,0.000358,  5,0.000000,0.000000,  47.586,   39,     0.1
     6.2,0.000224,0.000366,  5,0.000000,0.000000,  47.580,   40,     0.1
     6.4,0.000240,0.000371,  5,0.000000,0.000000,  47.585,   42,     0.1
     6.6,0.000264,0.000380,  5,0.000409,0.000000,  47.582,   40,     0.1
     6.8,0.000278,0.000385,  5,0.000721,0.000061,  47.584,   38,     0.1
     7.0,0.000287,0.000396,  5,0.000958,0.000038,  47.576,   39,     0.1
     7.2,0.000301,0.000414,  5,0.001109,0.000063,  47.576,   39,     0.1
     7.4,0.000319,0.000419,  5,0.001174,0.000063,  47.579,   39,     0.1
     7.6,0.000321,0.000433,  5,0.001141,0.000089,  47.572,   39,     0.1
     7.8,0.000328,0.000439,  5,0.001141,0.000078,  47.572,   39,     0.1
     8.0,0.000331,0.000441,  5,0.001120,0.000127,  47.569,   39,     0.1
     8.2,0.000327,0.000441,  5,0.001066,0.000152,  47.568,   39,     0.1
     8.4,0.000330,0.000438,  5,0.001012,0.000129,  47.568,   38,     0.1
     8.6,0.000327,0.000435,  5,0.000937,0.000129,  47.566,   39,     0.1
     8.8,0.000322,0.000438,  5,0.000860,0.000142,  47.564,   39,     0.1
     9.0,0.000325,0.000444,  5,0.000774,0.000116,  47.565,   39,     0.2
     9.2,0.000340,0.000441,  5,0.000699,0.000104,  47.556,   40,     0.2
     9.4,0.000344,0.000446,  5,0.000612,0.000116,  47.534,   40,     0.2
     9.6,0.000340,0.000455,  5,0.000537,0.000129,  47.537,   40,     0.2
     9.8,0.000337,0.000451,  5,0.000472,0.000142,  47.536,   40,     0.2
    10.0,0.000340,0.000460,  5,0.000397,0.000154,  47.537,   40,     0.2
    10.2,0.000344,0.000463,  5,0.000333,0.000154,  47.532,   39,     0.2
    10.4,0.000339,0.000459,  5,0.000268,0.000154,  47.544,   38,     0.2
    10.6,0.000354,0.000468,  5,0.000194,0.000167,  47.531,   38,     0.2
    10.8,0.000353,0.000470,  5,0.000141,0.000167,  47.538,   38,     0.2
    11.0,0.000353,0.000469,  5,0.000087,0.000167,  47.538,   39,     0.2
    11.2,0.000349,0.000475,  5,0.000044,0.000180,  47.539,   39,     0.2
    11.4,0.000353,0.000487,  5,-0.000031,0.000193,  47.537,   40,     0.2
    11.6,0.000345,0.000499,  5,-0.000107,0.000193,  47.527,   40,     0.2
    11.8,0.000356,0.000502,  5,-0.000193,0.000193,  47.536,   39,     0.2
    12.0,0.000363,0.000513,  5,-0.000246,0.000157,  47.535,   38,     0.2
    12.2,0.000362,0.000522,  5,-0.000268,0.000157,  47.535,   39,     0.2
    12.4,0.000380,0.000528,  5,-0.000268,0.000157,  47.537,   40,     0.2
    12.6,0.000387,0.000530,  5,-0.000321,0.000121,  47.541,   39,     0.2
    12.8,0.000382,0.000530,  5,-0.000375,0.000157,  47.543,   39,     0.2
    13.0,0.000394,0.000538,  5,-0.000451,0.000157,  47.548,   40,     0.2
    13.2,0.000397,0.000550,  5,-0.000483,0.000133,  47.549,   42,     0.2
    13.4,0.000389,0.000547,  5,-0.000537,0.000169,  47.556,   40,     0.2
    13.6,0.000397,0.000552,  5,-0.000570,0.000169,  47.553,   38,     0.2
    13.8,0.000404,0.000561,  5,-0.000602,0.000146,  47.551,   38,     0.2
    14.0,0.000408,0.000561,  5,-0.000634,0.000182,  47.554,   38,     0.2
    14.2,0.000419,0.000561,  5,-0.000678,0.000182,  47.555,   39,     0.2
    14.4,0.000426,0.000564,  5,-0.000710,0.000195,  47.562,   39,     0.2
    14.6,0.000429,0.000558,  5,-0.000742,0.000195,  47.569,   39,     0.2
    14.8,0.000429,0.000561,  5,-0.000753,0.000195,  47.569,   40,     0.2
    15.0,0.000433,0.000564,  5,-0.000784,0.000207,  47.586,   39,     0.3
    15.2,0.000436,0.000569,  5,-0.000795,0.000172,  47.591,   39,     0.3
    15.4,0.000436,0.000563,  5,-0.000795,0.000207,  47.598,   39,     0.3
    15.6,0.000440,0.000567,  5,-0.000795,0.000220,  47.603,   39,     0.3
    15.8,0.000440,0.000573,  5,-0.000816,0.000159,  47.605,   40,     0.3
    16.0,0.000436,0.000573,  5,-0.000816,0.000182,  47.610,   40,     0.3
    16.2,0.000443,0.000576,  5,-0.000838,0.000195,  47.612,   40,     0.3
    16.4,0.000443,0.000578,  5,-0.000880,0.000172,  47.615,   41,     0.3
    16.6,0.000443,0.000575,  5,-0.000924,0.000220,  47.619,   39,     0.3
    16.8,0.000455,0.000581,  5,-0.000979,0.000233,  47.636,   38,     0.3
    17.0,0.000461,0.000585,  5,-0.001000,0.000197,  47.645,   38,     0.3
    17.2,0.000461,0.000581,  5,-0.001021,0.000220,  47.647,   38,     0.3
    17.4,0.000461,0.000587,  5,-0.001010,0.000233,  47.654,   38,     0.3
    17.6,0.000470,0.000595,  5,-0.001010,0.000197,  47.658,   39,     0.3
    17.8,0.000463,0.000592,  5,-0.001031,0.000220,  47.668,   39,     0.3
    18.0,0.000467,0.000592,  5,-0.001042,0.000233,  47.671,   40,     0.3
    18.2,0.000459,0.000592,  5,-0.001042,0.000184,  47.677,   39,     0.3
    18.4,0.000467,0.000594,  5,-0.001042,0.000207,  47.674,   38,     0.3
    18.6,0.000467,0.000594,  5,-0.001041,0.000220,  47.692,   37,     0.3
    18.8,0.000463,0.000599,  5,-0.001041,0.000172,  47.699,   37,     0.3
    19.0,0.000470,0.000605,  5,-0.001052,0.000207,  47.712,   38,     0.3
