Run Name,Run 1
Run Date,03:35:40 PM   03-29-21
Method Name,S21 GROUP 11 LG 4-50%
Export Format Version, 1.00
Method ID, 3954
Points/Second, 5.00
Number of Records,  13584
Offset from Run Start Time,00:00:00
Run End Time,00:45:17
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001267,-0.004933,  4,0.277706,0.005829,   4.248,   36,     0.0
     0.2,0.001270,-0.004936,  4,0.277728,0.005793,   4.245,   36,     0.0
     0.4,0.001267,-0.004942,  4,0.277750,0.005829,   4.246,   36,     0.0
     0.6,0.001272,-0.004942,  4,0.277750,0.005829,   4.243,   36,     0.0
     0.8,0.001275,-0.004940,  4,0.277750,0.005829,   4.249,   36,     0.0
     1.0,0.001275,-0.004942,  4,0.277739,0.005793,   4.247,   36,     0.0
     1.2,-0.001246,0.000000,  4,0.277706,0.005842,   4.248,   36,     0.0
     1.4,-0.001187,0.000000,  4,0.277695,0.005829,   4.247,   36,     0.0
     1.6,-0.000875,0.000000,  4,0.277696,0.005829,   4.250,   36,     0.0
     1.8,-0.000875,0.000000,  4,0.277707,0.005865,   4.247,   36,     0.0
     2.0,0.000000,0.000000,  4,0.277728,0.005840,   4.247,   36,     0.0
     2.2,0.000000,0.000000,  4,0.277739,0.005804,   4.245,   36,     0.0
     2.4,0.000000,0.000000,  4,0.277750,0.005804,   4.246,   37,     0.0
     2.6,0.000000,0.000000,  4,0.000000,0.005852,   4.245,   36,     0.0
     2.8,0.000000,0.000000,  4,0.000000,0.005817,   4.252,   35,     0.0
     3.0,0.000000,0.000000,  4,0.000000,0.005817,   4.252,   37,     0.1
     3.2,0.000000,0.000000,  4,0.000000,0.005840,   4.249,   40,     0.1
     3.4,0.000000,0.000000,  4,0.000000,0.005829,   4.249,   38,     0.1
     3.6,0.000000,0.000000,  4,0.000000,0.000000,   4.252,   36,     0.1
     3.8,0.000000,0.000000,  4,0.000000,0.000000,   4.246,   36,     0.1
     4.0,0.000000,0.000000,  4,0.000000,0.000000,   4.250,   36,     0.1
     4.2,0.000000,0.000000,  4,0.000000,0.000000,   4.244,   36,     0.1
     4.4,0.000000,0.000000,  4,0.000000,0.000000,   4.249,   36,     0.1
     4.6,0.000000,0.000000,  4,0.000000,0.000000,   4.250,   36,     0.1
     4.8,0.000000,0.000000,  4,0.000000,0.000000,   4.249,   35,     0.1
     5.0,0.000000,0.000000,  4,0.000000,0.000000,   4.245,   36,     0.1
     5.2,0.000000,0.000000,  4,0.000000,0.000000,   4.249,   36,     0.1
     5.4,0.000000,0.000000,  4,0.000000,0.000000,   4.246,   36,     0.1
     5.6,0.000000,0.000000,  4,0.000000,0.000000,   4.246,   36,     0.1
     5.8,0.000000,0.000070,  4,0.000000,0.000000,   4.249,   36,     0.1
     6.0,0.000063,0.000069,  4,0.000000,0.000000,   4.249,   37,     0.1
     6.2,0.000069,0.000074,  4,0.000000,0.000000,   4.251,   37,     0.1
     6.4,0.000079,0.000082,  4,0.000000,0.000000,   4.252,   36,     0.1
     6.6,0.000086,0.000091,  4,0.000000,0.000000,   4.252,   36,     0.1
     6.8,0.000091,0.000099,  4,0.000000,0.000000,   4.253,   36,     0.1
     7.0,0.000098,0.000105,  4,0.000000,0.000000,   4.258,   35,     0.1
     7.2,0.000102,0.000118,  4,0.000150,0.000000,   4.257,   34,     0.1
     7.4,0.000104,0.000126,  4,0.000215,0.000000,   4.254,   35,     0.1
     7.6,0.000114,0.000133,  4,0.000236,0.000000,   4.254,   36,     0.1
     7.8,0.000109,0.000138,  4,0.000225,0.000000,   4.255,   37,     0.1
     8.0,0.000111,0.000145,  4,0.000181,0.000000,   4.261,   37,     0.1
     8.2,0.000126,0.000153,  4,0.000115,0.000000,   4.260,   36,     0.1
     8.4,0.000129,0.000161,  4,0.000005,0.000000,   4.257,   36,     0.1
     8.6,0.000128,0.000169,  4,0.000026,0.000027,   4.261,   35,     0.1
     8.8,0.000143,0.000178,  4,0.000081,0.000017,   4.263,   34,     0.1
     9.0,0.000150,0.000186,  4,0.000178,0.000053,   4.262,   35,     0.2
     9.2,0.000148,0.000191,  4,0.000222,0.000053,   4.263,   36,     0.2
     9.4,0.000160,0.000193,  4,0.000266,0.000065,   4.265,   36,     0.2
     9.6,0.000167,0.000202,  4,0.000277,0.000030,   4.260,   36,     0.2
     9.8,0.000169,0.000201,  4,0.000320,0.000065,   4.263,   36,     0.2
    10.0,0.000179,0.000207,  4,0.000363,0.000078,   4.265,   37,     0.2
    10.2,0.000189,0.000216,  4,0.000417,0.000042,   4.265,   36,     0.2
    10.4,0.000196,0.000222,  4,0.000460,0.000091,   4.262,   36,     0.2
    10.6,0.000191,0.000227,  4,0.000503,0.000091,   4.262,   36,     0.2
    10.8,0.000203,0.000235,  4,0.000525,0.000055,   4.262,   35,     0.2
    11.0,0.000199,0.000241,  4,0.000536,0.000055,   4.268,   35,     0.2
    11.2,0.000195,0.000237,  4,0.000557,0.000055,   4.267,   36,     0.2
    11.4,0.000195,0.000243,  4,0.000547,0.000055,   4.263,   35,     0.2
    11.6,0.000203,0.000249,  4,0.000568,0.000055,   4.261,   35,     0.2
