Run Name,Run 1
Run Date,04:46:49 PM   03-29-21
Method Name,S21 GROUP 11 MG1
Export Format Version, 1.00
Method ID, 3956
Points/Second, 5.00
Number of Records,  11730
Offset from Run Start Time,00:00:00
Run End Time,00:39:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.002340,-0.344976,  4,0.026231,-0.447102,  48.091,   41,     0.0
     0.2,-0.002645,-0.344981,  4,0.026286,-0.447089,  48.083,   40,     0.0
     0.4,-0.005149,-0.344987,  4,0.026340,-0.447111,  48.071,   38,     0.0
     0.6,-0.005590,-0.344999,  4,0.026374,-0.447136,  48.072,   38,     0.0
     0.8,0.000000,-0.345011,  4,0.026408,-0.447124,  48.074,   37,     0.0
     1.0,0.000000,-0.345022,  4,0.026462,-0.447146,  48.068,   37,     0.0
     1.2,0.000000,0.000000,  4,0.026340,-0.447146,  48.068,   36,     0.0
     1.4,0.000000,0.000000,  4,0.026340,0.000000,  48.066,   36,     0.0
     1.6,0.000000,0.000000,  4,0.026340,0.000000,  48.063,   37,     0.0
     1.8,0.000000,0.000000,  4,0.026340,0.000000,  48.065,   37,     0.0
     2.0,0.000000,0.000000,  4,0.000000,0.000000,  48.060,   37,     0.0
     2.2,0.000000,0.000000,  4,0.000000,0.000000,  48.060,   37,     0.0
     2.4,0.000000,0.000000,  4,0.000000,0.000000,  48.066,   38,     0.0
     2.6,0.000000,0.000000,  4,0.000000,0.000000,  48.050,   38,     0.0
     2.8,0.000000,0.000000,  4,0.000000,0.000000,  48.051,   38,     0.0
     3.0,0.000000,0.000000,  4,0.000000,0.000000,  48.057,   38,     0.1
     3.2,0.000000,0.000000,  4,0.000000,0.000000,  48.051,   38,     0.1
     3.4,0.000000,0.000000,  4,0.000000,0.000000,  48.051,   38,     0.1
     3.6,0.000000,0.000000,  4,0.000000,0.000000,  48.051,   37,     0.1
     3.8,0.000000,0.000000,  4,0.000000,0.000000,  48.049,   37,     0.1
     4.0,0.000000,0.000000,  4,0.000000,0.000000,  48.049,   36,     0.1
     4.2,0.000059,0.000000,  4,0.000000,0.000000,  48.046,   37,     0.1
     4.4,0.000077,0.000000,  4,0.000000,0.000000,  48.053,   37,     0.1
     4.6,0.000087,0.000000,  4,0.000000,0.000000,  48.053,   38,     0.1
