Run Name,Run 1
Run Date,03:19:51 PM   04-27-21
Method Name,Group 5 S21 LG 3-45%
Export Format Version, 1.00
Method ID, 3992
Points/Second, 5.00
Number of Records,  12406
Offset from Run Start Time,00:00:00
Run End Time,00:41:24
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000145,0.000000,  3,0.000000,0.000000,   4.138,   51,     0.0
     0.2,-0.001559,0.000000,  3,0.000000,0.000000,   4.141,   50,     0.0
     0.4,-0.002576,0.000000,  3,0.000000,0.000000,   4.140,   49,     0.0
     0.6,-0.002140,0.000000,  3,0.000000,0.000000,   4.143,   49,     0.0
     0.8,0.000000,0.000000,  3,0.000000,0.000000,   4.140,   49,     0.0
     1.0,0.000000,0.000000,  3,0.000000,0.000000,   4.137,   49,     0.0
     1.2,0.000000,0.000000,  3,0.000000,0.000000,   4.141,   50,     0.0
     1.4,0.000000,0.000000,  3,0.000000,0.000000,   4.140,   50,     0.0
     1.6,0.000000,0.000000,  3,0.000000,0.000000,   4.141,   50,     0.0
     1.8,0.000000,0.000000,  3,0.000000,0.000000,   4.142,   50,     0.0
     2.0,0.000000,0.000000,  3,0.000000,0.000000,   4.143,   51,     0.0
     2.2,0.000000,0.000000,  3,0.000000,0.000000,   4.138,   49,     0.0
     2.4,0.000000,0.000000,  3,0.000000,0.000000,   4.138,   48,     0.0
     2.6,0.000000,0.000000,  3,0.000000,0.000000,   4.140,   48,     0.0
     2.8,0.000000,0.000000,  3,0.000000,0.000000,   4.140,   48,     0.0
     3.0,0.000000,0.000000,  3,0.000000,0.000000,   4.138,   49,     0.1
     3.2,0.000000,0.000000,  3,0.000000,0.000000,   4.136,   50,     0.1
     3.4,0.000000,0.000000,  3,0.000000,0.000000,   4.133,   50,     0.1
     3.6,0.000000,0.000000,  3,0.000000,0.000000,   4.134,   49,     0.1
     3.8,0.000000,0.000000,  3,0.000000,0.000000,   4.139,   51,     0.1
     4.0,0.000000,0.000000,  3,0.000000,0.000000,   4.138,   54,     0.1
     4.2,0.000000,0.000000,  3,0.000000,0.000000,   4.140,   51,     0.1
     4.4,0.000044,0.000000,  3,0.000000,0.000089,   4.138,   48,     0.1
     4.6,0.000082,0.000148,  3,-0.000010,0.000102,   4.141,   49,     0.1
     4.8,0.000099,0.000153,  3,-0.000032,0.000066,   4.135,   50,     0.1
     5.0,0.000113,0.000158,  3,-0.000053,0.000102,   4.138,   50,     0.1
     5.2,0.000113,0.000164,  3,-0.000053,0.000078,   4.139,   50,     0.1
     5.4,0.000103,0.000166,  3,-0.000064,0.000091,   4.135,   50,     0.1
     5.6,0.000101,0.000168,  3,-0.000043,0.000091,   4.138,   50,     0.1
     5.8,0.000108,0.000177,  3,-0.000043,0.000068,   4.139,   50,     0.1
     6.0,0.000112,0.000192,  3,-0.000053,0.000068,   4.138,   50,     0.1
     6.2,0.000114,0.000203,  3,-0.000033,0.000104,   4.138,   50,     0.1
     6.4,0.000121,0.000211,  3,-0.000033,0.000081,   4.138,   50,     0.1
     6.6,0.000132,0.000226,  3,-0.000001,0.000081,   4.138,   50,     0.1
     6.8,0.000143,0.000231,  3,0.000052,0.000117,   4.135,   50,     0.1
     7.0,0.000156,0.000236,  3,0.000104,0.000093,   4.138,   51,     0.1
     7.2,0.000166,0.000238,  3,0.000125,0.000093,   4.139,   51,     0.1
     7.4,0.000173,0.000243,  3,0.000146,0.000117,   4.135,   52,     0.1
     7.6,0.000180,0.000253,  3,0.000146,0.000093,   4.138,   52,     0.1
     7.8,0.000184,0.000258,  3,0.000147,0.000093,   4.138,   52,     0.1
     8.0,0.000190,0.000260,  3,0.000136,0.000129,   4.138,   51,     0.1
     8.2,0.000190,0.000275,  3,0.000146,0.000106,   4.131,   51,     0.1
     8.4,0.000194,0.000281,  3,0.000157,0.000119,   4.132,   52,     0.1
     8.6,0.000197,0.000286,  3,0.000157,0.000155,   4.135,   51,     0.1
     8.8,0.000204,0.000298,  3,0.000157,0.000132,   4.136,   51,     0.1
     9.0,0.000204,0.000308,  3,0.000178,0.000144,   4.135,   51,     0.2
     9.2,0.000204,0.000313,  3,0.000178,0.000155,   4.134,   51,     0.2
     9.4,0.000208,0.000310,  3,0.000167,0.000106,   4.135,   51,     0.2
     9.6,0.000211,0.000315,  3,0.000188,0.000106,   4.135,   52,     0.2
