Run Name,Run 2
Run Date,06:20:43 PM   03-22-21
Method Name,Multigradient S21 GROUP 6 RUN 2
Export Format Version, 1.00
Method ID, 3942
Points/Second, 5.00
Number of Records,  17532
Offset from Run Start Time,00:00:00
Run End Time,00:58:30
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001781,0.000000,  9,0.013535,0.000877,  36.181,   37,     0.0
     0.2,0.001777,0.000000,  9,0.013557,0.000841,  36.180,   37,     0.0
     0.4,0.001777,0.000000,  9,0.013546,0.000877,  36.179,   37,     0.0
     0.6,0.001774,0.000000,  9,0.013534,0.000864,  36.176,   36,     0.0
     0.8,0.001774,0.000000,  9,0.013535,0.000829,  36.152,   35,     0.0
     1.0,0.001774,0.000000,  9,0.013535,0.000864,  36.087,   35,     0.0
     1.2,0.001766,0.000000,  9,0.013545,0.000852,  36.032,   36,     0.0
     1.4,0.000408,0.000000,  9,0.013558,0.000816,  36.002,   37,     0.0
     1.6,0.000589,0.000000,  9,0.013582,0.000864,  35.996,   37,     0.0
     1.8,-0.001514,0.000000,  9,0.013414,0.000877,  35.990,   35,     0.0
     2.0,-0.001867,0.000000,  9,0.013414,0.000841,  35.984,   32,     0.0
     2.2,0.000000,0.000000,  9,0.013414,0.000841,  35.965,   33,     0.0
     2.4,0.000000,0.000000,  9,0.013414,0.000000,  35.964,   33,     0.0
     2.6,0.000000,0.000000,  9,0.000000,0.000000,  35.958,   34,     0.0
     2.8,0.000000,0.000000,  9,0.000000,0.000000,  35.953,   35,     0.0
     3.0,0.000000,0.000000,  9,0.000000,0.000000,  35.941,   33,     0.1
