Run Name,Run 1
Run Date,03:44:50 PM   04-08-21
Method Name,Group 7 S21 LG 5%-46%
Export Format Version, 1.00
Method ID, 3976
Points/Second, 5.00
Number of Records,  13166
Offset from Run Start Time,00:00:00
Run End Time,00:43:54
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000000,0.000000,  5,0.000000,0.000000,   4.246,   39,     0.0
     0.2,0.000000,0.000000,  5,0.000000,0.000000,   4.245,   39,     0.0
     0.4,0.000000,0.000000,  5,0.000000,0.000000,   4.246,   39,     0.0
     0.6,0.000000,0.000000,  5,0.000000,0.000000,   4.247,   39,     0.0
     0.8,0.000000,0.000000,  5,0.000000,0.000000,   4.251,   39,     0.0
     1.0,0.000000,0.000000,  5,0.000000,0.000000,   4.249,   38,     0.0
     1.2,0.000000,0.000000,  5,0.000000,0.000000,   4.250,   38,     0.0
     1.4,0.000000,0.000000,  5,0.000000,0.000000,   4.247,   39,     0.0
     1.6,0.000000,0.000000,  5,0.000000,0.000000,   4.253,   40,     0.0
     1.8,0.000000,0.000000,  5,0.000000,0.000000,   4.257,   39,     0.0
     2.0,0.000000,0.000000,  5,0.000000,0.000000,   4.257,   38,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,   4.255,   41,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,   4.255,   43,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,   4.261,   41,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,   4.259,   39,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,   4.262,   39,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,   4.260,   39,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,   4.258,   39,     0.1
     3.6,0.000000,0.000079,  5,0.000000,-0.000061,   4.257,   39,     0.1
     3.8,0.000000,0.000073,  5,0.000000,-0.000048,   4.263,   39,     0.1
     4.0,0.000064,0.000082,  5,-0.000052,-0.000097,   4.260,   39,     0.1
     4.2,0.000061,0.000079,  5,-0.000094,-0.000074,   4.264,   39,     0.1
     4.4,0.000054,0.000076,  5,-0.000147,-0.000122,   4.255,   39,     0.1
     4.6,0.000047,0.000070,  5,-0.000189,-0.000099,   4.259,   40,     0.1
     4.8,0.000041,0.000064,  5,-0.000232,-0.000112,   4.261,   40,     0.1
     5.0,0.000037,0.000054,  5,-0.000274,-0.000160,   4.257,   40,     0.1
     5.2,0.000035,0.000052,  5,-0.000274,-0.000137,   4.261,   40,     0.1
     5.4,0.000020,0.000038,  5,-0.000285,-0.000150,   4.260,   40,     0.1
     5.6,0.000013,0.000033,  5,-0.000253,-0.000186,   4.264,   40,     0.1
     5.8,0.000011,0.000026,  5,-0.000232,-0.000150,   4.264,   39,     0.1
     6.0,-0.000007,0.000026,  5,-0.000211,-0.000175,   4.271,   38,     0.1
     6.2,-0.000017,0.000020,  5,-0.000169,-0.000211,   4.270,   38,     0.1
     6.4,-0.000026,0.000014,  5,-0.000158,-0.000175,   4.274,   38,     0.1
     6.6,-0.000045,0.000009,  5,-0.000149,-0.000188,   4.277,   38,     0.1
     6.8,-0.000050,-0.000005,  5,-0.000128,-0.000224,   4.284,   39,     0.1
     7.0,-0.000059,-0.000011,  5,-0.000055,-0.000188,   4.288,   39,     0.1
     7.2,-0.000078,-0.000017,  5,0.000030,-0.000188,   4.299,   40,     0.1
     7.4,-0.000088,-0.000025,  5,0.000136,-0.000224,   4.303,   39,     0.1
     7.6,-0.000098,-0.000031,  5,0.000221,-0.000201,   4.305,   38,     0.1
     7.8,-0.000113,-0.000036,  5,0.000305,-0.000213,   4.319,   38,     0.1
     8.0,-0.000116,-0.000042,  5,0.000390,-0.000249,   4.325,   38,     0.1
     8.2,-0.000108,-0.000045,  5,0.000464,-0.000213,   4.332,   40,     0.1
     8.4,-0.000112,-0.000045,  5,0.000517,-0.000213,   4.331,   41,     0.1
     8.6,-0.000115,-0.000042,  5,0.000569,-0.000249,   4.342,   40,     0.1
     8.8,-0.000127,-0.000042,  5,0.000644,-0.000213,   4.348,   39,     0.1
     9.0,-0.000122,-0.000042,  5,0.000717,-0.000213,   4.356,   41,     0.2
     9.2,-0.000127,-0.000045,  5,0.000781,-0.000249,   4.358,   42,     0.2
     9.4,-0.000127,-0.000042,  5,0.000824,-0.000213,   4.366,   40,     0.2
     9.6,-0.000130,-0.000042,  5,0.000876,-0.000213,   4.372,   38,     0.2
     9.8,-0.000130,-0.000045,  5,0.000898,-0.000213,   4.377,   39,     0.2
    10.0,-0.000130,-0.000039,  5,0.000908,-0.000201,   4.382,   40,     0.2
    10.2,-0.000130,-0.000033,  5,0.000908,-0.000236,   4.388,   39,     0.2
    10.4,-0.000130,-0.000031,  5,0.000897,-0.000201,   4.390,   38,     0.2
    10.6,-0.000127,-0.000025,  5,0.000886,-0.000224,   4.391,   38,     0.2
    10.8,-0.000127,-0.000025,  5,0.000897,-0.000224,   4.397,   38,     0.2
    11.0,-0.000128,-0.000028,  5,0.000907,-0.000188,   4.398,   38,     0.2
    11.2,-0.000121,-0.000022,  5,0.000896,-0.000224,   4.401,   39,     0.2
    11.4,-0.000114,-0.000014,  5,0.000875,-0.000188,   4.401,   39,     0.2
    11.6,-0.000115,-0.000005,  5,0.000864,-0.000188,   4.406,   40,     0.2
    11.8,-0.000109,-0.000003,  5,0.000885,-0.000224,   4.403,   40,     0.2
    12.0,-0.000097,0.000005,  5,0.000906,-0.000188,   4.402,   40,     0.2
    12.2,-0.000094,0.000008,  5,0.000938,-0.000188,   4.406,   41,     0.2
    12.4,-0.000090,0.000008,  5,0.000992,-0.000224,   4.399,   41,     0.2
    12.6,-0.000090,0.000010,  5,0.000992,-0.000211,   4.401,   40,     0.2
    12.8,-0.000083,0.000019,  5,0.001013,-0.000211,   4.396,   39,     0.2
    13.0,-0.000080,0.000024,  5,0.001002,-0.000247,   4.396,   40,     0.2
    13.2,-0.000080,0.000030,  5,0.001002,-0.000234,   4.396,   40,     0.2
    13.4,-0.000073,0.000039,  5,0.000992,-0.000211,   4.388,   40,     0.2
    13.6,-0.000066,0.000042,  5,0.000992,-0.000234,   4.388,   39,     0.2
    13.8,-0.000063,0.000048,  5,0.000992,-0.000234,   4.388,   39,     0.2
    14.0,-0.000060,0.000044,  5,0.000992,-0.000198,   4.382,   40,     0.2
