Run Name,Thurs02_Run1
Run Date,04:08:31 PM   03-17-22
Method Name,Thurs02_Run1
Export Format Version, 1.00
Method ID, 4092
Points/Second, 5.00
Number of Records,  19823
Offset from Run Start Time,00:00:00
Run End Time,01:06:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000232,0.001256,  5,0.057387,0.000994,  10.032,  -13,     0.0
     0.2,0.000475,0.001247,  5,0.057391,0.000971,  10.034,  -13,     0.0
     0.4,-0.001667,0.001253,  5,0.057406,0.000971,  10.032,  -13,     0.0
     0.6,-0.002475,0.001253,  5,0.057435,0.000994,  10.037,   12,     0.0
     0.8,0.000000,0.001256,  5,0.057435,0.000971,  10.030,   37,     0.0
     1.0,0.000000,0.001243,  5,0.057420,0.000971,  10.020,   37,     0.0
     1.2,0.000000,0.001249,  5,0.057387,0.000994,  10.004,   37,     0.0
     1.4,0.000000,0.000000,  5,0.057402,0.000971,   9.990,   38,     0.0
     1.6,0.000000,0.000000,  5,0.057416,0.000958,   9.988,   40,     0.0
     1.8,0.000000,0.000000,  5,0.057431,0.000968,   9.984,   40,     0.0
     2.0,0.000000,0.000000,  5,0.057570,0.000945,   9.983,   39,     0.0
     2.2,0.000000,0.000000,  5,0.057760,0.000981,   9.978,   39,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,   9.978,   38,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,   9.974,   38,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,   9.969,   38,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,   9.970,   38,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,   9.970,   39,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,   9.963,   40,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,   9.961,   41,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,   9.959,   39,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,   9.952,   37,     0.1
     4.2,0.000111,0.000000,  5,0.000000,0.000000,   9.956,   37,     0.1
     4.4,0.000127,0.000000,  5,0.000000,0.000000,   9.952,   37,     0.1
     4.6,0.000144,0.000000,  5,0.000000,0.000000,   9.948,   38,     0.1
     4.8,0.000185,0.000000,  5,0.000000,0.000000,   9.949,   39,     0.1
     5.0,0.000209,0.000000,  5,0.000000,0.000000,   9.948,   39,     0.1
     5.2,0.000257,0.000000,  5,0.000000,0.000000,   9.945,   38,     0.1
     5.4,0.000298,0.000000,  5,0.000000,0.000000,   9.944,   37,     0.1
     5.6,0.000311,0.000124,  5,0.000000,0.000000,   9.938,   37,     0.1
