Run Name,Tues02_3122022_run2.1
Run Date,06:34:51 PM   03-17-22
Method Name,Thurs02_Run2.1
Export Format Version, 1.00
Method ID, 4098
Points/Second, 5.00
Number of Records,  13514
Offset from Run Start Time,00:00:00
Run End Time,00:45:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001576,0.000000,  5,0.053432,0.000984,  10.278,   38,     0.0
     0.2,0.000953,0.000000,  5,0.053417,0.000973,  10.275,   37,     0.0
     0.4,0.000099,0.000000,  5,0.053399,0.000973,  10.277,   36,     0.0
     0.6,0.000224,0.000000,  5,0.053363,0.001010,  10.274,   39,     0.0
     0.8,0.000000,0.000000,  5,0.053363,0.000986,  10.279,   41,     0.0
     1.0,0.000000,0.000000,  5,0.053381,0.001035,  10.271,   39,     0.0
     1.2,0.000000,0.000000,  5,0.053410,0.000000,  10.280,   36,     0.0
     1.4,0.000000,0.000000,  5,0.053335,0.000000,  10.278,   37,     0.0
     1.6,0.000000,0.000000,  5,0.053335,0.000000,  10.273,   38,     0.0
     1.8,0.000000,0.000000,  5,0.053335,0.000000,  10.275,   38,     0.0
     2.0,0.000000,0.000000,  5,0.053335,0.000000,  10.277,   37,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,  10.283,   37,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,  10.276,   36,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,  10.279,   37,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,  10.278,   37,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,  10.280,   37,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,  10.276,   38,     0.1
