Run Name,Tues04_LinearGradient
Run Date,02:01:52 PM   03-29-22
Method Name,LinearGradientTemplate2022
Export Format Version, 1.00
Method ID, 4109
Points/Second, 5.00
Number of Records,  23759
Offset from Run Start Time,00:00:00
Run End Time,01:19:11
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,-0.000096,0.000709,  5,0.014909,0.000284,   7.514,  -16,     0.0
     0.2,-0.000918,0.000712,  5,0.014899,0.000284,   7.512,   11,     0.0
     0.4,-0.001464,0.000715,  5,0.014892,0.000284,   7.515,   38,     0.0
     0.6,-0.001087,0.000712,  5,0.014872,0.000272,   7.518,   37,     0.0
     0.8,0.000000,0.000712,  5,0.014875,0.000272,   7.515,   35,     0.0
     1.0,0.000000,0.000715,  5,0.014903,0.000235,   7.510,   34,     0.0
     1.2,0.000000,0.000657,  5,0.014664,0.000272,   7.495,   34,     0.0
     1.4,0.000000,0.000657,  5,0.014664,0.000000,   7.482,   34,     0.0
     1.6,0.000000,-0.000018,  5,0.014664,0.000000,   7.470,   35,     0.0
     1.8,0.000000,-0.001364,  5,0.014664,0.000000,   7.471,   35,     0.0
     2.0,0.000000,-0.001364,  5,0.000000,0.000000,   7.460,   35,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,   7.455,   36,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,   7.452,   38,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,   7.451,   36,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,   7.440,   34,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,   7.433,   34,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,   7.433,   33,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,   7.430,   34,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,   7.424,   35,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,   7.416,   35,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,   7.410,   35,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,   7.410,   34,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,   7.409,   34,     0.1
     4.6,0.000000,0.000000,  5,0.000000,0.000000,   7.400,   34,     0.1
     4.8,0.000047,0.000000,  5,0.000000,0.000000,   7.399,   33,     0.1
     5.0,0.000051,0.000000,  5,0.000000,0.000000,   7.396,   34,     0.1
     5.2,0.000046,0.000000,  5,0.000000,0.000000,   7.390,   35,     0.1
     5.4,0.000062,0.000000,  5,0.000000,0.000000,   7.390,   34,     0.1
     5.6,0.000064,0.000000,  5,0.000000,0.000000,   7.384,   34,     0.1
     5.8,0.000080,0.000038,  5,-0.000453,0.000000,   7.382,   35,     0.1
     6.0,0.000083,0.000049,  5,-0.000493,0.000013,   7.374,   36,     0.1
     6.2,0.000082,0.000061,  5,-0.000534,0.000085,   7.374,   34,     0.1
     6.4,0.000089,0.000067,  5,-0.000575,0.000085,   7.375,   33,     0.1
     6.6,0.000093,0.000069,  5,-0.000615,0.000085,   7.369,   33,     0.1
     6.8,0.000088,0.000071,  5,-0.000680,0.000075,   7.369,   34,     0.1
     7.0,0.000092,0.000080,  5,-0.000734,0.000075,   7.363,   35,     0.1
