Run Name,Tues05_3222022_Trial2
Run Date,05:59:05 PM   03-22-22
Method Name,Tues05_3222022_Trial2
Export Format Version, 1.00
Method ID, 4117
Points/Second, 5.00
Number of Records,  20184
Offset from Run Start Time,00:00:00
Run End Time,01:07:18
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.001774,0.001861,  5,0.047419,0.000859,  10.000,   50,     0.0
     0.2,0.001774,0.001858,  5,0.047416,0.000872,  10.004,   50,     0.0
     0.4,0.001774,0.001858,  5,0.047444,0.000859,  10.000,   50,     0.0
     0.6,0.001771,0.001852,  5,0.047476,0.000859,   9.999,   50,     0.0
     0.8,0.001779,0.001846,  5,0.047525,0.000872,   9.997,   51,     0.0
     1.0,0.001791,0.001849,  5,0.047589,0.000872,  10.000,   50,     0.0
     1.2,0.001804,0.001852,  5,0.047652,0.000872,   9.999,   50,     0.0
     1.4,0.001813,0.001846,  5,0.047674,0.000884,   9.998,   50,     0.0
     1.6,0.001796,0.001856,  5,0.047674,0.000848,   9.999,   50,     0.0
     1.8,0.001804,0.001859,  5,0.047681,0.000848,   9.996,   51,     0.0
     2.0,0.001792,0.001853,  5,0.047698,0.000861,   9.991,   51,     0.0
     2.2,0.001792,0.001859,  5,0.047712,0.000848,   9.996,   52,     0.0
     2.4,0.001801,0.001845,  5,0.047741,0.000872,   9.995,   52,     0.0
     2.6,0.001877,0.001845,  5,0.047776,0.000884,   9.992,   51,     0.0
     2.8,0.001891,0.001150,  5,0.047847,0.000872,   9.993,   50,     0.0
     3.0,0.000326,-0.000222,  5,0.047907,0.000859,   9.995,   50,     0.1
     3.2,-0.000140,-0.000222,  5,0.048399,0.000895,   9.996,   50,     0.1
     3.4,0.000000,0.000000,  5,0.048363,0.000908,   9.998,   50,     0.1
     3.6,0.000000,0.000000,  5,0.047783,0.000895,   9.999,   50,     0.1
     3.8,0.000000,0.000000,  5,0.047783,0.000000,  10.000,   51,     0.1
     4.0,0.000000,0.000000,  5,0.047783,0.000000,   9.998,   52,     0.1
     4.2,0.000000,0.000000,  5,0.047783,0.000000,  10.001,   51,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,   9.998,   50,     0.1
     4.6,0.000000,0.000000,  5,0.000000,0.000000,  10.000,   50,     0.1
     4.8,0.000000,0.000000,  5,0.000000,0.000000,  10.002,   50,     0.1
     5.0,0.000000,0.000000,  5,0.000000,0.000000,  10.002,   50,     0.1
     5.2,0.000000,0.000000,  5,0.000000,0.000000,   9.999,   51,     0.1
     5.4,0.000000,0.000000,  5,0.000000,0.000000,   9.998,   51,     0.1
     5.6,0.000000,0.000000,  5,0.000000,0.000000,   9.999,   52,     0.1
     5.8,0.000000,0.000000,  5,0.000000,0.000000,   9.999,   51,     0.1
     6.0,0.000000,0.000000,  5,0.000000,0.000000,  10.000,   51,     0.1
     6.2,0.000000,0.000000,  5,0.000000,0.000000,  10.005,   50,     0.1
     6.4,0.000007,0.000045,  5,0.000000,0.000000,  10.006,   49,     0.1
     6.6,0.000027,0.000051,  5,0.000000,0.000000,  10.005,   50,     0.1
     6.8,0.000030,0.000054,  5,0.000000,0.000000,  10.004,   51,     0.1
     7.0,0.000041,0.000060,  5,0.000000,0.000000,  10.007,   51,     0.1
     7.2,0.000044,0.000062,  5,0.000000,0.000000,  10.006,   50,     0.1
     7.4,0.000058,0.000074,  5,0.000000,0.000000,  10.008,   51,     0.1
     7.6,0.000073,0.000083,  5,-0.000236,0.000026,  10.009,   52,     0.1
