Run Name,Spring 2023 Linear gradient test
Run Date,06:10:50 PM   01-23-23
Method Name,LinearGradientTemplate2022
Export Format Version, 1.00
Method ID, 4129
Points/Second, 5.00
Number of Records,  27622
Offset from Run Start Time,00:00:00
Run End Time,01:32:05
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity
     0.0,-0.007559,0.000000,  5,0.088931,0.000000,  87.671
     0.2,-0.008906,0.000000,  5,0.088931,0.000000,  87.658
     0.4,-0.010000,0.000000,  5,0.088931,0.000000,  87.629
     0.6,-0.009509,0.000000,  5,0.088931,0.000000,  87.630
     0.8,0.000000,0.000000,  5,0.000000,0.000000,  87.605
     1.0,0.000000,0.000000,  5,0.000000,0.000000,  87.584
     1.2,0.000000,0.000000,  5,0.000000,0.000000,  87.577
     1.4,0.000000,0.000000,  5,0.000000,0.000000,  87.559
     1.6,0.000000,0.000000,  5,0.000000,0.000000,  87.551
     1.8,0.000000,0.000000,  5,0.000000,0.000000,  87.509
     2.0,0.000000,0.000000,  5,0.000000,0.000000,  87.456
     2.2,0.000000,0.000000,  5,0.000000,0.000000,  87.455
     2.4,0.000000,0.000000,  5,0.000000,0.000000,  87.433
     2.6,0.000000,0.000000,  5,0.000000,0.000000,  87.427
     2.8,0.000000,0.000000,  5,0.000000,0.000000,  87.407
     3.0,0.000000,0.000000,  5,0.000000,0.000000,  87.399
     3.2,0.000000,0.000000,  5,0.000000,0.000000,  87.393
     3.4,0.000000,0.000000,  5,0.000000,0.000000,  87.378
     3.6,0.000000,0.000000,  5,0.000000,0.000000,  87.377
     3.8,0.000000,0.000000,  5,0.000000,0.000000,  87.366
     4.0,0.000000,0.000000,  5,0.000000,0.000000,  87.332
     4.2,0.000000,0.000000,  5,0.000000,0.000000,  87.332
     4.4,0.000000,0.000000,  5,0.000000,0.000000,  87.327
     4.6,0.000000,0.000111,  5,-0.000161,0.000000,  87.319
     4.8,0.000094,0.000126,  5,-0.000197,0.000000,  87.310
     5.0,0.000115,0.000135,  5,-0.000222,0.000090,  87.302
     5.2,0.000128,0.000154,  5,-0.000225,0.000041,  87.321
     5.4,0.000146,0.000162,  5,-0.000235,0.000041,  87.281
     5.6,0.000152,0.000180,  5,-0.000235,0.000054,  87.286
     5.8,0.000163,0.000194,  5,-0.000237,0.000066,  87.279
     6.0,0.000167,0.000209,  5,-0.000235,0.000043,  87.267
     6.2,0.000165,0.000215,  5,-0.000246,0.000079,  87.260
     6.4,0.000176,0.000224,  5,-0.000233,0.000092,  87.242
     6.6,0.000199,0.000230,  5,-0.000257,0.000069,  87.242
     6.8,0.000202,0.000235,  5,-0.000297,0.000092,  87.229
     7.0,0.000209,0.000241,  5,-0.000326,0.000092,  87.219
     7.2,0.000225,0.000255,  5,-0.000362,0.000056,  87.228
     7.4,0.000231,0.000267,  5,-0.000388,0.000092,  87.215
     7.6,0.000234,0.000276,  5,-0.000403,0.000092,  87.212
     7.8,0.000242,0.000285,  5,-0.000413,0.000069,  87.195
     8.0,0.000244,0.000291,  5,-0.000437,0.000105,  87.193
     8.2,0.000251,0.000294,  5,-0.000437,0.000118,  87.195
     8.4,0.000255,0.000298,  5,-0.000447,0.000082,  87.177
     8.6,0.000250,0.000298,  5,-0.000485,0.000082,  87.149
     8.8,0.000254,0.000291,  5,-0.000513,0.000094,  87.104
     9.0,0.000259,0.000291,  5,-0.000549,0.000094,  87.102
     9.2,0.000259,0.000291,  5,-0.000562,0.000094,  87.108
     9.4,0.000259,0.000288,  5,-0.000589,0.000107,  87.095
     9.6,0.000259,0.000285,  5,-0.000638,0.000094,  87.085
     9.8,0.000259,0.000285,  5,-0.000665,0.000082,  87.082
    10.0,0.000246,0.000291,  5,-0.000706,0.000094,  87.054
    10.2,0.000251,0.000301,  5,-0.000729,0.000058,  87.070
    10.4,0.000260,0.000301,  5,-0.000729,0.000071,  87.063
    10.6,0.000255,0.000297,  5,-0.000740,0.000084,  87.060
    10.8,0.000262,0.000301,  5,-0.000750,0.000035,  87.042
    11.0,0.000273,0.000304,  5,-0.000750,0.000071,  87.034
    11.2,0.000268,0.000297,  5,-0.000763,0.000084,  87.057
    11.4,0.000265,0.000304,  5,-0.000814,0.000048,  87.038
    11.6,0.000273,0.000310,  5,-0.000854,0.000084,  87.027
    11.8,0.000268,0.000313,  5,-0.000922,0.000084,  87.017
    12.0,0.000265,0.000325,  5,-0.000947,0.000084,  87.014
    12.2,0.000273,0.000328,  5,-0.000960,0.000048,  87.023
    12.4,0.000268,0.000328,  5,-0.000970,0.000071,  87.016
    12.6,0.000265,0.000325,  5,-0.000996,0.000071,  87.018
    12.8,0.000269,0.000329,  5,-0.001047,0.000071,  87.003
    13.0,0.000261,0.000326,  5,-0.001076,0.000058,  86.992
    13.2,0.000269,0.000320,  5,-0.001141,0.000071,  86.973
    13.4,0.000271,0.000323,  5,-0.001152,0.000022,  86.971
    13.6,0.000266,0.000319,  5,-0.001137,0.000045,  86.979
    13.8,0.000281,0.000319,  5,-0.001110,0.000058,  86.979
    14.0,0.000297,0.000318,  5,-0.001146,0.000045,  86.966
    14.2,0.000292,0.000324,  5,-0.001201,0.000082,  86.985
    14.4,0.000296,0.000340,  5,-0.001281,0.000094,  86.972
    14.6,0.000296,0.000346,  5,-0.001304,0.000094,  86.959
    14.8,0.000295,0.000349,  5,-0.001292,0.000094,  86.957
    15.0,0.000314,0.000352,  5,-0.001279,0.000107,  86.958
    15.2,0.000321,0.000352,  5,-0.001277,0.000107,  86.957
    15.4,0.000317,0.000361,  5,-0.001250,0.000107,  86.930
    15.6,0.000329,0.000357,  5,-0.001224,0.000120,  86.945
    15.8,0.000329,0.000367,  5,-0.001210,0.000107,  86.944
    16.0,0.000327,0.000370,  5,-0.001184,0.000107,  86.934
