Run Name,Alphachymotrypsinogen_15%Isocratic_Test2
Run Date,05:50:03 PM   01-25-23
Method Name,TA_IsocraticRun_15%
Export Format Version, 1.00
Method ID, 4149
Points/Second, 1.00
Number of Records,   1200
Offset from Run Start Time,00:00:00
Run End Time,00:20:00
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,0.001359, 15,  19.822,     0.0
     1.0,0.001347, 15,  19.817,     0.0
     2.0,0.000000, 15,  19.808,     0.0
     3.0,0.000000, 15,  19.796,     0.1
     4.0,0.000000, 15,  19.787,     0.1
     5.0,0.000000, 15,  19.769,     0.1
     6.0,0.000106, 15,  19.762,     0.1
     7.0,0.000158, 15,  19.752,     0.1
     8.0,0.000204, 15,  19.738,     0.1
     9.0,0.000208, 15,  19.733,     0.2
    10.0,0.000192, 15,  19.721,     0.2
    11.0,0.000186, 15,  19.707,     0.2
    12.0,0.000210, 15,  19.688,     0.2
    13.0,0.000228, 15,  19.685,     0.2
    14.0,0.000237, 15,  19.672,     0.2
    15.0,0.000268, 15,  19.661,     0.3
    16.0,0.000302, 15,  19.660,     0.3
    17.0,0.000310, 15,  19.662,     0.3
    18.0,0.000301, 15,  19.658,     0.3
    19.0,0.000331, 15,  19.661,     0.3
    20.0,0.000335, 15,  19.654,     0.3
    21.0,0.000341, 15,  19.640,     0.3
    22.0,0.000353, 15,  19.636,     0.4
    23.0,0.000361, 15,  19.624,     0.4
    24.0,0.000375, 15,  19.611,     0.4
    25.0,0.000397, 15,  19.605,     0.4
    26.0,0.000403, 15,  19.606,     0.4
    27.0,0.000425, 15,  19.611,     0.4
    28.0,0.000444, 15,  19.626,     0.5
    29.0,0.000443, 15,  19.639,     0.5
    30.0,0.000463, 15,  19.655,     0.5
    31.0,0.000448, 15,  19.677,     0.5
    32.0,0.000425, 15,  19.694,     0.5
    33.0,0.000419, 15,  19.706,     0.6
    34.0,0.000404, 15,  19.722,     0.6
    35.0,0.000410, 15,  19.733,     0.6
    36.0,0.000425, 15,  19.748,     0.6
    37.0,0.000450, 15,  19.755,     0.6
    38.0,0.000443, 15,  19.763,     0.6
    39.0,0.000453, 15,  19.768,     0.6
    40.0,0.000464, 15,  19.785,     0.7
    41.0,0.000458, 15,  19.794,     0.7
    42.0,0.000458, 15,  19.799,     0.7
    43.0,0.000450, 15,  19.808,     0.7
    44.0,0.000458, 15,  19.818,     0.7
    45.0,0.000461, 15,  19.827,     0.8
    46.0,0.000460, 15,  19.831,     0.8
    47.0,0.000442, 15,  19.834,     0.8
    48.0,0.000443, 15,  19.840,     0.8
    49.0,0.000432, 15,  19.849,     0.8
    50.0,0.000431, 15,  19.855,     0.8
    51.0,0.000430, 15,  19.854,     0.9
    52.0,0.000442, 15,  19.855,     0.9
