Run Name,Alphachymotrypsinogen_22%Isocratic_Test1
Run Date,04:36:33 PM   01-25-23
Method Name,TA_IsocraticRun_22%
Export Format Version, 1.00
Method ID, 4024
Points/Second, 1.00
Number of Records,    600
Offset from Run Start Time,00:00:00
Run End Time,00:10:00
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,0.001109, 22,  26.247,     0.0
     1.0,0.001112, 22,  26.231,     0.0
     2.0,0.000000, 22,  26.212,     0.0
     3.0,0.000000, 22,  26.203,     0.1
     4.0,0.000000, 22,  26.198,     0.1
     5.0,0.000000, 22,  26.183,     0.1
     6.0,0.000118, 22,  26.174,     0.1
     7.0,0.000148, 22,  26.172,     0.1
     8.0,0.000167, 22,  26.163,     0.1
     9.0,0.000180, 22,  26.153,     0.2
    10.0,0.000178, 22,  26.145,     0.2
    11.0,0.000198, 22,  26.134,     0.2
    12.0,0.000211, 22,  26.124,     0.2
    13.0,0.000221, 22,  26.108,     0.2
    14.0,0.000240, 22,  26.105,     0.2
    15.0,0.000248, 22,  26.098,     0.3
    16.0,0.000266, 22,  26.091,     0.3
    17.0,0.000290, 22,  26.085,     0.3
    18.0,0.000289, 22,  26.084,     0.3
    19.0,0.000303, 22,  26.077,     0.3
    20.0,0.000311, 22,  26.085,     0.3
    21.0,0.000310, 22,  26.083,     0.3
    22.0,0.000329, 22,  26.088,     0.4
    23.0,0.000336, 22,  26.084,     0.4
    24.0,0.000343, 22,  26.090,     0.4
    25.0,0.000351, 22,  26.092,     0.4
    26.0,0.000339, 22,  26.101,     0.4
    27.0,0.000352, 22,  26.098,     0.4
    28.0,0.000364, 22,  26.115,     0.5
    29.0,0.000354, 22,  26.119,     0.5
    30.0,0.000381, 22,  26.124,     0.5
    31.0,0.000392, 22,  26.126,     0.5
    32.0,0.000388, 22,  26.127,     0.5
    33.0,0.000408, 22,  26.129,     0.6
    34.0,0.000413, 22,  26.127,     0.6
    35.0,0.000404, 22,  26.126,     0.6
    36.0,0.000420, 22,  26.125,     0.6
    37.0,0.000408, 22,  26.127,     0.6
    38.0,0.000404, 22,  26.127,     0.6
    39.0,0.000408, 22,  26.122,     0.6
    40.0,0.000407, 22,  26.117,     0.7
    41.0,0.000408, 22,  26.113,     0.7
    42.0,0.000412, 22,  26.113,     0.7
    43.0,0.000408, 22,  26.119,     0.7
    44.0,0.000420, 22,  26.113,     0.7
    45.0,0.000424, 22,  26.118,     0.8
    46.0,0.000426, 22,  26.118,     0.8
    47.0,0.000433, 22,  26.116,     0.8
    48.0,0.000437, 22,  26.122,     0.8
    49.0,0.000442, 22,  26.123,     0.8
    50.0,0.000437, 22,  26.125,     0.8
    51.0,0.000437, 22,  26.129,     0.9
    52.0,0.000426, 22,  26.118,     0.9
    53.0,0.000426, 22,  26.121,     0.9
    54.0,0.000431, 22,  26.120,     0.9
    55.0,0.000426, 22,  26.114,     0.9
    56.0,0.000421, 22,  26.111,     0.9
    57.0,0.000435, 22,  26.098,     0.9
    58.0,0.000408, 22,  26.080,     1.0
    59.0,0.000401, 22,  26.070,     1.0
    60.0,0.000407, 22,  26.062,     1.0
    61.0,0.000418, 22,  26.053,     1.0
    62.0,0.000428, 22,  26.044,     1.0
    63.0,0.000428, 22,  26.049,     1.0
    64.0,0.000416, 22,  26.051,     1.1
    65.0,0.000418, 22,  26.056,     1.1
    66.0,0.000403, 22,  26.062,     1.1
    67.0,0.000393, 22,  26.063,     1.1
    68.0,0.000405, 22,  26.067,     1.1
    69.0,0.000390, 22,  26.066,     1.1
    70.0,0.000398, 22,  26.069,     1.2
    71.0,0.000398, 22,  26.072,     1.2
    72.0,0.000393, 22,  26.070,     1.2
    73.0,0.000401, 22,  26.079,     1.2
    74.0,0.000390, 22,  26.075,     1.2
    75.0,0.000381, 22,  26.074,     1.3
    76.0,0.000401, 22,  26.078,     1.3
    77.0,0.000401, 22,  26.075,     1.3
    78.0,0.000397, 22,  26.075,     1.3
    79.0,0.000401, 22,  26.077,     1.3
    80.0,0.000399, 22,  26.075,     1.3
    81.0,0.000426, 22,  26.069,     1.4
    82.0,0.000427, 22,  26.068,     1.4
    83.0,0.000441, 22,  26.067,     1.4
    84.0,0.000460, 22,  26.055,     1.4
    85.0,0.000448, 22,  26.055,     1.4
    86.0,0.000444, 22,  26.046,     1.4
    87.0,0.000460, 22,  26.046,     1.5
    88.0,0.000441, 22,  26.047,     1.5
    89.0,0.000435, 22,  26.049,     1.5
    90.0,0.000422, 22,  26.051,     1.5
    91.0,0.000408, 22,  26.051,     1.5
    92.0,0.000422, 22,  26.060,     1.5
    93.0,0.000421, 22,  26.070,     1.5
    94.0,0.000405, 22,  26.079,     1.6
    95.0,0.000428, 22,  26.083,     1.6
    96.0,0.000420, 22,  26.092,     1.6
    97.0,0.000425, 22,  26.094,     1.6
    98.0,0.000425, 22,  26.096,     1.6
    99.0,0.000419, 22,  26.097,     1.6
   100.0,0.000400, 22,  26.096,     1.7
   101.0,0.000403, 22,  26.093,     1.7
   102.0,0.000419, 22,  26.086,     1.7
   103.0,0.000433, 22,  26.093,     1.7
   104.0,0.000439, 22,  26.090,     1.7
   105.0,0.000451, 22,  26.090,     1.8
   106.0,0.000438, 22,  26.094,     1.8
   107.0,0.000435, 22,  26.100,     1.8
   108.0,0.000428, 22,  26.100,     1.8
   109.0,0.000428, 22,  26.099,     1.8
   110.0,0.000431, 22,  26.100,     1.8
   111.0,0.000436, 22,  26.100,     1.9
   112.0,0.000436, 22,  26.106,     1.9
   113.0,0.000435, 22,  26.097,     1.9
   114.0,0.000439, 22,  26.103,     1.9
   115.0,0.000435, 22,  26.103,     1.9
   116.0,0.000451, 22,  26.104,     1.9
   117.0,0.000438, 22,  26.106,     2.0
   118.0,0.000433, 35,  26.114,     2.0
   119.0,0.000447, 35,  26.099,     2.0
   120.0,0.000428, 35,  26.091,     2.0
   121.0,0.000427, 35,  26.092,     2.0
   122.0,0.000436, 35,  26.074,     2.0
   123.0,0.000427, 35,  26.078,     2.0
   124.0,0.000427, 22,  26.079,     2.1
   125.0,0.000415, 22,  26.073,     2.1
   126.0,0.000407, 22,  26.072,     2.1
   127.0,0.000412, 22,  26.074,     2.1
   128.0,0.000426, 22,  26.077,     2.1
   129.0,0.000426, 22,  26.075,     2.2
   130.0,0.000430, 22,  26.085,     2.2
   131.0,0.000437, 22,  26.081,     2.2
   132.0,0.000435, 22,  26.086,     2.2
   133.0,0.000436, 22,  26.088,     2.2
   134.0,0.000444, 22,  26.086,     2.2
   135.0,0.000428, 22,  26.081,     2.3
   136.0,0.000428, 22,  26.075,     2.3
   137.0,0.000420, 22,  26.066,     2.3
   138.0,0.000410, 22,  26.059,     2.3
   139.0,0.000403, 22,  26.045,     2.3
   140.0,0.000408, 22,  26.035,     2.3
   141.0,0.000414, 22,  26.018,     2.4
   142.0,0.000420, 22,  26.008,     2.4
   143.0,0.000428, 22,  25.992,     2.4
   144.0,0.000428, 22,  25.979,     2.4
   145.0,0.000432, 22,  25.972,     2.4
   146.0,0.000420, 22,  25.955,     2.4
   147.0,0.000419, 22,  25.943,     2.5
   148.0,0.000424, 22,  25.929,     2.5
   149.0,0.000413, 22,  25.919,     2.5
   150.0,0.000401, 22,  25.902,     2.5
   151.0,0.000416, 22,  25.896,     2.5
   152.0,0.000420, 22,  25.877,     2.5
   153.0,0.000416, 22,  25.862,     2.5
   154.0,0.000409, 22,  25.850,     2.6
   155.0,0.000404, 22,  25.826,     2.6
   156.0,0.000416, 22,  25.814,     2.6
   157.0,0.000427, 22,  25.794,     2.6
   158.0,0.000426, 22,  25.782,     2.6
   159.0,0.000437, 22,  25.771,     2.7
   160.0,0.000441, 22,  25.758,     2.7
   161.0,0.000439, 22,  25.747,     2.7
   162.0,0.000450, 22,  25.745,     2.7
   163.0,0.000453, 22,  25.733,     2.7
