Run Name,Lysozyme_40%Isocratic_Test1
Run Date,07:26:32 PM   02-05-23
Method Name,TA_IsocraticRun_40%
Export Format Version, 1.00
Method ID, 4034
Points/Second, 1.00
Number of Records,    960
Offset from Run Start Time,00:00:00
Run End Time,00:16:00
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,0.000000, 40,  42.125,     0.0
     1.0,0.000000, 40,  42.075,     0.0
     2.0,0.000000, 40,  42.044,     0.0
     3.0,0.000000, 40,  42.008,     0.1
     4.0,0.000029, 40,  41.988,     0.1
     5.0,0.000073, 40,  41.965,     0.1
     6.0,0.000133, 40,  41.941,     0.1
     7.0,0.000144, 40,  41.917,     0.1
     8.0,0.000139, 40,  41.881,     0.1
     9.0,0.000147, 40,  41.856,     0.2
    10.0,0.000150, 40,  41.820,     0.2
    11.0,0.000157, 40,  41.793,     0.2
    12.0,0.000162, 40,  41.769,     0.2
    13.0,0.000169, 40,  41.728,     0.2
    14.0,0.000187, 40,  41.707,     0.2
    15.0,0.000186, 40,  41.686,     0.3
    16.0,0.000200, 40,  41.647,     0.3
    17.0,0.000219, 40,  41.641,     0.3
    18.0,0.000236, 40,  41.634,     0.3
    19.0,0.000256, 40,  41.628,     0.3
    20.0,0.000262, 40,  41.629,     0.3
    21.0,0.000263, 40,  41.628,     0.3
    22.0,0.000297, 40,  41.641,     0.4
    23.0,0.000292, 40,  41.649,     0.4
    24.0,0.000298, 40,  41.663,     0.4
    25.0,0.000320, 40,  41.689,     0.4
    26.0,0.000319, 40,  41.709,     0.4
    27.0,0.000314, 40,  41.729,     0.4
    28.0,0.000340, 40,  41.744,     0.5
    29.0,0.000329, 40,  41.759,     0.5
    30.0,0.000323, 40,  41.778,     0.5
    31.0,0.000319, 40,  41.791,     0.5
    32.0,0.000315, 40,  41.806,     0.5
    33.0,0.000336, 40,  41.830,     0.6
    34.0,0.000343, 40,  41.828,     0.6
    35.0,0.000347, 40,  41.837,     0.6
    36.0,0.000356, 40,  41.848,     0.6
    37.0,0.000340, 40,  41.847,     0.6
    38.0,0.000340, 40,  41.852,     0.6
    39.0,0.000353, 40,  41.853,     0.6
    40.0,0.000365, 40,  41.855,     0.7
    41.0,0.000362, 40,  41.859,     0.7
    42.0,0.000353, 40,  41.860,     0.7
    43.0,0.000365, 40,  41.865,     0.7
    44.0,0.000376, 40,  41.862,     0.7
    45.0,0.000382, 40,  41.839,     0.8
    46.0,0.000402, 40,  41.800,     0.8
    47.0,0.000397, 40,  41.778,     0.8
    48.0,0.000381, 40,  41.764,     0.8
    49.0,0.000378, 40,  41.772,     0.8
    50.0,0.000386, 40,  41.772,     0.8
    51.0,0.000378, 40,  41.790,     0.9
    52.0,0.000375, 40,  41.797,     0.9
    53.0,0.000379, 40,  41.810,     0.9
    54.0,0.000356, 40,  41.821,     0.9
    55.0,0.000356, 40,  41.829,     0.9
    56.0,0.000345, 40,  41.852,     0.9
    57.0,0.000352, 40,  41.862,     0.9
    58.0,0.000364, 40,  41.866,     1.0
    59.0,0.000352, 40,  41.869,     1.0
    60.0,0.000371, 40,  41.875,     1.0
    61.0,0.000375, 40,  41.880,     1.0
    62.0,0.000367, 40,  41.890,     1.0
    63.0,0.000375, 40,  41.883,     1.0
    64.0,0.000382, 40,  41.887,     1.1
    65.0,0.000393, 40,  41.898,     1.1
    66.0,0.000408, 40,  41.903,     1.1
    67.0,0.000409, 40,  41.907,     1.1
    68.0,0.000416, 40,  41.922,     1.1
    69.0,0.000412, 40,  41.928,     1.1
    70.0,0.000408, 40,  41.934,     1.2
    71.0,0.000404, 40,  41.947,     1.2
    72.0,0.000401, 40,  41.960,     1.2
    73.0,0.000394, 40,  41.959,     1.2
    74.0,0.000382, 40,  41.961,     1.2
    75.0,0.000373, 40,  41.951,     1.3
    76.0,0.000358, 40,  41.941,     1.3
    77.0,0.000335, 40,  41.913,     1.3
    78.0,0.000351, 40,  41.872,     1.3
    79.0,0.000346, 40,  41.830,     1.3
    80.0,0.000353, 40,  41.802,     1.3
    81.0,0.000364, 40,  41.794,     1.4
    82.0,0.000382, 40,  41.779,     1.4
    83.0,0.000381, 40,  41.768,     1.4
    84.0,0.000383, 40,  41.764,     1.4
    85.0,0.000382, 40,  41.743,     1.4
    86.0,0.000393, 40,  41.730,     1.4
    87.0,0.000390, 40,  41.718,     1.5
    88.0,0.000390, 40,  41.713,     1.5
    89.0,0.000374, 40,  41.702,     1.5
    90.0,0.000367, 40,  41.694,     1.5
    91.0,0.000352, 40,  41.692,     1.5
    92.0,0.000348, 40,  41.704,     1.5
    93.0,0.000356, 40,  41.716,     1.5
    94.0,0.000354, 40,  41.726,     1.6
    95.0,0.000370, 40,  41.739,     1.6
    96.0,0.000362, 40,  41.747,     1.6
    97.0,0.000358, 40,  41.776,     1.6
    98.0,0.000359, 40,  41.783,     1.6
    99.0,0.000345, 40,  41.806,     1.6
   100.0,0.000349, 40,  41.824,     1.7
   101.0,0.000346, 40,  41.843,     1.7
   102.0,0.000343, 40,  41.857,     1.7
   103.0,0.000343, 40,  41.872,     1.7
   104.0,0.000338, 40,  41.885,     1.7
   105.0,0.000347, 40,  41.907,     1.8
   106.0,0.000338, 40,  41.918,     1.8
   107.0,0.000340, 40,  41.925,     1.8
   108.0,0.000367, 40,  41.932,     1.8
   109.0,0.000379, 40,  41.937,     1.8
   110.0,0.000380, 40,  41.939,     1.8
   111.0,0.000392, 40,  41.940,     1.9
   112.0,0.000375, 40,  41.941,     1.9
   113.0,0.000367, 40,  41.941,     1.9
   114.0,0.000386, 40,  41.944,     1.9
   115.0,0.000386, 40,  41.943,     1.9
   116.0,0.000394, 40,  41.942,     1.9
   117.0,0.000393, 40,  41.938,     2.0
   118.0,0.000402, 40,  41.939,     2.0
   119.0,0.000407, 35,  41.944,     2.0
   120.0,0.000382, 35,  41.949,     2.0
   121.0,0.000373, 35,  41.954,     2.0
   122.0,0.000368, 35,  41.961,     2.0
   123.0,0.000382, 35,  41.958,     2.0
   124.0,0.000371, 35,  41.953,     2.1
   125.0,0.000395, 40,  41.955,     2.1
   126.0,0.000364, 40,  41.939,     2.1
   127.0,0.000362, 40,  41.937,     2.1
   128.0,0.000351, 40,  41.929,     2.1
   129.0,0.000346, 40,  41.912,     2.2
   130.0,0.000371, 40,  41.903,     2.2
   131.0,0.000368, 40,  41.885,     2.2
   132.0,0.000357, 40,  41.856,     2.2
   133.0,0.000343, 40,  41.839,     2.2
   134.0,0.000332, 40,  41.817,     2.2
   135.0,0.000326, 40,  41.794,     2.3
   136.0,0.000315, 40,  41.759,     2.3
   137.0,0.000327, 40,  41.735,     2.3
   138.0,0.000323, 40,  41.705,     2.3
   139.0,0.000317, 40,  41.680,     2.3
   140.0,0.000319, 40,  41.660,     2.3
   141.0,0.000353, 40,  41.650,     2.4
   142.0,0.000354, 40,  41.636,     2.4
   143.0,0.000356, 40,  41.619,     2.4
   144.0,0.000375, 40,  41.584,     2.4
   145.0,0.000350, 40,  41.569,     2.4
   146.0,0.000358, 40,  41.547,     2.4
   147.0,0.000373, 40,  41.524,     2.5
   148.0,0.000368, 40,  41.493,     2.5
   149.0,0.000376, 40,  41.473,     2.5
