Run Name,RibonucleaseA_24%Isocratic_Test2
Run Date,08:27:51 PM   02-05-23
Method Name,TA_IsocraticRun_24%
Export Format Version, 1.00
Method ID, 4162
Points/Second, 1.00
Number of Records,   1764
Offset from Run Start Time,00:00:00
Run End Time,00:29:23
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,0.000201, 24,  28.276,     0.0
     1.0,0.000000, 24,  28.263,     0.0
     2.0,0.000000, 24,  28.253,     0.0
     3.0,0.000000, 24,  28.241,     0.1
     4.0,0.000000, 24,  28.228,     0.1
     5.0,0.000134, 24,  28.224,     0.1
     6.0,0.000173, 24,  28.205,     0.1
     7.0,0.000227, 24,  28.192,     0.1
     8.0,0.000264, 24,  28.170,     0.1
     9.0,0.000259, 24,  28.149,     0.2
    10.0,0.000267, 24,  28.120,     0.2
    11.0,0.000280, 24,  28.090,     0.2
    12.0,0.000297, 24,  28.065,     0.2
    13.0,0.000313, 24,  28.044,     0.2
    14.0,0.000320, 24,  28.032,     0.2
    15.0,0.000350, 24,  28.023,     0.3
    16.0,0.000376, 24,  28.007,     0.3
    17.0,0.000352, 24,  27.998,     0.3
    18.0,0.000369, 24,  27.993,     0.3
    19.0,0.000395, 24,  27.983,     0.3
    20.0,0.000410, 24,  27.979,     0.3
    21.0,0.000448, 24,  27.973,     0.3
    22.0,0.000459, 24,  27.982,     0.4
    23.0,0.000460, 24,  27.992,     0.4
    24.0,0.000459, 24,  28.000,     0.4
    25.0,0.000466, 24,  28.017,     0.4
    26.0,0.000469, 24,  28.032,     0.4
    27.0,0.000488, 24,  28.045,     0.4
    28.0,0.000497, 24,  28.058,     0.5
    29.0,0.000493, 24,  28.077,     0.5
    30.0,0.000509, 24,  28.090,     0.5
    31.0,0.000490, 24,  28.107,     0.5
    32.0,0.000490, 24,  28.118,     0.5
    33.0,0.000505, 24,  28.124,     0.6
    34.0,0.000512, 24,  28.139,     0.6
    35.0,0.000512, 24,  28.148,     0.6
    36.0,0.000508, 24,  28.163,     0.6
    37.0,0.000519, 24,  28.174,     0.6
    38.0,0.000518, 24,  28.181,     0.6
    39.0,0.000514, 24,  28.184,     0.6
    40.0,0.000508, 24,  28.194,     0.7
    41.0,0.000501, 24,  28.196,     0.7
    42.0,0.000512, 24,  28.203,     0.7
    43.0,0.000515, 24,  28.204,     0.7
    44.0,0.000540, 24,  28.204,     0.7
    45.0,0.000555, 24,  28.205,     0.8
    46.0,0.000542, 24,  28.215,     0.8
    47.0,0.000538, 24,  28.212,     0.8
    48.0,0.000546, 24,  28.214,     0.8
    49.0,0.000554, 24,  28.218,     0.8
    50.0,0.000553, 24,  28.224,     0.8
    51.0,0.000530, 24,  28.227,     0.9
    52.0,0.000536, 24,  28.226,     0.9
    53.0,0.000552, 24,  28.226,     0.9
    54.0,0.000558, 24,  28.224,     0.9
    55.0,0.000565, 24,  28.224,     0.9
    56.0,0.000579, 24,  28.215,     0.9
    57.0,0.000575, 24,  28.208,     0.9
    58.0,0.000573, 24,  28.208,     1.0
    59.0,0.000568, 24,  28.206,     1.0
    60.0,0.000564, 24,  28.209,     1.0
    61.0,0.000567, 24,  28.209,     1.0
    62.0,0.000590, 24,  28.211,     1.0
    63.0,0.000590, 24,  28.211,     1.0
    64.0,0.000594, 24,  28.209,     1.1
    65.0,0.000598, 24,  28.216,     1.1
    66.0,0.000575, 24,  28.214,     1.1
    67.0,0.000548, 24,  28.211,     1.1
    68.0,0.000535, 24,  28.213,     1.1
    69.0,0.000526, 24,  28.208,     1.1
    70.0,0.000531, 24,  28.199,     1.2
    71.0,0.000520, 24,  28.196,     1.2
    72.0,0.000521, 24,  28.199,     1.2
    73.0,0.000540, 24,  28.194,     1.2
    74.0,0.000542, 24,  28.190,     1.2
    75.0,0.000565, 24,  28.181,     1.3
    76.0,0.000576, 24,  28.182,     1.3
    77.0,0.000576, 24,  28.184,     1.3
    78.0,0.000580, 24,  28.180,     1.3
    79.0,0.000575, 24,  28.186,     1.3
    80.0,0.000605, 24,  28.184,     1.3
    81.0,0.000609, 24,  28.185,     1.4
    82.0,0.000604, 24,  28.184,     1.4
    83.0,0.000608, 24,  28.176,     1.4
    84.0,0.000608, 24,  28.175,     1.4
    85.0,0.000582, 24,  28.172,     1.4
    86.0,0.000576, 24,  28.165,     1.4
    87.0,0.000568, 24,  28.159,     1.5
    88.0,0.000583, 24,  28.160,     1.5
    89.0,0.000576, 24,  28.162,     1.5
    90.0,0.000557, 24,  28.160,     1.5
    91.0,0.000563, 24,  28.168,     1.5
    92.0,0.000566, 24,  28.168,     1.5
    93.0,0.000566, 24,  28.172,     1.5
    94.0,0.000555, 24,  28.173,     1.6
    95.0,0.000563, 24,  28.177,     1.6
    96.0,0.000574, 24,  28.183,     1.6
    97.0,0.000575, 24,  28.193,     1.6
    98.0,0.000555, 24,  28.189,     1.6
    99.0,0.000559, 24,  28.197,     1.6
   100.0,0.000562, 24,  28.198,     1.7
   101.0,0.000565, 24,  28.196,     1.7
   102.0,0.000566, 24,  28.199,     1.7
   103.0,0.000566, 24,  28.202,     1.7
   104.0,0.000574, 24,  28.198,     1.7
   105.0,0.000577, 24,  28.197,     1.8
   106.0,0.000581, 24,  28.198,     1.8
   107.0,0.000574, 24,  28.193,     1.8
   108.0,0.000577, 24,  28.194,     1.8
   109.0,0.000577, 24,  28.186,     1.8
   110.0,0.000585, 24,  28.182,     1.8
   111.0,0.000596, 24,  28.182,     1.9
   112.0,0.000596, 24,  28.182,     1.9
   113.0,0.000592, 24,  28.172,     1.9
   114.0,0.000592, 24,  28.174,     1.9
   115.0,0.000594, 24,  28.175,     1.9
   116.0,0.000599, 24,  28.171,     1.9
   117.0,0.000592, 24,  28.173,     2.0
   118.0,0.000592, 35,  28.169,     2.0
   119.0,0.000585, 35,  28.165,     2.0
   120.0,0.000570, 35,  28.167,     2.0
   121.0,0.000552, 35,  28.167,     2.0
   122.0,0.000559, 35,  28.162,     2.0
   123.0,0.000576, 35,  28.164,     2.0
   124.0,0.000573, 35,  28.170,     2.1
   125.0,0.000568, 24,  28.173,     2.1
   126.0,0.000580, 24,  28.170,     2.1
   127.0,0.000585, 24,  28.174,     2.1
   128.0,0.000581, 24,  28.174,     2.1
   129.0,0.000573, 24,  28.165,     2.2
   130.0,0.000564, 24,  28.165,     2.2
   131.0,0.000566, 24,  28.160,     2.2
   132.0,0.000555, 24,  28.155,     2.2
   133.0,0.000559, 24,  28.143,     2.2
   134.0,0.000563, 24,  28.133,     2.2
   135.0,0.000548, 24,  28.126,     2.3
   136.0,0.000548, 24,  28.112,     2.3
   137.0,0.000533, 24,  28.094,     2.3
   138.0,0.000510, 24,  28.078,     2.3
   139.0,0.000503, 24,  28.052,     2.3
