Run Name,Thurs01_LinearGradient_02232023
Run Date,01:16:32 PM   02-23-23
Method Name,LinearGradientTemplate2022
Export Format Version, 1.00
Method ID, 4173
Points/Second, 1.00
Number of Records,   5008
Offset from Run Start Time,00:00:00
Run End Time,01:23:30
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,-0.021064,  5,  10.269,     0.0
     1.0,0.000000,  5,  10.336,     0.0
     2.0,0.000000,  5,  10.310,     0.0
     3.0,0.000000,  5,  10.310,     0.1
     4.0,0.000000,  5,  10.306,     0.1
     5.0,0.000093,  5,  10.308,     0.1
     6.0,0.000089,  5,  10.306,     0.1
     7.0,0.000087,  5,  10.296,     0.1
     8.0,0.000098,  5,  10.289,     0.1
     9.0,0.000094,  5,  10.282,     0.2
    10.0,0.000095,  5,  10.271,     0.2
    11.0,0.000100,  5,  10.260,     0.2
    12.0,0.000093,  5,  10.247,     0.2
    13.0,0.000095,  5,  10.230,     0.2
    14.0,0.000107,  5,  10.216,     0.2
    15.0,0.000126,  5,  10.199,     0.3
    16.0,0.000144,  5,  10.187,     0.3
    17.0,0.000148,  5,  10.175,     0.3
    18.0,0.000175,  5,  10.164,     0.3
    19.0,0.000211,  5,  10.147,     0.3
    20.0,0.000225,  5,  10.142,     0.3
    21.0,0.000238,  5,  10.142,     0.3
    22.0,0.000242,  5,  10.134,     0.4
    23.0,0.000244,  5,  10.131,     0.4
    24.0,0.000252,  5,  10.125,     0.4
    25.0,0.000268,  5,  10.125,     0.4
    26.0,0.000263,  5,  10.124,     0.4
    27.0,0.000279,  5,  10.131,     0.4
    28.0,0.000282,  5,  10.134,     0.5
    29.0,0.000293,  5,  10.139,     0.5
    30.0,0.000298,  5,  10.147,     0.5
    31.0,0.000298,  5,  10.151,     0.5
    32.0,0.000304,  5,  10.157,     0.5
    33.0,0.000325,  5,  10.162,     0.6
    34.0,0.000317,  5,  10.169,     0.6
    35.0,0.000332,  5,  10.170,     0.6
    36.0,0.000324,  5,  10.171,     0.6
    37.0,0.000326,  5,  10.176,     0.6
    38.0,0.000331,  5,  10.178,     0.6
    39.0,0.000331,  5,  10.176,     0.6
    40.0,0.000319,  5,  10.173,     0.7
    41.0,0.000321,  5,  10.176,     0.7
    42.0,0.000320,  5,  10.173,     0.7
    43.0,0.000312,  5,  10.177,     0.7
    44.0,0.000331,  5,  10.172,     0.7
    45.0,0.000337,  5,  10.171,     0.8
    46.0,0.000341,  5,  10.172,     0.8
    47.0,0.000353,  5,  10.167,     0.8
    48.0,0.000372,  5,  10.164,     0.8
    49.0,0.000385,  5,  10.166,     0.8
    50.0,0.000372,  5,  10.162,     0.8
    51.0,0.000357,  5,  10.161,     0.9
    52.0,0.000367,  5,  10.159,     0.9
    53.0,0.000354,  5,  10.163,     0.9
    54.0,0.000352,  5,  10.162,     0.9
    55.0,0.000356,  5,  10.156,     0.9
    56.0,0.000364,  5,  10.157,     0.9
    57.0,0.000364,  5,  10.159,     0.9
    58.0,0.000370,  5,  10.156,     1.0
    59.0,0.000367,  5,  10.159,     1.0
    60.0,0.000380,  5,  10.160,     1.0
    61.0,0.000365,  5,  10.166,     1.0
    62.0,0.000376,  5,  10.168,     1.0
    63.0,0.000384,  5,  10.171,     1.0
    64.0,0.000369,  5,  10.168,     1.1
    65.0,0.000373,  5,  10.171,     1.1
    66.0,0.000359,  5,  10.175,     1.1
    67.0,0.000360,  5,  10.177,     1.1
    68.0,0.000364,  5,  10.177,     1.1
    69.0,0.000378,  5,  10.179,     1.1
    70.0,0.000397,  5,  10.180,     1.2
    71.0,0.000413,  5,  10.179,     1.2
    72.0,0.000406,  5,  10.180,     1.2
    73.0,0.000398,  5,  10.181,     1.2
    74.0,0.000398,  5,  10.177,     1.2
    75.0,0.000380,  5,  10.179,     1.3
    76.0,0.000380,  5,  10.173,     1.3
    77.0,0.000373,  5,  10.174,     1.3
    78.0,0.000384,  5,  10.170,     1.3
    79.0,0.000387,  5,  10.167,     1.3
    80.0,0.000376,  5,  10.163,     1.3
    81.0,0.000385,  5,  10.163,     1.4
    82.0,0.000385,  5,  10.158,     1.4
    83.0,0.000376,  5,  10.156,     1.4
    84.0,0.000376,  5,  10.157,     1.4
    85.0,0.000402,  5,  10.158,     1.4
    86.0,0.000413,  5,  10.157,     1.4
    87.0,0.000409,  5,  10.161,     1.5
    88.0,0.000417,  5,  10.155,     1.5
    89.0,0.000424,  5,  10.160,     1.5
    90.0,0.000431,  5,  10.153,     1.5
    91.0,0.000435,  5,  10.153,     1.5
    92.0,0.000423,  5,  10.150,     1.5
    93.0,0.000407,  5,  10.149,     1.5
    94.0,0.000416,  5,  10.148,     1.6
    95.0,0.000423,  5,  10.144,     1.6
    96.0,0.000425,  5,  10.142,     1.6
