Run Name,Run2
Run Date,05:00:10 PM   02-23-23
Method Name,Thurs01_S23_CreativeRun2
Export Format Version, 1.00
Method ID, 4183
Points/Second, 1.00
Number of Records,   4528
Offset from Run Start Time,00:00:00
Run End Time,01:15:30
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,-0.001484,  5,  50.330,     0.0
     1.0,0.000000,  5,  50.291,     0.0
     2.0,0.000000,  5,  50.238,     0.0
     3.0,0.000000,  5,  50.210,     0.1
     4.0,0.000000,  5,  50.167,     0.1
     5.0,0.000100,  5,  50.117,     0.1
     6.0,0.000144,  5,  50.071,     0.1
     7.0,0.000179,  5,  49.991,     0.1
     8.0,0.000197,  5,  49.949,     0.1
     9.0,0.000223,  5,  49.873,     0.2
    10.0,0.000237,  5,  49.835,     0.2
    11.0,0.000252,  5,  49.787,     0.2
    12.0,0.000246,  5,  49.745,     0.2
    13.0,0.000246,  5,  49.712,     0.2
    14.0,0.000251,  5,  49.707,     0.2
    15.0,0.000265,  5,  49.711,     0.3
    16.0,0.000285,  5,  49.718,     0.3
    17.0,0.000286,  5,  49.728,     0.3
    18.0,0.000297,  5,  49.749,     0.3
    19.0,0.000324,  5,  49.770,     0.3
    20.0,0.000356,  5,  49.791,     0.3
    21.0,0.000394,  5,  49.829,     0.3
    22.0,0.000400,  5,  49.860,     0.4
    23.0,0.000411,  5,  49.885,     0.4
    24.0,0.000413,  5,  49.930,     0.4
    25.0,0.000437,  5,  49.958,     0.4
    26.0,0.000444,  5,  49.990,     0.4
    27.0,0.000451,  5,  50.018,     0.4
    28.0,0.000437,  5,  50.040,     0.5
    29.0,0.000434,  5,  50.048,     0.5
    30.0,0.000427,  5,  50.062,     0.5
    31.0,0.000433,  5,  50.068,     0.5
    32.0,0.000459,  5,  50.068,     0.5
    33.0,0.000467,  5,  50.078,     0.6
    34.0,0.000470,  5,  50.085,     0.6
    35.0,0.000477,  5,  50.095,     0.6
    36.0,0.000484,  5,  50.100,     0.6
    37.0,0.000477,  5,  50.105,     0.6
    38.0,0.000487,  5,  50.101,     0.6
    39.0,0.000489,  5,  50.110,     0.6
    40.0,0.000509,  5,  50.099,     0.7
    41.0,0.000512,  5,  50.093,     0.7
    42.0,0.000522,  5,  50.079,     0.7
    43.0,0.000542,  5,  50.062,     0.7
    44.0,0.000534,  5,  50.046,     0.7
    45.0,0.000527,  5,  50.024,     0.8
    46.0,0.000543,  5,  50.021,     0.8
    47.0,0.000542,  5,  50.007,     0.8
