Run Name,Creative Run1
Run Date,03:51:52 PM   01-26-23
Method Name,Thurs02_S23_CreativeRun1
Export Format Version, 1.00
Method ID, 4156
Points/Second, 5.00
Number of Records,  18600
Offset from Run Start Time,00:00:00
Run End Time,01:02:00
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,%B
QuadTec 3, (214.0 nm), AU
QuadTec 4, (405.0 nm), AU
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2,Gradient Pump,QuadTec 3,QuadTec 4,Conductivity,GP Pressure,Volume
     0.0,0.000279,0.000000,  5,0.011302,0.000420,  10.004,   32,     0.0
     0.2,0.000034,0.000000,  5,0.011275,0.000432,  10.002,   32,     0.0
     0.4,-0.001958,0.000000,  5,0.011253,0.000432,  10.003,   33,     0.0
     0.6,-0.001823,0.000000,  5,0.011231,0.000420,  10.001,   33,     0.0
     0.8,0.000000,0.000000,  5,0.011253,0.000445,   9.997,   34,     0.0
     1.0,0.000000,0.000000,  5,0.011308,0.000445,   9.998,   34,     0.0
     1.2,0.000000,0.000000,  5,0.011062,0.000445,   9.998,   33,     0.0
     1.4,0.000000,0.000000,  5,0.011062,0.000445,   9.998,   33,     0.0
     1.6,0.000000,0.000000,  5,0.011062,0.000445,   9.996,   32,     0.0
     1.8,0.000000,0.000000,  5,0.011062,0.000432,   9.994,   33,     0.0
     2.0,0.000000,0.000000,  5,0.000000,0.000456,   9.996,   33,     0.0
     2.2,0.000000,0.000000,  5,0.000000,0.000000,   9.994,   33,     0.0
     2.4,0.000000,0.000000,  5,0.000000,0.000000,   9.999,   33,     0.0
     2.6,0.000000,0.000000,  5,0.000000,0.000000,   9.992,   34,     0.0
     2.8,0.000000,0.000000,  5,0.000000,0.000000,   9.994,   34,     0.0
     3.0,0.000000,0.000000,  5,0.000000,0.000000,   9.992,   34,     0.1
     3.2,0.000000,0.000000,  5,0.000000,0.000000,   9.990,   33,     0.1
     3.4,0.000000,0.000000,  5,0.000000,0.000000,   9.991,   32,     0.1
     3.6,0.000000,0.000000,  5,0.000000,0.000000,   9.991,   31,     0.1
     3.8,0.000000,0.000000,  5,0.000000,0.000000,   9.989,   32,     0.1
     4.0,0.000000,0.000000,  5,0.000000,0.000000,   9.991,   33,     0.1
     4.2,0.000000,0.000000,  5,0.000000,0.000000,   9.988,   33,     0.1
     4.4,0.000000,0.000000,  5,0.000000,0.000000,   9.986,   34,     0.1
     4.6,0.000000,0.000062,  5,0.000000,0.000000,   9.988,   33,     0.1
     4.8,0.000080,0.000077,  5,0.000000,0.000000,   9.987,   33,     0.1
     5.0,0.000075,0.000091,  5,0.000000,0.000000,   9.985,   32,     0.1
     5.2,0.000079,0.000099,  5,0.000000,0.000000,   9.987,   32,     0.1
     5.4,0.000095,0.000108,  5,0.000000,0.000000,   9.982,   33,     0.1
     5.6,0.000097,0.000123,  5,0.000000,0.000000,   9.983,   33,     0.1
     5.8,0.000105,0.000128,  5,0.000118,0.000000,   9.986,   33,     0.1
     6.0,0.000120,0.000137,  5,0.000086,0.000000,   9.982,   33,     0.1
     6.2,0.000119,0.000146,  5,0.000070,0.000000,   9.983,   34,     0.1
     6.4,0.000135,0.000152,  5,0.000064,0.000000,   9.982,   35,     0.1
     6.6,0.000151,0.000162,  5,0.000070,0.000000,   9.982,   34,     0.1
     6.8,0.000158,0.000165,  5,0.000102,0.000000,   9.979,   32,     0.1
     7.0,0.000165,0.000177,  5,0.000150,0.000000,   9.978,   32,     0.1
     7.2,0.000181,0.000180,  5,0.000166,0.000049,   9.980,   33,     0.1
     7.4,0.000188,0.000180,  5,0.000166,0.000026,   9.974,   33,     0.1
     7.6,0.000187,0.000192,  5,0.000128,0.000039,   9.977,   34,     0.1
     7.8,0.000196,0.000205,  5,0.000118,0.000051,   9.976,   33,     0.1
     8.0,0.000203,0.000201,  5,0.000134,0.000041,   9.973,   33,     0.1
     8.2,0.000202,0.000207,  5,0.000128,0.000041,   9.977,   33,     0.1
     8.4,0.000214,0.000217,  5,0.000118,0.000077,   9.975,   32,     0.1
     8.6,0.000217,0.000216,  5,0.000134,0.000018,   9.971,   33,     0.1
     8.8,0.000217,0.000222,  5,0.000134,0.000031,   9.969,   34,     0.1
     9.0,0.000225,0.000225,  5,0.000134,0.000043,   9.971,   34,     0.2
     9.2,0.000221,0.000219,  5,0.000134,0.000020,   9.970,   34,     0.2
     9.4,0.000225,0.000225,  5,0.000118,0.000020,   9.970,   33,     0.2
     9.6,0.000228,0.000225,  5,0.000102,0.000043,   9.969,   33,     0.2
     9.8,0.000228,0.000225,  5,0.000070,0.000056,   9.969,   32,     0.2
    10.0,0.000236,0.000228,  5,0.000032,0.000056,   9.970,   32,     0.2
    10.2,0.000235,0.000234,  5,0.000021,0.000056,   9.968,   32,     0.2
    10.4,0.000247,0.000230,  5,0.000005,0.000056,   9.969,   33,     0.2
    10.6,0.000254,0.000233,  5,0.000021,0.000056,   9.967,   33,     0.2
    10.8,0.000246,0.000236,  5,-0.000027,0.000056,   9.971,   33,     0.2
    11.0,0.000250,0.000239,  5,-0.000086,0.000069,   9.970,   33,     0.2
    11.2,0.000250,0.000245,  5,-0.000161,0.000046,   9.967,   33,     0.2
    11.4,0.000242,0.000255,  5,-0.000209,0.000046,   9.968,   32,     0.2
    11.6,0.000247,0.000255,  5,-0.000225,0.000059,   9.970,   32,     0.2
    11.8,0.000247,0.000258,  5,-0.000230,0.000048,   9.967,   32,     0.2
    12.0,0.000242,0.000252,  5,-0.000225,0.000035,   9.969,   33,     0.2
    12.2,0.000247,0.000239,  5,-0.000220,0.000035,   9.966,   33,     0.2
    12.4,0.000250,0.000249,  5,-0.000214,0.000048,   9.966,   33,     0.2
    12.6,0.000246,0.000250,  5,-0.000225,0.000035,   9.970,   33,     0.2
    12.8,0.000254,0.000244,  5,-0.000246,0.000035,   9.968,   32,     0.2
    13.0,0.000258,0.000256,  5,-0.000284,0.000023,   9.967,   33,     0.2
    13.2,0.000249,0.000265,  5,-0.000284,0.000023,   9.971,   34,     0.2
    13.4,0.000254,0.000262,  5,-0.000284,0.000033,   9.968,   33,     0.2
    13.6,0.000261,0.000268,  5,-0.000294,0.000046,   9.969,   32,     0.2
    13.8,0.000256,0.000271,  5,-0.000294,0.000033,   9.970,   32,     0.2
    14.0,0.000269,0.000267,  5,-0.000278,0.000046,   9.965,   33,     0.2
    14.2,0.000276,0.000274,  5,-0.000289,0.000046,   9.970,   33,     0.2
    14.4,0.000271,0.000274,  5,-0.000300,0.000023,   9.971,   32,     0.2
    14.6,0.000283,0.000279,  5,-0.000316,0.000046,   9.968,   32,     0.2
    14.8,0.000287,0.000270,  5,-0.000348,0.000046,   9.969,   33,     0.2
    15.0,0.000278,0.000284,  5,-0.000369,0.000035,   9.966,   33,     0.3
    15.2,0.000287,0.000288,  5,-0.000396,0.000072,   9.970,   33,     0.3
    15.4,0.000290,0.000291,  5,-0.000401,0.000072,   9.969,   34,     0.3
    15.6,0.000278,0.000290,  5,-0.000407,0.000035,   9.972,   35,     0.3
    15.8,0.000283,0.000291,  5,-0.000412,0.000059,   9.969,   34,     0.3
    16.0,0.000287,0.000294,  5,-0.000380,0.000072,   9.967,   33,     0.3
    16.2,0.000278,0.000289,  5,-0.000358,0.000048,   9.970,   34,     0.3
    16.4,0.000287,0.000299,  5,-0.000369,0.000061,   9.967,   34,     0.3
    16.6,0.000290,0.000302,  5,-0.000369,0.000074,   9.966,   34,     0.3
    16.8,0.000282,0.000298,  5,-0.000374,0.000061,   9.971,   35,     0.3
    17.0,0.000287,0.000308,  5,-0.000364,0.000048,   9.970,   33,     0.3
    17.2,0.000290,0.000308,  5,-0.000380,0.000048,   9.968,   32,     0.3
    17.4,0.000286,0.000314,  5,-0.000417,0.000048,   9.972,   33,     0.3
    17.6,0.000298,0.000317,  5,-0.000433,0.000035,   9.972,   33,     0.3
    17.8,0.000298,0.000313,  5,-0.000444,0.000048,   9.973,   33,     0.3
    18.0,0.000305,0.000320,  5,-0.000498,0.000025,   9.976,   32,     0.3
    18.2,0.000305,0.000317,  5,-0.000508,0.000038,   9.975,   32,     0.3
    18.4,0.000309,0.000316,  5,-0.000482,0.000038,   9.972,   32,     0.3
    18.6,0.000304,0.000326,  5,-0.000466,0.000012,   9.971,   33,     0.3
    18.8,0.000320,0.000326,  5,-0.000428,0.000023,   9.972,   33,     0.3
    19.0,0.000315,0.000325,  5,-0.000407,0.000023,   9.973,   34,     0.3
    19.2,0.000310,0.000338,  5,-0.000385,0.000023,   9.978,   34,     0.3
    19.4,0.000318,0.000341,  5,-0.000401,0.000023,   9.977,   33,     0.3
    19.6,0.000322,0.000337,  5,-0.000455,0.000023,   9.978,   32,     0.3
    19.8,0.000317,0.000344,  5,-0.000535,0.000035,   9.981,   34,     0.3
    20.0,0.000326,0.000347,  5,-0.000530,0.000072,   9.977,   36,     0.3
    20.2,0.000326,0.000343,  5,-0.000508,0.000072,   9.977,   35,     0.3
    20.4,0.000321,0.000346,  5,-0.000444,0.000048,   9.974,   34,     0.3
    20.6,0.000333,0.000343,  5,-0.000423,0.000072,   9.977,   34,     0.3
    20.8,0.000329,0.000342,  5,-0.000401,0.000072,   9.978,   34,     0.3
    21.0,0.000329,0.000348,  5,-0.000369,0.000048,   9.980,   33,     0.3
    21.2,0.000333,0.000351,  5,-0.000364,0.000072,   9.983,   33,     0.4
    21.4,0.000338,0.000351,  5,-0.000369,0.000072,   9.980,   33,     0.4
    21.6,0.000333,0.000355,  5,-0.000359,0.000048,   9.981,   32,     0.4
    21.8,0.000337,0.000365,  5,-0.000375,0.000072,   9.982,   33,     0.4
    22.0,0.000340,0.000362,  5,-0.000434,0.000072,   9.987,   33,     0.4
    22.2,0.000339,0.000368,  5,-0.000482,0.000072,   9.985,   34,     0.4
    22.4,0.000351,0.000374,  5,-0.000776,0.000084,   9.988,   35,     0.4
    22.6,0.000359,0.000373,  5,-0.001166,0.000072,   9.986,   34,     0.4
    22.8,0.000354,0.000379,  5,-0.001705,0.000072,   9.988,   33,     0.4
    23.0,0.000370,0.000388,  5,-0.002349,0.000084,   9.989,   33,     0.4
    23.2,0.000370,0.000391,  5,-0.002274,0.000097,   9.990,   32,     0.4
    23.4,0.000365,0.000397,  5,-0.002019,0.000110,   9.992,   32,     0.4
    23.6,0.000372,0.000399,  5,-0.001545,0.000061,   9.991,   33,     0.4
    23.8,0.000376,0.000405,  5,-0.001321,0.000084,   9.992,   33,     0.4
    24.0,0.000374,0.000405,  5,-0.001097,0.000097,   9.992,   34,     0.4
    24.2,0.000382,0.000414,  5,-0.000883,0.000061,   9.995,   33,     0.4
    24.4,0.000394,0.000417,  5,-0.000717,0.000097,   9.998,   33,     0.4
    24.6,0.000393,0.000417,  5,-0.000605,0.000110,   9.996,   33,     0.4
    24.8,0.000400,0.000420,  5,-0.000514,0.000074,   9.999,   33,     0.4
    25.0,0.000409,0.000420,  5,-0.000434,0.000097,   9.998,   33,     0.4
    25.2,0.000404,0.000423,  5,-0.000364,0.000110,  10.003,   33,     0.4
    25.4,0.000404,0.000426,  5,-0.000321,0.000074,   9.996,   33,     0.4
    25.6,0.000409,0.000429,  5,-0.000262,0.000097,  10.000,   34,     0.4
    25.8,0.000404,0.000432,  5,-0.000187,0.000110,  10.002,   34,     0.4
    26.0,0.000409,0.000435,  5,-0.000107,0.000087,  10.005,   34,     0.4
    26.2,0.000413,0.000435,  5,-0.000070,0.000123,  10.007,   33,     0.4
    26.4,0.000413,0.000438,  5,-0.000038,0.000136,  10.008,   31,     0.4
    26.6,0.000405,0.000441,  5,-0.000027,0.000100,  10.009,   31,     0.4
    26.8,0.000409,0.000435,  5,-0.000005,0.000136,  10.008,   31,     0.4
    27.0,0.000409,0.000432,  5,0.000043,0.000149,  10.011,   32,     0.4
    27.2,0.000412,0.000442,  5,0.000091,0.000125,  10.015,   33,     0.5
    27.4,0.000412,0.000446,  5,0.000145,0.000125,  10.014,   33,     0.5
    27.6,0.000409,0.000445,  5,0.000193,0.000125,  10.017,   33,     0.5
    27.8,0.000404,0.000445,  5,0.000230,0.000125,  10.016,   33,     0.5
    28.0,0.000404,0.000450,  5,0.000268,0.000136,  10.016,   32,     0.5
    28.2,0.000412,0.000447,  5,0.000284,0.000123,  10.020,   32,     0.5
    28.4,0.000404,0.000447,  5,0.000300,0.000087,  10.014,   32,     0.5
    28.6,0.000404,0.000447,  5,0.000316,0.000136,  10.018,   33,     0.5
