Run Name,TestRun1
Run Date,04:39:34 PM   02-14-23
Method Name,Tues02_S23_CreativeRun1
Export Format Version, 1.00
Method ID, 4176
Points/Second, 1.00
Number of Records,   4854
Offset from Run Start Time,00:00:00
Run End Time,01:20:54
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,0.000000,  5,  10.071,     0.0
     1.0,0.000000,  5,  10.079,     0.0
     2.0,0.000000,  5,  10.076,     0.0
     3.0,0.000000,  5,  10.080,     0.1
     4.0,0.000107,  5,  10.073,     0.1
     5.0,0.000199,  5,  10.065,     0.1
     6.0,0.000276,  5,  10.055,     0.1
     7.0,0.000324,  5,  10.049,     0.1
     8.0,0.000342,  5,  10.043,     0.1
     9.0,0.000353,  5,  10.032,     0.2
    10.0,0.000363,  5,  10.024,     0.2
    11.0,0.000382,  5,  10.017,     0.2
    12.0,0.000370,  5,  10.009,     0.2
    13.0,0.000387,  5,  10.003,     0.2
    14.0,0.000410,  5,   9.991,     0.2
    15.0,0.000433,  5,   9.981,     0.3
    16.0,0.000455,  5,   9.973,     0.3
    17.0,0.000466,  5,   9.965,     0.3
    18.0,0.000457,  5,   9.962,     0.3
    19.0,0.000473,  5,   9.952,     0.3
    20.0,0.000485,  5,   9.946,     0.3
    21.0,0.000499,  5,   9.940,     0.3
    22.0,0.000509,  5,   9.931,     0.4
    23.0,0.000515,  5,   9.930,     0.4
    24.0,0.000519,  5,   9.927,     0.4
    25.0,0.000526,  5,   9.922,     0.4
    26.0,0.000532,  5,   9.922,     0.4
    27.0,0.000551,  5,   9.918,     0.4
    28.0,0.000558,  5,   9.915,     0.5
    29.0,0.000569,  5,   9.915,     0.5
    30.0,0.000581,  5,   9.911,     0.5
    31.0,0.000596,  5,   9.906,     0.5
    32.0,0.000591,  5,   9.906,     0.5
    33.0,0.000612,  5,   9.901,     0.6
    34.0,0.000600,  5,   9.895,     0.6
    35.0,0.000593,  5,   9.896,     0.6
