Run Name,Tues02_CreativeRun2
Run Date,04:14:50 PM   02-16-23
Method Name,Tues02_S23_CreativeRun2
Export Format Version, 1.00
Method ID, 4178
Points/Second, 1.00
Number of Records,   2796
Offset from Run Start Time,00:00:00
Run End Time,00:46:35
Time,Second
QuadTec 1, (280.0 nm), AU
Trace 2,<Not Selected>
Gradient Pump,%B
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Conductivity,mS/cm
Trace 6,<Not Available>
GP Pressure,<Not Selected>
Volume,ml
Fraction,<Not Available>
Time,QuadTec 1,Gradient Pump,Conductivity,Volume
     0.0,-0.003145,  5,   9.651,     0.0
     1.0,-0.003145,  5,   9.650,     0.0
     2.0,-0.003149,  5,   9.652,     0.0
     3.0,-0.003145,  5,   9.652,     0.1
     4.0,-0.003834,  5,   9.647,     0.1
     5.0,0.000000,  5,   9.648,     0.1
     6.0,0.000000,  5,   9.645,     0.1
     7.0,0.000000,  5,   9.638,     0.1
     8.0,0.000000,  5,   9.635,     0.1
     9.0,0.000044,  5,   9.632,     0.2
    10.0,0.000090,  5,   9.625,     0.2
    11.0,0.000137,  5,   9.623,     0.2
    12.0,0.000165,  5,   9.619,     0.2
    13.0,0.000197,  5,   9.612,     0.2
    14.0,0.000207,  5,   9.611,     0.2
    15.0,0.000214,  5,   9.610,     0.3
    16.0,0.000238,  5,   9.608,     0.3
    17.0,0.000246,  5,   9.609,     0.3
    18.0,0.000263,  5,   9.611,     0.3
    19.0,0.000292,  5,   9.612,     0.3
    20.0,0.000307,  5,   9.611,     0.3
    21.0,0.000321,  5,   9.612,     0.3
    22.0,0.000336,  5,   9.620,     0.4
    23.0,0.000363,  5,   9.615,     0.4
    24.0,0.000354,  5,   9.615,     0.4
    25.0,0.000362,  5,   9.617,     0.4
    26.0,0.000365,  5,   9.618,     0.4
    27.0,0.000371,  5,   9.621,     0.4
    28.0,0.000381,  5,   9.615,     0.5
    29.0,0.000420,  5,   9.613,     0.5
    30.0,0.000442,  5,   9.614,     0.5
    31.0,0.000468,  5,   9.611,     0.5
    32.0,0.000470,  5,   9.611,     0.5
    33.0,0.000469,  5,   9.610,     0.6
    34.0,0.000470,  5,   9.608,     0.6
    35.0,0.000474,  5,   9.609,     0.6
    36.0,0.000466,  5,   9.610,     0.6
    37.0,0.000474,  5,   9.614,     0.6
    38.0,0.000456,  5,   9.608,     0.6
    39.0,0.000457,  5,   9.614,     0.6
    40.0,0.000435,  5,   9.614,     0.7
    41.0,0.000421,  5,   9.614,     0.7
    42.0,0.000430,  5,   9.619,     0.7
    43.0,0.000426,  5,   9.618,     0.7
    44.0,0.000419,  5,   9.610,     0.7
    45.0,0.000410,  5,   9.613,     0.8
    46.0,0.000414,  5,   9.609,     0.8
    47.0,0.000420,  5,   9.609,     0.8
    48.0,0.000432,  5,   9.605,     0.8
    49.0,0.000439,  5,   9.602,     0.8
    50.0,0.000458,  5,   9.598,     0.8
    51.0,0.000450,  5,   9.593,     0.9
    52.0,0.000457,  5,   9.587,     0.9
    53.0,0.000461,  5,   9.583,     0.9
    54.0,0.000473,  5,   9.579,     0.9
    55.0,0.000464,  5,   9.573,     0.9
    56.0,0.000469,  5,   9.570,     0.9
    57.0,0.000450,  5,   9.567,     0.9
    58.0,0.000467,  5,   9.564,     1.0
    59.0,0.000467,  5,   9.557,     1.0
    60.0,0.000474,  5,   9.551,     1.0
    61.0,0.000474,  5,   9.549,     1.0
    62.0,0.000485,  5,   9.545,     1.0
    63.0,0.000485,  5,   9.543,     1.0
    64.0,0.000485,  5,   9.541,     1.1
    65.0,0.000485,  5,   9.540,     1.1
    66.0,0.000485,  5,   9.541,     1.1
    67.0,0.000481,  5,   9.539,     1.1
    68.0,0.000492,  5,   9.539,     1.1
    69.0,0.000503,  5,   9.537,     1.1
    70.0,0.000507,  5,   9.537,     1.2
    71.0,0.000519,  5,   9.532,     1.2
    72.0,0.000531,  5,   9.533,     1.2
    73.0,0.000507,  5,   9.530,     1.2
    74.0,0.000512,  5,   9.536,     1.2
    75.0,0.000504,  5,   9.530,     1.3
    76.0,0.000512,  5,   9.532,     1.3
    77.0,0.000497,  5,   9.531,     1.3
    78.0,0.000507,  5,   9.532,     1.3
    79.0,0.000503,  5,   9.533,     1.3
    80.0,0.000502,  5,   9.533,     1.3
    81.0,0.000510,  5,   9.530,     1.4
    82.0,0.000509,  5,   9.533,     1.4
    83.0,0.000521,  5,   9.531,     1.4
    84.0,0.000524,  5,   9.531,     1.4
    85.0,0.000530,  5,   9.529,     1.4
    86.0,0.000539,  5,   9.533,     1.4
    87.0,0.000519,  5,   9.534,     1.5
    88.0,0.000519,  5,   9.538,     1.5
    89.0,0.000529,  5,   9.540,     1.5
    90.0,0.000520,  5,   9.542,     1.5
    91.0,0.000529,  5,   9.545,     1.5
    92.0,0.000532,  5,   9.545,     1.5
    93.0,0.000524,  5,   9.545,     1.5
    94.0,0.000532,  5,   9.549,     1.6
    95.0,0.000530,  5,   9.547,     1.6
    96.0,0.000531,  5,   9.553,     1.6
    97.0,0.000536,  5,   9.550,     1.6
    98.0,0.000525,  5,   9.556,     1.6
    99.0,0.000525,  5,   9.560,     1.6
   100.0,0.000507,  5,   9.561,     1.7
   101.0,0.000492,  5,   9.563,     1.7
   102.0,0.000497,  5,   9.566,     1.7
   103.0,0.000496,  5,   9.571,     1.7
   104.0,0.000501,  5,   9.572,     1.7
   105.0,0.000516,  5,   9.574,     1.8
   106.0,0.000519,  5,   9.581,     1.8
   107.0,0.000530,  5,   9.579,     1.8
   108.0,0.000529,  5,   9.581,     1.8
   109.0,0.000540,  5,   9.583,     1.8
   110.0,0.000538,  5,   9.585,     1.8
   111.0,0.000537,  5,   9.587,     1.9
   112.0,0.000521,  5,   9.587,     1.9
   113.0,0.000529,  5,   9.591,     1.9
   114.0,0.000529,  5,   9.594,     1.9
   115.0,0.000525,  5,   9.595,     1.9
   116.0,0.000530,  5,   9.599,     1.9
   117.0,0.000534,  5,   9.601,     2.0
   118.0,0.000529,  0,   9.603,     2.0
   119.0,0.000543,  0,   9.606,     2.0
   120.0,0.000541,  0,   9.614,     2.0
   121.0,0.000542,  0,   9.617,     2.0
   122.0,0.000542,  0,   9.623,     2.0
   123.0,0.000530,  0,   9.630,     2.0
   124.0,0.000541,  5,   9.639,     2.1
   125.0,0.000536,  5,   9.652,     2.1
   126.0,0.000560,  5,   9.666,     2.1
   127.0,0.000547,  5,   9.681,     2.1
   128.0,0.000550,  5,   9.696,     2.1
   129.0,0.000570,  5,   9.717,     2.2
   130.0,0.000562,  5,   9.737,     2.2
   131.0,0.000558,  5,   9.761,     2.2
   132.0,0.000567,  5,   9.781,     2.2
   133.0,0.000571,  5,   9.808,     2.2
   134.0,0.000571,  5,   9.831,     2.2
   135.0,0.000579,  5,   9.853,     2.3
   136.0,0.000558,  5,   9.877,     2.3
   137.0,0.000556,  5,   9.900,     2.3
   138.0,0.000546,  5,   9.918,     2.3
   139.0,0.000550,  5,   9.934,     2.3
   140.0,0.000567,  5,   9.950,     2.3
   141.0,0.000554,  5,   9.961,     2.4
   142.0,0.000539,  5,   9.970,     2.4
   143.0,0.000521,  5,   9.975,     2.4
   144.0,0.000514,  5,   9.979,     2.4
   145.0,0.000524,  5,   9.979,     2.4
   146.0,0.000531,  5,   9.969,     2.4
   147.0,0.000523,  5,   9.961,     2.5
   148.0,0.000527,  5,   9.950,     2.5
   149.0,0.000524,  5,   9.932,     2.5
   150.0,0.000510,  5,   9.909,     2.5
   151.0,0.000511,  5,   9.888,     2.5
   152.0,0.000514,  5,   9.862,     2.5
   153.0,0.000526,  5,   9.834,     2.5
   154.0,0.000526,  5,   9.800,     2.6
